id_prefix,id_mid,match,FRN_NameAsPublished,AIANNH_Geoname_Full,STATES,AIANNHCE,AIANNHNS
AKNF,TLNGHD,none,Central Council of the Tlingit & Haida Indian Tribes,,,,
AKNF,CHLKSK,nd,Chalkyitsik Village,Chalkyitsik ANVSA,AK,6265,02418804
AKNF,CHSHNA,nd,Cheesh-Na Tribe,Gakona ANVSA,AK,6520,02418592
AKNF,CHSHNA,n,Cheesh-Na Tribe,Chistochina ANVSA,AK,6325,02418829
TRBF,CHMHVI,nd,"Chemehuevi Indian Tribe of the Chemehuevi Reservation, California",Chemehuevi Reservation,CA,0585,00255956
TRBF,CHRAEH,nd,"Cher-Ae Heights Indian Community of the Trinidad Rancheria, California",Trinidad Rancheria,CA,4275,00268407
TRBF,CHKEEN,nd,Cherokee Nation,Cherokee OTSA,OK,5550,02418810
AKNF,CHEVAK,nd,Chevak Native Village,Chevak ANVSA,AK,6285,02418813
TRBF,CHYARP,nd,"Cheyenne and Arapaho Tribes, Oklahoma",Cheyenne and Arapaho OTSA,OK,5560,02418814
TRBF,CHYRSX,nd,"Cheyenne River Sioux Tribe of the Cheyenne River Reservation, South Dakota",Cheyenne River Reservation,SD,0605,01267254
TRBF,CHCKHT,nd,Chickahominy Indian Tribe,Chickahominy TDSA,VA,8150,02418815
TRBF,CHCKHE,nd,Chickahominy Indian Tribe—Eastern Division,Eastern Chickahominy TDSA,VA,8160,02418562
AKNF,CHCKLN,nd,Chickaloon Native Village,Chickaloon ANVSA,AK,6290,02418816
TRBF,CHRMWK,nd,Chicken Ranch Rancheria of Me-Wuk Indians of California,Chicken Ranch Rancheria,CA,0620,02419337
AKNF,CGNKBY,nd,Chignik Bay Tribal Council,Chignik ANVSA,AK,6295,02418820
AKNF,CGNKLK,nd,Chignik Lake Village,Chignik Lake ANVSA,AK,6305,02418823
AKNF,CHLKAT,nd,Chilkat Indian Village (Klukwan),Chilkat ANVSA,AK,6310,02418825
AKNF,CLKOOT,n,Chilkoot Indian Association (Haines),Chilkoot ANVSA,AK,6315,02418826
AKNF,CHINIK,nd,Chinik Eskimo Community (Golovin),Golovin ANVSA,AK,6540,02418601
TRBF,CHCRRB,nd,"Chippewa Cree Indians of the Rocky Boy's Reservation, Montana",Rocky Boy's Reservation,MT,3205,00767936
TRBF,CHTMCH,nd,Chitimacha Tribe of Louisiana,Chitimacha Reservation,LA,0635,02419340
AKNF,CLNWCK,d,Chuloonawick Native Village,Emmonak ANVSA,AK,6480,02418573
AKNF,CLNWCK,n,Chuloonawick Native Village,Chuloonawick ANVSA,AK,6340,02418835
AKNF,CIRCLE,nd,Circle Native Community,Circle ANVSA,AK,6350,02418836
TRBF,CITPWT,nd,"Citizen Potawatomi Nation, Oklahoma",Citizen Potawatomi Nation-Absentee Shawnee OTSA,OK,5600,01925074
TRBF,CDPOMO,none,Cloverdale Rancheria of Pomo Indians of California,,,,
TRBF,COCOPH,nd,Cocopah Tribe of Arizona,Cocopah Reservation,AZ,0695,00003089
