id_prefix,id_mid,match,FRN_NameAsPublished,AIANNH_Geoname_Full,STATES,AIANNHCE,AIANNHNS
TRBF,MSGRDG,n,"Mesa Grande Band of Diegueno Mission Indians of the Mesa Grande Reservation, California",Mesa Grande Reservation,CA,2190,02419013
TRBF,MSGRDG,d,"Mesa Grande Band of Diegueno Mission Indians of the Mesa Grande Reservation, California",Santa Ysabel Reservation,CA,3550,00255932
TRBF,MSAPCH,nd,"Mescalero Apache Tribe of the Mescalero Reservation, New Mexico",Mescalero Reservation,NM,2205,00924240
AKNF,MTLKTL,nd,"Metlakatla Indian Community, Annette Island Reserve",Annette Island Reserve,AK,0110,01934114
TRBF,MIAMIT,n,Miami Tribe of Oklahoma,Miami OTSA,OK,5730,02418711
TRBF,MIAMIT,nd,Miami Tribe of Oklahoma,Miami/Peoria joint-use OTSA,OK,5970,02418712
TRBF,MCSKEE,n,Miccosukee Tribe of Indians,Miccosukee Reservation,FL,2240,00307483
TRBF,MTPOMO,n,Middletown Rancheria of Pomo Indians of California,Middletown Rancheria,CA,2255,00228627
TRBF,MIKMAQ,nd,Mi'kmaq Nation (previously listed as Aroostook Band of Micmacs),Aroostook Band of Micmac Trust Land,ME,0115,02562463
TRBF,MINNCH,nd,"Minnesota Chippewa Tribe, Minnesota (Six component reservations: Bois Forte Band (Nett Lake); Fond du Lac Band; Grand Portage Band; Leech Lake Band; Mille Lacs Band; White Earth Band)",Bois Forte Reservation,MN,0335,02105053
TRBF,MINNCH,nd,"Minnesota Chippewa Tribe, Minnesota (Six component reservations: Bois Forte Band (Nett Lake); Fond du Lac Band; Grand Portage Band; Leech Lake Band; Mille Lacs Band; White Earth Band)",Fond du Lac Reservation,MN~WI,1125,00654521
TRBF,MINNCH,nd,"Minnesota Chippewa Tribe, Minnesota (Six component reservations: Bois Forte Band (Nett Lake); Fond du Lac Band; Grand Portage Band; Leech Lake Band; Mille Lacs Band; White Earth Band)",Grand Portage Reservation,MN,1355,00654523
TRBF,MINNCH,nd,"Minnesota Chippewa Tribe, Minnesota (Six component reservations: Bois Forte Band (Nett Lake); Fond du Lac Band; Grand Portage Band; Leech Lake Band; Mille Lacs Band; White Earth Band)",Leech Lake Reservation,MN,1940,00659096
TRBF,MINNCH,nd,"Minnesota Chippewa Tribe, Minnesota (Six component reservations: Bois Forte Band (Nett Lake); Fond du Lac Band; Grand Portage Band; Leech Lake Band; Mille Lacs Band; White Earth Band)",Mille Lacs Reservation,MN,2270,02419017
TRBF,MINNCH,nd,"Minnesota Chippewa Tribe, Minnesota (Six component reservations: Bois Forte Band (Nett Lake); Fond du Lac Band; Grand Portage Band; Leech Lake Band; Mille Lacs Band; White Earth Band)",White Earth Reservation,MN,4595,01934333
TRBF,MINNCH,nd,"Minnesota Chippewa Tribe, Minnesota (Six component reservations: Bois Forte Band (Nett Lake); Fond du Lac Band; Grand Portage Band; Leech Lake Band; Mille Lacs Band; White Earth Band)",Minnesota Chippewa Trust Land,MN,2285,02419018
TRBF,MCHCTW,nd,Mississippi Band of Choctaw Indians,Mississippi Choctaw Reservation,MS~TN,2300,00685014
TRBF,MOPAPT,nd,"Moapa Band of Paiute Indians of the Moapa River Indian Reservation, Nevada",Moapa River Indian Reservation,NV,2315,00845336
TRBF,MODOCN,n,Modoc Nation,Modoc OTSA,OK,5740,02418715
TRBF,MODOCN,d,Modoc Nation,Ottawa OTSA,OK,5770,02419159
TRBF,MHEGAN,nd,Mohegan Tribe of Indians of Connecticut,Mohegan Reservation,CT,2320,02419022
TRBF,MNACAN,none,Monacan Indian Nation,,,,
TRBF,MRTMDU,nd,Mooretown Rancheria of Maidu Indians of California,Mooretown Rancheria,CA,2340,02419023
TRBF,MORNGO,nd,"Morongo Band of Mission Indians, California",Morongo Reservation,CA,2360,00255940
TRBF,MCKLSH,nd,Muckleshoot Indian Tribe,Muckleshoot Reservation,WA,2375,01533394
AKNF,NAKNEK,nd,Naknek Native Village,Naknek ANVSA,AK,6990,02418721
TRBF,NNSMND,none,Nansemond Indian Nation,,,,
TRBF,NRGNST,nd,Narragansett Indian Tribe,Narragansett Reservation,RI,2415,02030138
AKNF,AFGNAK,none,Native Village of Afognak,,,,
AKNF,AKHIOK,nd,Native Village of Akhiok,Akhiok ANVSA,AK,6015,02418754
AKNF,AKUTAN,nd,Native Village of Akutan,Akutan ANVSA,AK,6030,02418758
AKNF,ALKNGK,nd,Native Village of Aleknagik,Aleknagik ANVSA,AK,6045,02418763
AKNF,AMBLER,nd,Native Village of Ambler,Ambler ANVSA,AK,6075,02418768
AKNF,ATKANV,nd,Native Village of Atka,Atka ANVSA,AK,6150,02418779
AKNF,ATQSUK,nd,Native Village of Atqasuk,Atqasuk ANVSA,AK,6165,02418782
AKNF,INPTBW,nd,Native Village of Barrow Inupiat Traditional Government,Utqiagvik ANVSA,AK,6175,02418784
AKNF,BLKFSK,n,Native Village of Belkofski,Belkofski ANVSA,AK,6195,02418788
AKNF,BLKFSK,d,Native Village of Belkofski,King Cove ANVSA,AK,6735,02418652
AKNF,BREVIG,nd,Native Village of Brevig Mission,Brevig Mission ANVSA,AK,6240,02418796
AKNF,BCKLND,nd,Native Village of Buckland,Buckland ANVSA,AK,6250,02418797
AKNF,CNTWLL,nd,Native Village of Cantwell,Cantwell ANVSA,AK,6255,02418800
AKNF,CHNEGA,n,Native Village of Chenega (aka Chanega),Chenega ANVSA,AK,6280,02418808
AKNF,CHGNKL,nd,Native Village of Chignik Lagoon,Chignik Lagoon ANVSA,AK,6300,02418821
AKNF,CHTINA,nd,Native Village of Chitina,Chitina ANVSA,AK,6330,02418831
AKNF,CHTHBK,nod,"Native Village of Chuathbaluk (Russian Mission, Kuskokwim)",Chuathbaluk ANVSA,AK,6335,02418834
AKNF,COUNCL,n,Native Village of Council,Council ANVSA,AK,6380,02418849
AKNF,COUNCL,d,Native Village of Council,Nome ANVSA,AK,7095,02575187
AKNF,DEERNG,n,Native Village of Deering,Deering ANVSA,AK,6400,02418551
AKNF,INALIK,nd,Native Village of Diomede (aka Inalik),Inalik ANVSA,AK,6630,02418629
AKNF,VEAGLE,n,Native Village of Eagle,Eagle ANVSA,AK,6430,02418560
AKNF,NVLEEK,nd,Native Village of Eek,Eek ANVSA,AK,6440,02418566
AKNF,NVEKUK,nd,Native Village of Ekuk,Ekuk ANVSA,AK,6455,02418570
AKNF,NVEKUK,nd,Native Village of Ekuk,Dillingham ANVSA,AK,6405,02418554
AKNF,VEKWOK,nd,Native Village of Ekwok,Ekwok ANVSA,AK,6460,02418571
AKNF,NVELIM,nd,Native Village of Elim,Elim ANVSA,AK,6470,02575181
AKNF,NVEYAK,n,Native Village of Eyak (Cordova),Eyak ANVSA,AK,6495,02418578
AKNF,FSPASS,nd,Native Village of False Pass,False Pass ANVSA,AK,6500,02418579
AKNF,GWCHZG,nd,Native Village of Fort Yukon,Fort Yukon ANVSA,AK,6515,02418585
AKNF,GAKONA,nd,Native Village of Gakona,Gakona ANVSA,AK,6520,02418592
AKNF,GAMBLL,nod,Native Village of Gambell,Gambell ANVSA,AK,6530,02418595
AKNF,GEORGT,n,Native Village of Georgetown,Georgetown ANVSA,AK,6535,02418598
AKNF,GNWSBY,nd,Native Village of Goodnews Bay,Goodnews Bay ANVSA,AK,6545,02418602
AKNF,HAMLTN,n,Native Village of Hamilton,Hamilton ANVSA,AK,6570,02418609
AKNF,HAMLTN,d,Native Village of Hamilton,Kotlik ANVSA,AK,6815,02418671
AKNF,HOOPBY,nd,Native Village of Hooper Bay,Hooper Bay ANVSA,AK,6595,02418619
AKNF,KANATK,d,Native Village of Kanatak,Knik ANVSA,AK,6785,02418661
AKNF,KARLUK,n,Native Village of Karluk,Karluk ANVSA,AK,6700,02418641
AKNF,VKIANA,nd,Native Village of Kiana,Kiana ANVSA,AK,6730,02418650
AKNF,KIPNUK,nd,Native Village of Kipnuk,Kipnuk ANVSA,AK,6750,02418656
AKNF,KVALNA,nd,Native Village of Kivalina,Kivalina ANVSA,AK,6755,02418658
AKNF,KLTIKH,nd,Native Village of Kluti Kaah (aka Copper Center),Copper Center ANVSA,AK,6365,02418846
AKNF,KOBUKV,nd,Native Village of Kobuk,Kobuk ANVSA,AK,6790,02418664
AKNF,KNGGNK,nd,Native Village of Kongiganak,Kongiganak ANVSA,AK,6810,02418669
AKNF,KTZBUE,nd,Native Village of Kotzebue,Kotzebue ANVSA,AK,6820,02418672
AKNF,KOYUKV,nd,Native Village of Koyuk,Koyuk ANVSA,AK,6825,02418673
AKNF,KWGLGK,nd,Native Village of Kwigillingok,Kwigillingok ANVSA,AK,6840,02418676
AKNF,QUNHGK,nd,Native Village of Kwinhagak (aka Quinhagak),Kwinhagak ANVSA,AK,6845,02418678
AKNF,LARSBY,nd,Native Village of Larsen Bay,Larsen Bay ANVSA,AK,6855,02418682
AKNF,MRSHLL,nd,Native Village of Marshall (aka Fortuna Ledge),Marshall ANVSA,AK,6910,02418697
AKNF,MIGLOO,n,Native Village of Mary's Igloo,Mary's Igloo ANVSA,AK,6915,02418698
AKNF,MIGLOO,d,Native Village of Mary's Igloo,Teller ANVSA,AK,7570,02419253
AKNF,MEKRYK,nd,Native Village of Mekoryuk,Mekoryuk ANVSA,AK,6935,02418705
AKNF,VMINTO,nd,Native Village of Minto,Minto ANVSA,AK,6965,02418713
AKNF,NANWLK,nd,Native Village of Nanwalek (aka English Bay),Nanwalek ANVSA,AK,6995,02418725
AKNF,NPAIMT,n,Native Village of Napaimute,Napaimute ANVSA,AK,7005,02418727
AKNF,NPAIMT,d,Native Village of Napaimute,Bethel ANVSA,AK,6205,02418790
AKNF,NAPAKK,n,Native Village of Napakiak,Napakiak ANVSA,AK,7010,02418728
AKNF,NAPSKK,nd,Native Village of Napaskiak,Napaskiak ANVSA,AK,7020,02418729
AKNF,NLSONL,nd,Native Village of Nelson Lagoon,Nelson Lagoon ANVSA,AK,7025,02418732
AKNF,NGHTMT,nd,Native Village of Nightmute,Nightmute ANVSA,AK,7065,02418741
AKNF,NKLSKI,nd,Native Village of Nikolski,Nikolski ANVSA,AK,7075,02418745
AKNF,NOATAK,nd,Native Village of Noatak,Noatak ANVSA,AK,7085,02418749
AKNF,NUIQST,nd,Native Village of Nuiqsut (aka Nooiksut),Nuiqsut ANVSA,AK,7125,02419151
AKNF,NNMIQA,nd,Native Village of Nunam Iqua,Nunam Iqua ANVSA,AK,7133,02419153
AKNF,NNPTCK,nd,Native Village of Nunapitchuk,Nunapitchuk ANVSA,AK,7135,02419154
AKNF,OZNKIE,nd,Native Village of Ouzinkie,Ouzinkie ANVSA,AK,7180,02419160
AKNF,VPAIMT,n,Native Village of Paimiut,Paimiut ANVSA,AK,7185,02419161
AKNF,VPAIMT,d,Native Village of Paimiut,Hooper Bay ANVSA,AK,6595,02418619
AKNF,PRRYVL,nd,Native Village of Perryville,Perryville ANVSA,AK,7215,02419166
AKNF,PILOTP,nd,Native Village of Pilot Point,Pilot Point ANVSA,AK,7225,02419169
AKNF,PNTHPE,nd,Native Village of Point Hope,Point Hope ANVSA,AK,7250,02419176
AKNF,PNTLAY,nd,Native Village of Point Lay,Point Lay ANVSA,AK,7255,02419177
AKNF,PRTGRM,n,Native Village of Port Graham,Port Graham ANVSA,AK,7265,02419184
AKNF,PRTHDN,nd,Native Village of Port Heiden,Port Heiden ANVSA,AK,7270,02419186
AKNF,PRTLNS,nd,Native Village of Port Lions,Port Lions ANVSA,AK,7275,02419187
AKNF,NVRUBY,nd,Native Village of Ruby,Ruby ANVSA,AK,7310,02419201
AKNF,STMCHL,nd,Native Village of Saint Michael,St. Michael ANVSA,AK,7375,02419229
AKNF,SAVNGA,nd,Native Village of Savoonga,Savoonga ANVSA,AK,7415,02419208
AKNF,SCMNBY,nd,Native Village of Scammon Bay,Scammon Bay ANVSA,AK,7425,02419210
AKNF,SELAWK,nd,Native Village of Selawik,Selawik ANVSA,AK,7430,02419211
AKNF,SHKTLK,n,Native Village of Shaktoolik,Shaktoolik ANVSA,AK,7450,02419216
AKNF,SSHMRF,nd,Native Village of Shishmaref,Shishmaref ANVSA,AK,7465,02419217
AKNF,SHNGNK,nd,Native Village of Shungnak,Shungnak ANVSA,AK,7470,02419218
AKNF,STEVNS,nd,Native Village of Stevens,Stevens Village ANVSA,AK,7520,02419234
AKNF,TNCRSS,nd,Native Village of Tanacross,Tanacross ANVSA,AK,7535,02419244
AKNF,NVTNNA,nd,Native Village of Tanana,Tanana ANVSA,AK,7540,02419247
AKNF,TATTLK,nd,Native Village of Tatitlek,Tatitlek ANVSA,AK,7555,02419248
AKNF,TAZLNA,nd,Native Village of Tazlina,Tazlina ANVSA,AK,7560,02419250
AKNF,TELLER,nd,Native Village of Teller,Teller ANVSA,AK,7570,02419253
AKNF,TETLIN,n,Native Village of Tetlin,Tetlin ANVSA,AK,7580,02419255
AKNF,TNTTLK,nd,Native Village of Tuntutuliak,Tuntutuliak ANVSA,AK,7640,02419265
AKNF,TUNNAK,nd,Native Village of Tununak,Tununak ANVSA,AK,7645,02419267
AKNF,TYONEK,nd,Native Village of Tyonek,Tyonek ANVSA,AK,7655,02419272
AKNF,UNLKLT,nd,Native Village of Unalakleet,Unalakleet ANVSA,AK,7690,02419276
AKNF,NVUNGA,d,Native Village of Unga,Sand Point ANVSA,AK,7410,02419207
AKNF,VENETI,nd,Native Village of Venetie Tribal Government (Arctic Village and Village of Venetie),Arctic Village ANVSA,AK,6140,02418776
AKNF,VENETI,nd,Native Village of Venetie Tribal Government (Arctic Village and Village of Venetie),Venetie ANVSA,AK,7725,02575192
AKNF,VWALES,n,Native Village of Wales,Wales ANVSA,AK,7740,02419282
AKNF,NVWMTN,nd,Native Village of White Mountain,White Mountain ANVSA,AK,7745,02419284
TRBF,NAVAJO,nd,"Navajo Nation, Arizona, New Mexico, & Utah",Navajo Nation Reservation,AZ~NM~UT,2430,00041148
AKNF,NENANA,nd,Nenana Native Association,Nenana ANVSA,AK,7030,02418734
AKNF,NKLGNK,nd,New Koliganek Village Council,New Koliganek ANVSA,AK,7040,02418736
AKNF,NSTYHK,nd,New Stuyahok Village,New Stuyahok ANVSA,AK,7050,02418737
AKNF,NHALEN,nd,Newhalen Village,Newhalen ANVSA,AK,7035,02418738
AKNF,NEWTOK,nd,Newtok Village,Newtok ANVSA,AK,7055,02418739
TRBF,NEZPRC,nd,Nez Perce Tribe,Nez Perce Reservation,ID,2445,00399588
TRBF,NEZPRC,r,Nez Perce Tribe,Celilo Village,OR,0560,02419333
AKNF,NKOLAI,nd,Nikolai Village,Nikolai ANVSA,AK,7070,02418744
AKNF,NNLCHK,nd,Ninilchik Village,Ninilchik ANVSA,AK,7080,02418747
TRBF,NISQLL,nd,Nisqually Indian Tribe,Nisqually Reservation,WA,2460,01528422
AKNF,NOMECM,nd,Nome Eskimo Community,Nome ANVSA,AK,7095,02575187
AKNF,NNDLTN,nd,Nondalton Village,Nondalton ANVSA,AK,7100,02419145
TRBF,NOOKSK,n,Nooksack Indian Tribe,Nooksack Reservation,WA,2475,02419035
AKNF,NOORVK,nd,Noorvik Native Community,Noorvik ANVSA,AK,7110,02419146
TRBF,NARPWR,nd,"Northern Arapaho Tribe of the Wind River Reservation, Wyoming",Wind River Reservation,WY,4610,01597068
TRBF,NORCHY,nd,"Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana",Northern Cheyenne Indian Reservation,MT~SD,2490,01637567
TRBF,NFMONO,n,Northfork Rancheria of Mono Indians of California,North Fork Rancheria,CA,2495,02419036
AKNF,NRTHWY,nd,Northway Village,Northway ANVSA,AK,7115,02419147
TRBF,NWSSHN,n,Northwestern Band of the Shoshone Nation,Northwestern Shoshone Reservation,UT,2505,01455571
TRBF,NSHPWT,nd,"Nottawaseppi Huron Band of the Potawatomi, Michigan",Huron Potawatomi Reservation,MI,1550,02109298
AKNF,NULATO,nd,Nulato Village,Nulato ANVSA,AK,7130,02419152
AKNF,NKYRMT,d,Nunakauyarmiut Tribe,Toksook Bay ANVSA,AK,7625,02419259
TRBF,OGLLSX,d,Oglala Sioux Tribe,Pine Ridge Reservation,NE~SD,2810,01263144
TRBF,OKYOWG,nd,"Ohkay Owingeh, New Mexico",Ohkay Owingeh,NM,2510,01934344
TRBF,OMAHAT,nd,Omaha Tribe of Nebraska,Omaha Reservation,IA~NE,2550,00834985
TRBF,ONDANY,nd,Oneida Indian Nation,Oneida Nation Reservation,NY,2555,02419043
TRBF,ONDAWI,nd,Oneida Nation,Oneida (WI) Reservation,WI,2560,01577191
TRBF,ONNDGA,nd,Onondaga Nation,Onondaga Nation Reservation,NY,2570,00979312
AKNF,GRYLNG,nd,Organized Village of Grayling (aka Holikachuk),Grayling ANVSA,AK,6550,02418603
AKNF,VLKAKE,nd,Organized Village of Kake,Kake ANVSA,AK,6670,02418635
AKNF,KASAAN,nd,Organized Village of Kasaan,Kasaan ANVSA,AK,6705,02418643
AKNF,KWTHLK,nd,Organized Village of Kwethluk,Kwethluk ANVSA,AK,6835,02418675
AKNF,SAXMAN,nd,Organized Village of Saxman,Saxman ANVSA,AK,7420,02419209
AKNF,OTSRMT,d,Orutsararmiut Traditional Native Council,Bethel ANVSA,AK,6205,02418790
AKNF,OSCARV,n,Oscarville Traditional Village,Oscarville ANVSA,AK,7175,02419157
AKNF,OSCARV,d,Oscarville Traditional Village,Napaskiak ANVSA,AK,7020,02418729
TRBF,OTOMSA,nd,"Otoe-Missouria Tribe of Indians, Oklahoma",Otoe-Missouria OTSA,OK,5760,01925068
TRBF,OWATOK,nd,Ottawa Tribe of Oklahoma,Ottawa OTSA,OK,5770,02419159
TRBF,PTTRUT,nd,"Paiute Indian Tribe of Utah (Cedar Band of Paiutes, Kanosh Band of Paiutes, Koosharem Band of Paiutes, Indian Peaks Band of Paiutes, and Shivwits Band of Paiutes)",Paiute (UT) Reservation,UT,2625,01436088
TRBF,PTSHFL,nd,"Paiute-Shoshone Tribe of the Fallon Reservation and Colony, Nevada",Fallon Paiute-Shoshone Colony,NV,1070,00850495
TRBF,PTSHFL,n,"Paiute-Shoshone Tribe of the Fallon Reservation and Colony, Nevada",Fallon Paiute-Shoshone Reservation,NV,1075,00840414
TRBF,PALABD,nd,Pala Band of Mission Indians,Pala Reservation,CA,2635,00272502
TRBF,PAMNKY,nd,Pamunkey Indian Tribe,Pamunkey (State) Reservation,VA,9260,01472036
TRBF,PSQYQI,nd,Pascua Yaqui Tribe of Arizona,Pascua Pueblo Yaqui Reservation,AZ,2680,02419049
TRBF,PSKNML,n,Paskenta Band of Nomlaki Indians of California,Paskenta Rancheria,CA,2685,02419050
TRBF,PSMQDY,nd,Passamaquoddy Tribe,Indian Township Reservation,ME,1575,02418973
TRBF,PSMQDY,nd,Passamaquoddy Tribe,Passamaquoddy Trust Land,ME,2695,02419052
TRBF,PSMQDY,nd,Passamaquoddy Tribe,Pleasant Point Reservation,ME,2850,00573503
AKNF,PLFHBR,d,Pauloff Harbor Village,Sand Point ANVSA,AK,7410,02419207
TRBF,PAMALS,nd,"Pauma Band of Luiseno Mission Indians of the Pauma & Yuima Reservation, California",Pauma and Yuima Reservation,CA,2715,00272896
TRBF,PAWNEE,nd,Pawnee Nation of Oklahoma,Pawnee OTSA,OK,5780,01925076
TRBF,PCHNGA,nd,"Pechanga Band of Indians (previously listed as Pechanga Band of Luiseno Mission Indians of the Pechanga Reservation, California)",Pechanga Reservation,CA,2745,00272911
AKNF,PDROBY,nd,Pedro Bay Village,Pedro Bay ANVSA,AK,7205,02419163
TRBF,PNBSCT,nd,Penobscot Nation,Penobscot Reservation,ME,2760,00582669
TRBF,PEORIA,n,Peoria Tribe of Indians of Oklahoma,Peoria OTSA,OK,5795,02419165
TRBF,PEORIA,d,Peoria Tribe of Indians of Oklahoma,Ottawa OTSA,OK,5770,02419159
TRBF,PEORIA,n,Peoria Tribe of Indians of Oklahoma,Miami/Peoria joint-use OTSA,OK,5970,02418712
AKNF,PTRSBG,nd,Petersburg Indian Association,Petersburg ANVSA,AK,7220,02575188
TRBF,PYCKCH,n,Picayune Rancheria of Chukchansi Indians of California,Picayune Rancheria,CA,2775,01670201
AKNF,PILTST,nd,Pilot Station Traditional Village,Pilot Station ANVSA,AK,7230,02419170
TRBF,PVPOMO,nd,"Pinoleville Pomo Nation, California",Pinoleville Rancheria,CA,2820,00230747
TRBF,PITRVR,n,"Pit River Tribe, California (includes XL Ranch, Big Bend, Likely, Lookout, Montgomery Creek, and Roaring Creek Rancherias)",Big Bend Rancheria,CA,0215,00256889
TRBF,PITRVR,n,"Pit River Tribe, California (includes XL Ranch, Big Bend, Likely, Lookout, Montgomery Creek, and Roaring Creek Rancherias)",Likely Rancheria,CA,1955,00276402
TRBF,PITRVR,n,"Pit River Tribe, California (includes XL Ranch, Big Bend, Likely, Lookout, Montgomery Creek, and Roaring Creek Rancherias)",Lookout Rancheria,CA,1980,00227643
TRBF,PITRVR,n,"Pit River Tribe, California (includes XL Ranch, Big Bend, Likely, Lookout, Montgomery Creek, and Roaring Creek Rancherias)",Montgomery Creek Rancheria,CA,2330,00263771
TRBF,PITRVR,n,"Pit River Tribe, California (includes XL Ranch, Big Bend, Likely, Lookout, Montgomery Creek, and Roaring Creek Rancherias)",Roaring Creek Rancheria,CA,3185,00265444
TRBF,PITRVR,n,"Pit River Tribe, California (includes XL Ranch, Big Bend, Likely, Lookout, Montgomery Creek, and Roaring Creek Rancherias)",Pit River Trust Land,CA,2835,02419056
TRBF,PITRVR,n,"Pit River Tribe, California (includes XL Ranch, Big Bend, Likely, Lookout, Montgomery Creek, and Roaring Creek Rancherias)",XL Ranch Rancheria,CA,4680,00252581
AKNF,PTKAPT,nd,Pitka's Point Traditional Council,Pitkas Point ANVSA,AK,7235,02419171
AKNF,PLATNM,nd,Platinum Traditional Village,Platinum ANVSA,AK,7245,02419173
TRBF,PCREEK,nd,Poarch Band of Creek Indians,Poarch Creek Reservation,AL~FL,2865,02419057
TRBF,POKPWT,nd,"Pokagon Band of Potawatomi Indians, Michigan and Indiana",Pokagon Reservation,IN~MI,2890,02419058
TRBF,PNCAOK,nd,Ponca Tribe of Indians of Oklahoma,Ponca OTSA,OK,5800,02419180
TRBF,PNCAOK,n,Ponca Tribe of Indians of Oklahoma,Kaw/Ponca joint-use OTSA,OK,5950,02418647
TRBF,PNCANE,n,Ponca Tribe of Nebraska,Ponca (NE) Trust Land,IA~NE,2900,02419061
TRBF,PGSKLL,nd,Port Gamble S'Klallam Tribe,Port Gamble Reservation,WA,2910,01507567
AKNF,OGSNKL,n,Portage Creek Village (aka Ohgsenakale),Portage Creek ANVSA,AK,7260,02419189
TRBF,PTTERV,none,"Potter Valley Tribe, California",,,,
TRBF,PRAPWT,nd,Prairie Band Potawatomi Nation,Prairie Band of Potawatomi Nation Reservation,KS,2980,01934332
TRBF,PRAIRI,nd,Prairie Island Indian Community in the State of Minnesota,Prairie Island Indian Community,MN,2985,00654519
AKNF,PRBLFC,nd,Pribilof Islands Aleut Communities of St. Paul & St. George Islands (Saint George Island and Saint Paul Island),St. George ANVSA,AK,7340,02419228
AKNF,PRBLFC,nd,Pribilof Islands Aleut Communities of St. Paul & St. George Islands (Saint George Island and Saint Paul Island),St. Paul ANVSA,AK,7390,02419230
TRBF,ACOMAP,nd,"Pueblo of Acoma, New Mexico",Acoma Pueblo,NM,0010,01934337
TRBF,COCHTI,nd,"Pueblo of Cochiti, New Mexico",Pueblo de Cochiti,NM,0680,00937176
TRBF,ISLETA,nd,"Pueblo of Isleta, New Mexico",Isleta Pueblo,NM,1625,01934338
TRBF,JEMEZP,nd,"Pueblo of Jemez, New Mexico",Jemez Pueblo,NM,1685,00916031
TRBF,LAGUNA,nd,"Pueblo of Laguna, New Mexico",Laguna Pueblo,NM,1840,01934340
TRBF,NAMBEP,nd,"Pueblo of Nambe, New Mexico",Nambe Pueblo,NM,2400,00918263
TRBF,PCURIS,nd,"Pueblo of Picuris, New Mexico",Picuris Pueblo,NM,2785,01934341
TRBF,POJOAQ,nd,"Pueblo of Pojoaque, New Mexico",Pueblo of Pojoaque,NM,2990,00937193
TRBF,SFLIPE,nd,"Pueblo of San Felipe, New Mexico",San Felipe Pueblo,NM,3400,00910614
TRBF,SFLIPE,n,"Pueblo of San Felipe, New Mexico",San Felipe Pueblo/Santa Ana Pueblo joint-use area,NM,4930,02419124
TRBF,SFLIPE,n,"Pueblo of San Felipe, New Mexico",San Felipe Pueblo/Santo Domingo Pueblo joint-use area,NM,4940,02419125
TRBF,SILDFN,nd,"Pueblo of San Ildefonso, New Mexico",San Ildefonso Pueblo,NM,3415,00918342
TRBF,SANDIA,nd,"Pueblo of Sandia, New Mexico",Sandia Pueblo,NM,3370,01934343
TRBF,STAANA,nd,"Pueblo of Santa Ana, New Mexico",Santa Ana Pueblo,NM,3480,01934345
TRBF,STAANA,n,"Pueblo of Santa Ana, New Mexico",San Felipe Pueblo/Santa Ana Pueblo joint-use area,NM,4930,02419124
TRBF,SCLARA,nd,"Pueblo of Santa Clara, New Mexico",Santa Clara Pueblo,NM,3495,00937196
TRBF,TAOSPB,nd,"Pueblo of Taos, New Mexico",Taos Pueblo,NM,4140,01934342
TRBF,TSUQUE,nd,"Pueblo of Tesuque, New Mexico",Tesuque Pueblo,NM,4170,00937203
TRBF,ZIAPBL,nd,"Pueblo of Zia, New Mexico",Zia Pueblo,NM,4770,01934347
TRBF,PUYLLP,nd,Puyallup Tribe of the Puyallup Reservation,Puyallup Reservation,WA,3000,01514929
TRBF,PYRLPT,nd,"Pyramid Lake Paiute Tribe of the Pyramid Lake Reservation, Nevada",Pyramid Lake Paiute Reservation,NV,3010,00857503
AKNF,QGNTGN,nd,Qagan Tayagungin Tribe of Sand Point,Sand Point ANVSA,AK,7410,02419207
AKNF,QWALGN,nd,Qawalangin Tribe of Unalaska,Unalaska ANVSA,AK,7695,02419277
TRBF,QUAPAW,nd,Quapaw Nation,Quapaw OTSA,OK,5810,02419193
TRBF,QUARTZ,nd,Quartz Valley Indian Community of the Quartz Valley Reservation of California,Quartz Valley Reservation,CA,3020,00265103
TRBF,QUECHN,nd,"Quechan Tribe of the Fort Yuma Indian Reservation, California & Arizona",Fort Yuma Indian Reservation,AZ~CA,1280,00242378
TRBF,QUILTE,nd,Quileute Tribe of the Quileute Reservation,Quileute Reservation,WA,3030,01511646
TRBF,QUINLT,nd,Quinault Indian Nation,Quinault Reservation,WA,3040,01531838
TRBF,RMNACL,n,"Ramona Band of Cahuilla, California",Ramona Village,CA,3070,00273181
AKNF,RAMPRT,nd,Rampart Village,Rampart ANVSA,AK,7300,02419195
TRBF,RPHNCK,nd,"Rappahannock Tribe, Inc.",Rappahannock TDSA,VA,8700,02813263
TRBF,RCLSCH,nd,Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin,Red Cliff Reservation,WI,3085,01577204
TRBF,RDLKCH,nd,"Red Lake Band of Chippewa Indians, Minnesota",Red Lake Reservation,MN,3100,01934331
TRBF,RDDING,nd,"Redding Rancheria, California",Redding Rancheria,CA,3095,01682404
TRBF,RVPOMO,nd,Redwood Valley or Little River Band of Pomo Indians of the Redwood Valley Rancheria California,Redwood Valley Rancheria,CA,3115,00231455
TRBF,RNOSPK,nd,"Reno-Sparks Indian Colony, Nevada",Reno-Sparks Indian Colony,NV,3130,00853944
TRBF,PLKLYK,nd,"Pulikla Tribe of Yurok People (previously listed as Resighini Rancheria, California)",Resighini Rancheria,CA,3145,01657342
TRBF,RNCNLS,nd,"Rincon Band of Luiseno Mission Indians of Rincon Reservation, California",Rincon Reservation,CA,3165,00273286
TRBF,ROBNSN,nd,Robinson Rancheria,Robinson Rancheria,CA,3195,00234577
