"neid_prefix","neid_mid","FRN_NameAsPublished","FRN_Date"
TRBF,UKEETW,"United Keetoowah Band of Cherokee Indians in Oklahoma",12/11/2024
TRBF,UMATLL,"Confederated Tribes of the Umatilla Indian Reservation",12/11/2024
TRBF,UMTPNI,"Upper Mattaponi Tribe",12/11/2024
TRBF,UNTHOR,"Ute Indian Tribe of the Uintah & Ouray Reservation, Utah",12/11/2024
TRBF,UPSXMN,"Upper Sioux Community, Minnesota",12/11/2024
TRBF,USKAGT,"Upper Skagit Indian Tribe",12/11/2024
TRBF,UTEMTN,"Ute Mountain Ute Tribe",12/11/2024
TRBF,UUGWTU,"Utu Utu Gwaitu Paiute Tribe of the Benton Paiute Reservation, California",12/11/2024
TRBF,WASHOE,"Washoe Tribe of Nevada & California (Carson Colony, Dresslerville Colony, Woodfords Community, Stewart Community, & Washoe Ranches)",12/11/2024
TRBF,WIAPYP,"Ewiiaapaayp Band of Kumeyaay Indians (previously listed as Ewiiaapaayp Band of Kumeyaay Indians, California)",1/30/2026
TRBF,WIAPYP,"Ewiiaapaayp Band of Kumeyaay Indians, California",12/11/2024
TRBF,WILTON,"Wilton Rancheria, California",12/11/2024
TRBF,WIYOTT,"Wiyot Tribe, California",12/11/2024
TRBF,WKWTOK,"Wichita and Affiliated Tribes (Wichita, Keechi, Waco, & Tawakonie), Oklahoma",12/11/2024
TRBF,WLKRRV,"Walker River Paiute Tribe of the Walker River Reservation, Nevada",12/11/2024
TRBF,WMTNAZ,"White Mountain Apache Tribe of the Fort Apache Reservation, Arizona",12/11/2024
TRBF,WNNBGO,"Winnebago Tribe of Nebraska",12/11/2024
TRBF,WNNMCA,"Winnemucca Indian Colony of Nevada",12/11/2024
TRBF,WRMSPR,"Confederated Tribes of the Warm Springs Reservation of Oregon",12/11/2024
TRBF,WYNDTT,"Wyandotte Nation",12/11/2024
TRBF,YAKAMA,"Confederated Tribes and Bands of the Yakama Nation",12/11/2024
TRBF,YANKTN,"Yankton Sioux Tribe of South Dakota",12/11/2024
TRBF,YHVTSM,"Yuhaaviatam of San Manuel Nation (previously listed as San Manuel Band of Mission Indians, California)",12/11/2024
TRBF,YLSTSR,"Ysleta del Sur Pueblo",12/11/2024
TRBF,YOCHAD,"Yocha Dehe Wintun Nation, California",12/11/2024
TRBF,YOMBAT,"Yomba Shoshone Tribe of the Yomba Reservation, Nevada",12/11/2024
TRBF,YRNGTN,"Yerington Paiute Tribe of the Yerington Colony & Campbell Ranch, Nevada",12/11/2024
TRBF,YUROKT,"Yurok Tribe of the Yurok Reservation, California",12/11/2024
TRBF,ZIAPBL,"Pueblo of Zia, New Mexico",12/11/2024
TRBF,ZUNINM,"Zuni Tribe of the Zuni Reservation, New Mexico",12/11/2024
AKNF,ACSRMT,"Asa'carsarmiut Tribe",12/11/2024
AKNF,AFGNAK,"Native Village of Afognak",12/11/2024
AKNF,AGDAGX,"Agdaagux Tribe of King Cove",12/11/2024
AKNF,AKACHK,"Akiachak Native Community",12/11/2024
AKNF,AKHIOK,"Native Village of Akhiok",12/11/2024
AKNF,AKIAKC,"Akiak Native Community",12/11/2024
AKNF,AKUTAN,"Native Village of Akutan",12/11/2024
AKNF,ALAKKT,"Allakaket Village",12/11/2024
AKNF,ALAKNK,"Village of Alakanuk",12/11/2024
AKNF,ALATNA,"Alatna Village",12/11/2024
AKNF,ALGACQ,"Algaaciq Native Village (St. Mary's)",12/11/2024
AKNF,ALKNGK,"Native Village of Aleknagik",12/11/2024
AKNF,ALTIIQ,"Alutiiq Tribe of Old Harbor",12/11/2024
AKNF,AMBLER,"Native Village of Ambler",12/11/2024
AKNF,ANGOON,"Angoon Community Association",12/11/2024
AKNF,ANKTVK,"Village of Anaktuvuk Pass",12/11/2024
AKNF,ANVIKV,"Anvik Village",12/11/2024
AKNF,ARCTIC,"Arctic Village (See Native Village of Venetie Tribal Government)",12/11/2024
AKNF,ATKANV,"Native Village of Atka",12/11/2024
AKNF,ATMTLK,"Village of Atmautluak",12/11/2024
AKNF,ATQSUK,"Native Village of Atqasuk",12/11/2024
AKNF,BCKLND,"Native Village of Buckland",12/11/2024
AKNF,BEAVRV,"Beaver Village",12/11/2024
AKNF,BIRCHC,"Birch Creek Tribe",12/11/2024
AKNF,BLKFSK,"Native Village of Belkofski",12/11/2024
AKNF,BLLMSL,"Village of Bill Moore's Slough",12/11/2024
AKNF,BREVIG,"Native Village of Brevig Mission",12/11/2024
AKNF,CGNKBY,"Chignik Bay Tribal Council",12/11/2024
AKNF,CGNKLG,"Native Village of Chignik Lagoon",12/11/2024
AKNF,CGNKLK,"Chignik Lake Village",12/11/2024
AKNF,CHCKLN,"Chickaloon Native Village",12/11/2024
AKNF,CHEVAK,"Chevak Native Village",12/11/2024
AKNF,CHFRNK,"Village of Chefornak",12/11/2024
AKNF,CHINIK,"Chinik Eskimo Community (Golovin)",12/11/2024
AKNF,CHLKAT,"Chilkat Indian Village (Klukwan)",12/11/2024
AKNF,CHLKSK,"Chalkyitsik Village",12/11/2024
AKNF,CHNEGA,"Native Village of Chenega",1/30/2026
AKNF,CHNEGA,"Native Village of Chenega (aka Chanega)",12/11/2024
AKNF,CHSHNA,"Cheesh-Na Tribe",12/11/2024
AKNF,CHTHBK,"Native Village of Chuathbaluk (Russian Mission, Kuskokwim)",12/11/2024
AKNF,CHTINA,"Native Village of Chitina",12/11/2024
AKNF,CIRCLE,"Circle Native Community",12/11/2024
AKNF,CLKOOT,"Chilkoot Indian Association (Haines)",12/11/2024
AKNF,CLNWCK,"Chuloonawick Native Village",12/11/2024
AKNF,CLRKPT,"Village of Clarks Point",12/11/2024
AKNF,CNTWLL,"Native Village of Cantwell",12/11/2024
AKNF,COUNCL,"Native Village of Council",12/11/2024
AKNF,CRAIGT,"Craig Tribal Association",12/11/2024
AKNF,CRKEDC,"Village of Crooked Creek",12/11/2024
AKNF,CRYUNG,"Curyung Tribal Council",12/11/2024
AKNF,DEERNG,"Native Village of Deering",12/11/2024
AKNF,DOTLAK,"Village of Dot Lake",12/11/2024
AKNF,DOUGLS,"Douglas Indian Association",12/11/2024
AKNF,EGEGIK,"Egegik Village",12/11/2024
AKNF,EKLTNA,"Eklutna Native Village",12/11/2024
AKNF,EMMNAK,"Emmonak Village",12/11/2024
AKNF,EVNSVL,"Evansville Village (aka Bettles Field)",12/11/2024
AKNF,FSPASS,"Native Village of False Pass",12/11/2024
AKNF,GAKONA,"Native Village of Gakona",12/11/2024
AKNF,GAMBLL,"Native Village of Gambell",12/11/2024
AKNF,GEORGT,"Native Village of Georgetown",12/11/2024
AKNF,GLKANA,"Gulkana Village Council",12/11/2024
AKNF,GNWSBY,"Native Village of Goodnews Bay",12/11/2024
AKNF,GRYLNG,"Organized Village of Grayling (aka Holikachuk)",12/11/2024
AKNF,GWCHZG,"Native Village of Fort Yukon",12/11/2024
AKNF,HAMLTN,"Native Village of Hamilton",12/11/2024
AKNF,HCROSS,"Holy Cross Tribe",12/11/2024
AKNF,HDABRG,"Hydaburg Cooperative Association",12/11/2024
AKNF,HEALYL,"Healy Lake Village",12/11/2024
AKNF,HOONAH,"Hoonah Indian Association",12/11/2024
AKNF,HOOPBY,"Native Village of Hooper Bay",12/11/2024
AKNF,HUGHES,"Hughes Village",12/11/2024
AKNF,HUSLIA,"Huslia Village",12/11/2024
AKNF,IGIUGG,"Igiugig Village",12/11/2024
AKNF,INALIK,"Native Village of Diomede (aka Inalik)",12/11/2024
AKNF,INPTAS,"Inupiat Community of the Arctic Slope",12/11/2024
AKNF,INPTBW,"Native Village of Barrow Inupiat Traditional Government",12/11/2024
AKNF,IQUGMT,"Iqugmiut Traditional Council",12/11/2024
AKNF,IVNFBY,"Ivanof Bay Tribe",12/11/2024
AKNF,KAGUYK,"Kaguyak Village",12/11/2024
AKNF,KALTAG,"Village of Kaltag",12/11/2024
AKNF,KANATK,"Native Village of Kanatak",12/11/2024
AKNF,KARLUK,"Native Village of Karluk",12/11/2024
AKNF,KASAAN,"Organized Village of Kasaan",12/11/2024
AKNF,KENTZE,"Kenaitze Indian Tribe",12/11/2024
AKNF,KIPNUK,"Native Village of Kipnuk",12/11/2024
AKNF,KKTOVK,"Kaktovik Village (aka Barter Island)",12/11/2024
AKNF,KLAWCK,"Klawock Cooperative Association",12/11/2024
AKNF,KLSKAG,"Village of Kalskag",12/11/2024
AKNF,KLTIKH,"Native Village of Kluti Kaah (aka Copper Center)",12/11/2024
AKNF,KNGGNK,"Native Village of Kongiganak",12/11/2024
AKNF,KNGISL,"King Island Native Community",12/11/2024
AKNF,KNGSAL,"King Salmon Tribe",12/11/2024
AKNF,KNIKTR,"Knik Tribe",12/11/2024
AKNF,KOBUKV,"Native Village of Kobuk",12/11/2024
AKNF,KOKHNK,"Kokhanok Village",12/11/2024
AKNF,KOTLIK,"Village of Kotlik",12/11/2024
AKNF,KOYUKK,"Koyukuk Native Village",12/11/2024
AKNF,KOYUKV,"Native Village of Koyuk",12/11/2024
AKNF,KSIGLK,"Kasigluk Traditional Elders Council",12/11/2024
AKNF,KTCHKN,"Ketchikan Indian Community",12/11/2024
AKNF,KTZBUE,"Native Village of Kotzebue",12/11/2024
AKNF,KVALNA,"Native Village of Kivalina",12/11/2024
AKNF,KWGLGK,"Native Village of Kwigillingok",12/11/2024
AKNF,KWTHLK,"Organized Village of Kwethluk",12/11/2024
AKNF,LARSBY,"Native Village of Larsen Bay",12/11/2024
AKNF,LEVLCK,"Levelock Village",12/11/2024
AKNF,LIMEVL,"Lime Village",12/11/2024
AKNF,LKLSKG,"Village of Lower Kalskag",12/11/2024
AKNF,LOUDEN,"Louden Tribe (previously listed as Galena Village (aka Louden Village))",12/11/2024
AKNF,MCGRTH,"McGrath Native Village",12/11/2024
AKNF,MEKRYK,"Native Village of Mekoryuk",12/11/2024
AKNF,MIGLOO,"Native Village of Mary's Igloo",12/11/2024
AKNF,MNLYHS,"Manley Hot Springs Village",12/11/2024
AKNF,MNOKTK,"Manokotak Village",12/11/2024
AKNF,MNTSTA,"Mentasta Traditional Council",12/11/2024
AKNF,MRSHLL,"Native Village of Marshall (aka Fortuna Ledge)",12/11/2024
AKNF,MTLKTL,"Metlakatla Indian Community, Annette Island Reserve",12/11/2024
AKNF,NAKNEK,"Naknek Native Village",12/11/2024
AKNF,NANWLK,"Native Village of Nanwalek (aka English Bay)",12/11/2024
AKNF,NAPAKK,"Native Village of Napakiak",12/11/2024
AKNF,NAPSKK,"Native Village of Napaskiak",12/11/2024
AKNF,NENANA,"Nenana Native Association",12/11/2024
AKNF,NEWTOK,"Newtok Village",12/11/2024
AKNF,NGHTMT,"Native Village of Nightmute",12/11/2024
AKNF,NHALEN,"Newhalen Village",12/11/2024
AKNF,NKLGNK,"New Koliganek Village Council",12/11/2024
AKNF,NKLSKI,"Native Village of Nikolski",12/11/2024
AKNF,NKOLAI,"Nikolai Village",12/11/2024
AKNF,NKYRMT,"Nunakauyarmiut Tribe",12/11/2024
AKNF,NLSONL,"Native Village of Nelson Lagoon",12/11/2024
AKNF,NNDLTN,"Nondalton Tribe (previously listed as Nondalton Village)",1/30/2026
AKNF,NNDLTN,"Nondalton Village",12/11/2024
AKNF,NNLCHK,"Ninilchik Village",12/11/2024
AKNF,NNMIQA,"Native Village of Nunam Iqua",12/11/2024
AKNF,NNPTCK,"Native Village of Nunapitchuk",12/11/2024
AKNF,NOATAK,"Native Village of Noatak",12/11/2024
AKNF,NOMECM,"Nome Eskimo Community",12/11/2024
AKNF,NOORVK,"Noorvik Native Community",12/11/2024
AKNF,NPAIMT,"Native Village of Napaimute",12/11/2024
AKNF,NRTHWY,"Northway Village",12/11/2024
AKNF,NSTYHK,"New Stuyahok Village",12/11/2024
AKNF,NUIQST,"Native Village of Nuiqsut (aka Nooiksut)",12/11/2024
AKNF,NULATO,"Nulato Village",12/11/2024
AKNF,NVEKUK,"Native Village of Ekuk",12/11/2024
AKNF,NVELIM,"Native Village of Elim",12/11/2024
AKNF,NVEYAK,"Native Village of Eyak (Cordova)",12/11/2024
AKNF,NVLEEK,"Native Village of Eek",12/11/2024
AKNF,NVRUBY,"Native Village of Ruby",12/11/2024
AKNF,NVTNNA,"Native Village of Tanana",12/11/2024
AKNF,NVUNGA,"Native Village of Unga",12/11/2024
AKNF,NVWMTN,"Native Village of White Mountain",12/11/2024
AKNF,OGSNKL,"Portage Creek Village (aka Ohgsenakale)",12/11/2024
AKNF,OHOGMT,"Village of Ohogamiut",12/11/2024
AKNF,OSCARV,"Oscarville Traditional Village",12/11/2024
AKNF,OTSRMT,"Orutsararmiut Traditional Native Council",12/11/2024
AKNF,OZNKIE,"Native Village of Ouzinkie",12/11/2024
AKNF,PDROBY,"Pedro Bay Village",12/11/2024
AKNF,PILOTP,"Native Village of Pilot Point",12/11/2024
AKNF,PILTST,"Pilot Station Traditional Village",12/11/2024
AKNF,PLATNM,"Platinum Traditional Village",12/11/2024
AKNF,PLFHBR,"Pauloff Harbor Village",12/11/2024
AKNF,PNTHPE,"Native Village of Point Hope",12/11/2024
AKNF,PNTLAY,"Native Village of Point Lay",12/11/2024
AKNF,PRBLFC,"Pribilof Islands Aleut Communities of St. Paul & St. George Islands (St. George Island and Saint Paul Island)",1/30/2026
AKNF,PRBLFC,"Pribilof Islands Aleut Communities of St. Paul & St. George Islands (Saint George Island and Saint Paul Island)",12/11/2024
AKNF,PRRYVL,"Native Village of Perryville",12/11/2024
AKNF,PRTGRM,"Native Village of Port Graham",12/11/2024
AKNF,PRTHDN,"Native Village of Port Heiden",12/11/2024
AKNF,PRTLNS,"Native Village of Port Lions",12/11/2024
AKNF,PTKAPT,"Pitka's Point Traditional Council",12/11/2024
AKNF,PTRSBG,"Petersburg Indian Association",12/11/2024
AKNF,QGNTGN,"Qagan Tayagungin Tribe of Sand Point",12/11/2024
AKNF,QUNHGK,"Native Village of Kwinhagak (aka Quinhagak)",12/11/2024
AKNF,QWALGN,"Qawalangin Tribe of Unalaska",12/11/2024
AKNF,RAMPRT,"Rampart Village",12/11/2024
AKNF,REDDVL,"Village of Red Devil",12/11/2024
AKNF,SAVNGA,"Native Village of Savoonga",12/11/2024
AKNF,SAXMAN,"Organized Village of Saxman",12/11/2024
AKNF,SCMNBY,"Native Village of Scammon Bay",12/11/2024
AKNF,SELAWK,"Native Village of Selawik",12/11/2024
AKNF,SHGELK,"Shageluk Native Village",12/11/2024
AKNF,SHKTLK,"Native Village of Shaktoolik",12/11/2024
AKNF,SHNGNK,"Native Village of Shungnak",12/11/2024
AKNF,SITKAT,"Sitka Tribe of Alaska",12/11/2024
AKNF,SKAGWY,"Skagway Village",12/11/2024
AKNF,SLDVIA,"Seldovia Village Tribe",12/11/2024
AKNF,SLMATF,"Salamatof Tribe",12/11/2024
AKNF,SLTMUT,"Village of Sleetmute",12/11/2024
AKNF,SNKNEK,"Native Village of South Naknek (previously listed as South Naknek Village)",1/30/2026
AKNF,SNKNEK,"South Naknek Village",12/11/2024
AKNF,SOLOMN,"Village of Solomon",12/11/2024
AKNF,SSHMRF,"Native Village of Shishmaref",12/11/2024
AKNF,STBBNS,"Stebbins Community Association",12/11/2024
AKNF,STEVNS,"Native Village of Stevens",12/11/2024
AKNF,STGRGE,"Saint George Island (See Pribilof Islands Aleut Communities of St. Paul & St. George Islands)",1/8/2024
AKNF,STGRGE,"St. George Island (See Pribilof Islands Aleut Communities of St. Paul & St. George Islands)",12/11/2024
AKNF,STMCHL,"Native Village of Saint Michael",12/11/2024
AKNF,STNYRV,"Village of Stony River",12/11/2024
AKNF,STPAUL,"Aleut Community of St. Paul Island (See Pribilof Islands Aleut Communities of St. Paul & St. George Islands) (previously listed as Saint Paul Island (See Pribilof Islands Aleut Communities of St. Paul & St. George Islands))",1/30/2026
AKNF,STPAUL,"Saint Paul Island (See Pribilof Islands Aleut Communities of St. Paul & St. George Islands)",12/11/2024
AKNF,SUNAQT,"Sun'aq Tribe of Kodiak",12/11/2024
AKNF,TATTLK,"Native Village of Tatitlek",12/11/2024
AKNF,TAZLNA,"Native Village of Tazlina",12/11/2024
AKNF,TELIDA,"Telida Village",12/11/2024
AKNF,TELLER,"Native Village of Teller",12/11/2024
AKNF,TETLIN,"Native Village of Tetlin",12/11/2024
AKNF,TKOTNA,"Takotna Village",12/11/2024
AKNF,TLNGHD,"Central Council of the Tlingit & Haida Indian Tribes",12/11/2024
AKNF,TLUKSK,"Tuluksak Native Community",12/11/2024
AKNF,TNCRSS,"Native Village of Tanacross",12/11/2024
AKNF,TNGRNQ,"Tangirnaq Native Village",12/11/2024
AKNF,TNTTLK,"Native Village of Tuntutuliak",12/11/2024
AKNF,TOGIAK,"Traditional Village of Togiak",12/11/2024
AKNF,TUNNAK,"Native Village of Tununak",12/11/2024
AKNF,TWINHL,"Twin Hills Village",12/11/2024
AKNF,TYONEK,"Native Village of Tyonek",12/11/2024
AKNF,UGASHK,"Ugashik Village",12/11/2024
AKNF,UMKUMT,"Umkumiut Native Village",12/11/2024
AKNF,UNLKLT,"Native Village of Unalakleet",12/11/2024
AKNF,VANIAK,"Village of Aniak",12/11/2024
AKNF,VEAGLE,"Native Village of Eagle",12/11/2024
AKNF,VEKWOK,"Native Village of Ekwok",12/11/2024
AKNF,VENTGV,"Native Village of Venetie Tribal Government (Arctic Village and Village of Venetie)",12/11/2024
AKNF,VENTVL,"Village of Venetie (See Native Village of Venetie Tribal Government)",12/11/2024
AKNF,VILMNA,"Village of Iliamna",12/11/2024
AKNF,VKIANA,"Native Village of Kiana",12/11/2024
AKNF,VLKAKE,"Organized Village of Kake",12/11/2024
AKNF,VMINTO,"Native Village of Minto",12/11/2024
AKNF,VPAIMT,"Native Village of Paimiut",12/11/2024
AKNF,VWALES,"Native Village of Wales",12/11/2024
AKNF,WAINWT,"Village of Wainwright",12/11/2024
AKNF,WRNGLL,"Wrangell Cooperative Association",12/11/2024
AKNF,YKTTLN,"Yakutat Tlingit Tribe",12/11/2024
AKNF,YUPIIT,"Yupiit of Andreafski",12/11/2024
