"neid_prefix","neid_mid","FRN_NameAsPublished","FRN_Date"
TRBF,DUCKVY,"Shoshone-Paiute Tribes of the Duck Valley Reservation, Nevada",12/11/2024
TRBF,DUCKWT,"Duckwater Shoshone Tribe of the Duckwater Reservation, Nevada",1/8/2024
TRBF,DUCKWT,"Duckwater Shoshone Tribe (previously listed as Duckwater Shoshone Tribe of the Duckwater Reservation, Nevada)",12/11/2024
TRBF,ELEMCL,"Elem Indian Colony of Pomo Indians of the Sulphur Bank Rancheria, California",12/11/2024
TRBF,ELKVLY,"Elk Valley Rancheria, California",12/11/2024
TRBF,ELYTNV,"Ely Shoshone Tribe of Nevada",12/11/2024
TRBF,ENTPRS,"Enterprise Rancheria of Maidu Indians of California",12/11/2024
TRBF,ESHAWN,"Eastern Shawnee Tribe of Oklahoma",12/11/2024
TRBF,ESTCHK,"Eastern Band of Cherokee Indians",12/11/2024
TRBF,ESWNDR,"Eastern Shoshone Tribe of the Wind River Reservation, Wyoming",12/11/2024
TRBF,FALLON,"Paiute-Shoshone Tribe of the Fallon Reservation and Colony, Nevada",12/11/2024
TRBF,FLANDR,"Flandreau Santee Sioux Tribe of South Dakota",12/11/2024
TRBF,FMCDWL,"Fort McDowell Yavapai Nation, Arizona",12/11/2024
TRBF,FSCWSA,"Fort Sill—Chiricahua—Warm Springs—Apache Tribe (previously listed as Fort Sill Apache Tribe of Oklahoma)",1/30/2026
TRBF,FSCWSA,"Fort Sill Apache Tribe of Oklahoma",12/11/2024
TRBF,FSTCTY,"Forest County Potawatomi Community, Wisconsin",12/11/2024
TRBF,FTHALL,"Shoshone-Bannock Tribes of the Fort Hall Reservation",12/11/2024
TRBF,FTINDP,"Fort Independence Indian Community of Paiute Indians of the Fort Independence Reservation, California",12/11/2024
TRBF,FTMCDM,"Fort McDermitt Paiute and Shoshone Tribes of the Fort McDermitt Indian Reservation, Nevada and Oregon",12/11/2024
TRBF,GILARV,"Gila River Indian Community of the Gila River Indian Reservation, Arizona",12/11/2024
TRBF,GRATON,"Federated Indians of Graton Rancheria, California",12/11/2024
TRBF,GREENV,"Greenville Rancheria",12/11/2024
TRBF,GRNDST,"Grindstone Indian Rancheria of Wintun-Wailaki Indians of California",12/11/2024
TRBF,GRNRND,"Confederated Tribes of the Grand Ronde Community of Oregon",12/11/2024
TRBF,GRTRVS,"Grand Traverse Band of Ottawa and Chippewa Indians, Michigan",12/11/2024
TRBF,GUIDIV,"Guidiville Rancheria of California",12/11/2024
TRBF,HANNHV,"Hannahville Indian Community, Michigan",12/11/2024
TRBF,HAVASP,"Havasupai Tribe of the Havasupai Reservation, Arizona",12/11/2024
TRBF,HBMTLL,"Habematolel Pomo of Upper Lake, California",12/11/2024
TRBF,HLTNML,"Houlton Band of Maliseet Indians",12/11/2024
TRBF,HOCHNK,"Ho-Chunk Nation of Wisconsin",12/11/2024
TRBF,HOHTRB,"Hoh Indian Tribe",12/11/2024
TRBF,HOOPAV,"Hoopa Valley Tribe, California",12/11/2024
TRBF,HOPIAZ,"Hopi Tribe of Arizona",12/11/2024
TRBF,HPLAND,"Hopland Band of Pomo Indians, California",12/11/2024
TRBF,HUALAP,"Hualapai Indian Tribe of the Hualapai Indian Reservation, Arizona",12/11/2024
TRBF,IIPAYN,"Iipay Nation of Santa Ysabel, California",12/11/2024
TRBF,INAJAB,"Inaja Band of Diegueno Mission Indians of the Inaja and Cosmit Reservation, California",12/11/2024
TRBF,IONEBD,"Ione Band of Miwok Indians of California",12/11/2024
TRBF,IOWAKN,"Iowa Tribe of Kansas and Nebraska",12/11/2024
TRBF,IOWAOK,"Iowa Tribe of Oklahoma",12/11/2024
TRBF,ISLETA,"Pueblo of Isleta, New Mexico",12/11/2024
TRBF,JAMULV,"Jamul Indian Village of California",12/11/2024
TRBF,JCKMWK,"Jackson Band of Miwuk Indians",12/11/2024
TRBF,JCRLLA,"Jicarilla Apache Nation, New Mexico",12/11/2024
TRBF,JEMEZP,"Pueblo of Jemez, New Mexico",12/11/2024
TRBF,JMSTSK,"Jamestown S'Klallam Tribe",12/11/2024
TRBF,JNACTW,"Jena Band of Choctaw Indians",12/11/2024
TRBF,KAIBAB,"Kaibab Band of Paiute Indians of the Kaibab Indian Reservation, Arizona",12/11/2024
TRBF,KALSPL,"Kalispel Indian Community of the Kalispel Reservation",12/11/2024
TRBF,KARUKT,"Karuk Tribe",12/11/2024
TRBF,KASHIA,"Kashia Band of Pomo Indians of the Stewarts Point Rancheria, California",12/11/2024
TRBF,KAWNOK,"Kaw Nation, Oklahoma",12/11/2024
TRBF,KCKPKS,"Kickapoo Tribe of Indians of the Kickapoo Reservation in Kansas",12/11/2024
TRBF,KCKPOK,"Kickapoo Tribe of Oklahoma",12/11/2024
TRBF,KCKPTX,"Kickapoo Traditional Tribe of Texas",12/11/2024
TRBF,KILGEE,"Kialegee Tribal Town",12/11/2024
TRBF,KIOWAT,"Kiowa Tribe (previously listed as Kiowa Indian Tribe of Oklahoma)",1/30/2026
TRBF,KIOWAT,"Kiowa Indian Tribe of Oklahoma",12/11/2024
TRBF,KLAMTH,"Klamath Tribes",12/11/2024
TRBF,KLTSLD,"Kletsel Dehe Wintun Nation of the Cortina Rancheria (previously listed as Kletsel Dehe Band of Wintun Indians)",12/11/2024
TRBF,KOINCA,"Koi Nation of Northern California",12/11/2024
TRBF,KTNIID,"Kootenai Tribe of Idaho",12/11/2024
TRBF,KWNWBY,"Keweenaw Bay Indian Community, Michigan",12/11/2024
TRBF,LAGUNA,"Pueblo of Laguna, New Mexico",12/11/2024
TRBF,LBRULE,"Lower Brule Sioux Tribe of the Lower Brule Reservation, South Dakota",12/11/2024
TRBF,LCORLS,"Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin",12/11/2024
TRBF,LCYTES,"Los Coyotes Band of Cahuilla and Cupeno Indians, California",12/11/2024
TRBF,LELWHA,"Lower Elwha Tribal Community",12/11/2024
TRBF,LFLAMB,"Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin",12/11/2024
TRBF,LJOLLA,"La Jolla Band of Luiseno Indians, California",12/11/2024
TRBF,LNPINE,"Lone Pine Paiute-Shoshone Tribe",12/11/2024
TRBF,LPOSTA,"La Posta Band of Diegueno Mission Indians of the La Posta Indian Reservation, California",12/11/2024
TRBF,LRIVER,"Little River Band of Ottawa Indians, Michigan",12/11/2024
TRBF,LSHELL,"Little Shell Tribe of Chippewa Indians of Montana",12/11/2024
TRBF,LSVGAS,"Las Vegas Tribe of Paiute Indians of the Las Vegas Indian Colony, Nevada",12/11/2024
TRBF,LTRVRS,"Little Traverse Bay Bands of Odawa Indians, Michigan",12/11/2024
TRBF,LUMBEE,"Lumbee Tribe of North Carolina (See Supplementary Information supra, noting conditions on the Tribe's eligibility for Federal services)",1/30/2026
TRBF,LUMMIT,"Lummi Tribe of the Lummi Reservation",12/11/2024
TRBF,LVDSRT,"Lac Vieux Desert Band of Lake Superior Chippewa Indians of Michigan",12/11/2024
TRBF,LVLOCK,"Lovelock Paiute Tribe of the Lovelock Indian Colony, Nevada",12/11/2024
TRBF,LWSXMN,"Lower Sioux Indian Community in the State of Minnesota",12/11/2024
TRBF,LYTTON,"Lytton Rancheria of California",12/11/2024
TRBF,MAKAHN,"Makah Indian Tribe of the Makah Indian Reservation",12/11/2024
TRBF,MCHPDA,"Mechoopda Indian Tribe of Chico Rancheria, California",12/11/2024
TRBF,MCHSTR,"Manchester Band of Pomo Indians of the Manchester Rancheria, California",12/11/2024
TRBF,MCKLSH,"Muckleshoot Indian Tribe",12/11/2024
TRBF,MCSKEE,"Miccosukee Tribe of Indians",12/11/2024
TRBF,MDDLTN,"Middletown Rancheria of Pomo Indians of California",12/11/2024
TRBF,MEBNSW,"Match-E-Be-Nash-She-Wish Band of Pottawatomi (previously listed as Match-E-Be-Nash-She-Wish Band of Pottawatomi Indians of Michigan)",1/30/2026
TRBF,MEBNSW,"Match-e-be-nash-she-wish Band of Pottawatomi Indians of Michigan",12/11/2024
TRBF,MESAGR,"Mesa Grande Band of Diegueno Mission Indians of the Mesa Grande Reservation, California",12/11/2024
TRBF,MHATAT,"Three Affiliated Tribes of the Fort Berthold Reservation, North Dakota",12/11/2024
TRBF,MHEGAN,"Mohegan Tribe of Indians of Connecticut",12/11/2024
TRBF,MIAMIT,"Miami Tribe of Oklahoma",12/11/2024
TRBF,MIKMAQ,"Mi'kmaq Nation (previously listed as Aroostook Band of Micmacs)",12/11/2024
TRBF,MINNCH,"Minnesota Chippewa Tribe, Minnesota (Six component reservations: Bois Forte Band (Nett Lake); Fond du Lac Band; Grand Portage Band; Leech Lake Band; Mille Lacs Band; White Earth Band)",12/11/2024
TRBF,MNACAN,"Monacan Indian Nation",12/11/2024
TRBF,MNMNEE,"Menominee Indian Tribe of Wisconsin",12/11/2024
TRBF,MNZNTA,"Manzanita Band of Diegueno Mission Indians of the Manzanita Reservation, California",12/11/2024
TRBF,MOAPAT,"Moapa Band of Paiute Indians of the Moapa River Indian Reservation, Nevada",12/11/2024
TRBF,MODOCN,"Modoc Nation",12/11/2024
TRBF,MOJAVE,"Fort Mojave Indian Tribe of Arizona, California & Nevada",12/11/2024
TRBF,MOORTN,"Mooretown Rancheria of Maidu Indians of California",12/11/2024
TRBF,MORNGO,"Morongo Band of Mission Indians, California",12/11/2024
TRBF,MSBCTW,"Mississippi Band of Choctaw Indians",12/11/2024
TRBF,MSCLRO,"Mescalero Apache Tribe of the Mescalero Reservation, New Mexico",12/11/2024
TRBF,MSENAT,"The Muscogee (Creek) Nation",12/11/2024
TRBF,MSHNTK,"Mashantucket Pequot Indian Tribe",12/11/2024
TRBF,MSHPEE,"Mashpee Wampanoag Tribe",12/11/2024
TRBF,NAMBEP,"Pueblo of Nambe, New Mexico",12/11/2024
TRBF,NAVAJO,"Navajo Nation, Arizona, New Mexico, & Utah",12/11/2024
TRBF,NAWNDR,"Northern Arapaho Tribe of the Wind River Reservation, Wyoming",12/11/2024
TRBF,NEZPRC,"Nez Perce Tribe",12/11/2024
TRBF,NISQLL,"Nisqually Indian Tribe",12/11/2024
TRBF,NNSMND,"Nansemond Indian Nation",12/11/2024
TRBF,NOOKSK,"Nooksack Indian Tribe",12/11/2024
TRBF,NORCHY,"Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana",12/11/2024
TRBF,NORFRK,"Northfork Rancheria of Mono Indians of California",12/11/2024
TRBF,NRGNST,"Narragansett Indian Tribe",12/11/2024
TRBF,NTWSPH,"Nottawaseppi Huron Band of the Potawatomi, Michigan",12/11/2024
