id_AK,id_temp,FRN_NameAsPublished,FRN_Date
TR48,116,Crow Tribe of Montana,12/11/2024
AKNV,117,Curyung Tribal Council,12/11/2024
TR48,123,"Delaware Nation, Oklahoma",12/11/2024
TR48,124,Delaware Tribe of Indians,12/11/2024
AKNV,126,Douglas Indian Association,12/11/2024
TR48,121,"Dry Creek Rancheria Band of Pomo Indians, California",12/11/2024
TR48,127,"Duckwater Shoshone Tribe of the Duckwater Reservation, Nevada",1/8/2024
TR48,127,"Duckwater Shoshone Tribe (previously listed as Duckwater Shoshone Tribe of the Duckwater Reservation, Nevada)",12/11/2024
TR48,129,Eastern Band of Cherokee Indians,12/11/2024
TR48,138,Eastern Shawnee Tribe of Oklahoma,12/11/2024
TR48,128,"Eastern Shoshone Tribe of the Wind River Reservation, Wyoming",12/11/2024
AKNV,130,Egegik Village,12/11/2024
AKNV,131,Eklutna Native Village,12/11/2024
TR48,133,"Elem Indian Colony of Pomo Indians of the Sulphur Bank Rancheria, California",12/11/2024
TR48,132,"Elk Valley Rancheria, California",12/11/2024
TR48,134,Ely Shoshone Tribe of Nevada,12/11/2024
AKNV,135,Emmonak Village,12/11/2024
TR48,136,Enterprise Rancheria of Maidu Indians of California,12/11/2024
AKNV,139,Evansville Village (aka Bettles Field),12/11/2024
TR48,137,"Ewiiaapaayp Band of Kumeyaay Indians, California",12/11/2024
TR48,151,"Federated Indians of Graton Rancheria, California",12/11/2024
TR48,143,Flandreau Santee Sioux Tribe of South Dakota,12/11/2024
TR48,142,"Forest County Potawatomi Community, Wisconsin",12/11/2024
TR48,36,Fort Belknap Indian Community of the Fort Belknap Reservation of Montana,12/11/2024
TR48,41,Fort Bidwell Indian Community of the Fort Bidwell Reservation of California,12/11/2024
TR48,181,"Fort Independence Indian Community of Paiute Indians of the Fort Independence Reservation, California",12/11/2024
TR48,141,"Fort McDermitt Paiute and Shoshone Tribes of the Fort McDermitt Indian Reservation, Nevada and Oregon",12/11/2024
TR48,260,"Fort McDowell Yavapai Nation, Arizona",12/11/2024
TR48,281,"Fort Mojave Indian Tribe of Arizona, California & Nevada",12/11/2024
TR48,451,Fort Sill Apache Tribe of Oklahoma,12/11/2024
TR48,148,"Gila River Indian Community of the Gila River Indian Reservation, Arizona",12/11/2024
TR48,155,"Grand Traverse Band of Ottawa and Chippewa Indians, Michigan",12/11/2024
TR48,152,Greenville Rancheria,12/11/2024
TR48,158,Grindstone Indian Rancheria of Wintun-Wailaki Indians of California,12/11/2024
TR48,156,Guidiville Rancheria of California,12/11/2024
AKNV,149,Gulkana Village Council,12/11/2024
TR48,167,"Habematolel Pomo of Upper Lake, California",12/11/2024
TR48,160,"Hannahville Indian Community, Michigan",12/11/2024
TR48,161,"Havasupai Tribe of the Havasupai Reservation, Arizona",12/11/2024
AKNV,164,Healy Lake Village,12/11/2024
TR48,168,Ho-Chunk Nation of Wisconsin,12/11/2024
TR48,169,Hoh Indian Tribe,12/11/2024
AKNV,162,Holy Cross Tribe,12/11/2024
AKNV,170,Hoonah Indian Association,12/11/2024
TR48,171,"Hoopa Valley Tribe, California",12/11/2024
TR48,173,Hopi Tribe of Arizona,12/11/2024
TR48,165,"Hopland Band of Pomo Indians, California",12/11/2024
TR48,166,Houlton Band of Maliseet Indians,12/11/2024
TR48,174,"Hualapai Indian Tribe of the Hualapai Indian Reservation, Arizona",12/11/2024
AKNV,175,Hughes Village,12/11/2024
AKNV,176,Huslia Village,12/11/2024
AKNV,163,Hydaburg Cooperative Association,12/11/2024
AKNV,177,Igiugig Village,12/11/2024
TR48,178,"Iipay Nation of Santa Ysabel, California",12/11/2024
TR48,179,"Inaja Band of Diegueno Mission Indians of the Inaja and Cosmit Reservation, California",12/11/2024
AKNV,182,Inupiat Community of the Arctic Slope,12/11/2024
TR48,184,Ione Band of Miwok Indians of California,12/11/2024
TR48,185,Iowa Tribe of Kansas and Nebraska,12/11/2024
TR48,186,Iowa Tribe of Oklahoma,12/11/2024
AKNV,187,Iqugmiut Traditional Council,12/11/2024
AKNV,189,Ivanof Bay Tribe,12/11/2024
TR48,192,Jackson Band of Miwuk Indians,12/11/2024
TR48,195,Jamestown S'Klallam Tribe,12/11/2024
TR48,190,Jamul Indian Village of California,12/11/2024
TR48,191,Jena Band of Choctaw Indians,12/11/2024
TR48,194,"Jicarilla Apache Nation, New Mexico",12/11/2024
AKNV,196,Kaguyak Village,12/11/2024
TR48,197,"Kaibab Band of Paiute Indians of the Kaibab Indian Reservation, Arizona",12/11/2024
AKNV,214,Kaktovik Village (aka Barter Island),12/11/2024
TR48,198,Kalispel Indian Community of the Kalispel Reservation,12/11/2024
TR48,202,Karuk Tribe,12/11/2024
TR48,230,"Kashia Band of Pomo Indians of the Stewarts Point Rancheria, California",12/11/2024
AKNV,229,Kasigluk Traditional Elders Council,12/11/2024
TR48,204,"Kaw Nation, Oklahoma",12/11/2024
AKNV,210,Kenaitze Indian Tribe,12/11/2024
AKNV,231,Ketchikan Indian Community,12/11/2024
TR48,236,"Keweenaw Bay Indian Community, Michigan",12/11/2024
TR48,211,Kialegee Tribal Town,12/11/2024
TR48,208,Kickapoo Traditional Tribe of Texas,12/11/2024
TR48,206,Kickapoo Tribe of Indians of the Kickapoo Reservation in Kansas,12/11/2024
TR48,207,Kickapoo Tribe of Oklahoma,12/11/2024
AKNV,220,King Island Native Community,12/11/2024
AKNV,221,King Salmon Tribe,12/11/2024
TR48,212,Kiowa Indian Tribe of Oklahoma,12/11/2024
TR48,215,Klamath Tribes,12/11/2024
AKNV,216,Klawock Cooperative Association,12/11/2024
TR48,209,Kletsel Dehe Wintun Nation of the Cortina Rancheria (previously listed as Kletsel Dehe Band of Wintun Indians),12/11/2024
AKNV,222,Knik Tribe,12/11/2024
TR48,224,Koi Nation of Northern California,12/11/2024
AKNV,225,Kokhanok Village,12/11/2024
TR48,232,Kootenai Tribe of Idaho,12/11/2024
AKNV,227,Koyukuk Native Village,12/11/2024
TR48,244,"La Jolla Band of Luiseno Indians, California",12/11/2024
TR48,248,"La Posta Band of Diegueno Mission Indians of the La Posta Indian Reservation, California",12/11/2024
TR48,104,Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin,12/11/2024
TR48,140,Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin,12/11/2024
TR48,539,Lac Vieux Desert Band of Lake Superior Chippewa Indians of Michigan,12/11/2024
TR48,253,"Las Vegas Tribe of Paiute Indians of the Las Vegas Indian Colony, Nevada",12/11/2024
AKNV,242,Levelock Village,12/11/2024
AKNV,243,Lime Village,12/11/2024
TR48,249,"Little River Band of Ottawa Indians, Michigan",12/11/2024
TR48,250,Little Shell Tribe of Chippewa Indians of Montana,12/11/2024
TR48,251,"Little Traverse Bay Bands of Odawa Indians, Michigan",12/11/2024
TR48,247,Lone Pine Paiute-Shoshone Tribe,12/11/2024
TR48,240,"Los Coyotes Band of Cahuilla and Cupeno Indians, California",12/11/2024
AKNV,246,Louden Tribe (previously listed as Galena Village (aka Louden Village)),12/11/2024
TR48,254,"Lovelock Paiute Tribe of the Lovelock Indian Colony, Nevada",12/11/2024
TR48,255,"Lower Brule Sioux Tribe of the Lower Brule Reservation, South Dakota",12/11/2024
TR48,241,Lower Elwha Tribal Community,12/11/2024
TR48,256,Lower Sioux Indian Community in the State of Minnesota,12/11/2024
TR48,252,Lummi Tribe of the Lummi Reservation,12/11/2024
TR48,257,Lytton Rancheria of California,12/11/2024
TR48,258,Makah Indian Tribe of the Makah Indian Reservation,12/11/2024
TR48,265,"Manchester Band of Pomo Indians of the Manchester Rancheria, California",12/11/2024
AKNV,276,Manley Hot Springs Village,12/11/2024
AKNV,278,Manokotak Village,12/11/2024
TR48,292,"Manzanita Band of Diegueno Mission Indians of the Manzanita Reservation, California",12/11/2024
TR48,284,Mashantucket Pequot Indian Tribe,12/11/2024
TR48,291,Mashpee Wampanoag Tribe,12/11/2024
TR48,259,Match-e-be-nash-she-wish Band of Pottawatomi Indians of Michigan,12/11/2024
AKNV,261,McGrath Native Village,12/11/2024
TR48,263,"Mechoopda Indian Tribe of Chico Rancheria, California",12/11/2024
TR48,277,Menominee Indian Tribe of Wisconsin,12/11/2024
AKNV,279,Mentasta Traditional Council,12/11/2024
TR48,288,"Mesa Grande Band of Diegueno Mission Indians of the Mesa Grande Reservation, California",12/11/2024
TR48,287,"Mescalero Apache Tribe of the Mescalero Reservation, New Mexico",12/11/2024
AKNV,289,"Metlakatla Indian Community, Annette Island Reserve",12/11/2024
TR48,271,Miami Tribe of Oklahoma,12/11/2024
TR48,267,Miccosukee Tribe of Indians,12/11/2024
TR48,290,Middletown Rancheria of Pomo Indians of California,12/11/2024
TR48,273,Mi'kmaq Nation (previously listed as Aroostook Band of Micmacs),12/11/2024
TR48,274,"Minnesota Chippewa Tribe, Minnesota (Six component reservations: Bois Forte Band (Nett Lake); Fond du Lac Band; Grand Portage Band; Leech Lake Band; Mille Lacs Band; White Earth Band)",12/11/2024
TR48,262,Mississippi Band of Choctaw Indians,12/11/2024
TR48,282,"Moapa Band of Paiute Indians of the Moapa River Indian Reservation, Nevada",12/11/2024
TR48,280,Modoc Nation,12/11/2024
TR48,270,Mohegan Tribe of Indians of Connecticut,12/11/2024
TR48,275,Monacan Indian Nation,12/11/2024
TR48,286,Mooretown Rancheria of Maidu Indians of California,12/11/2024
TR48,283,"Morongo Band of Mission Indians, California",12/11/2024
TR48,264,Muckleshoot Indian Tribe,12/11/2024
AKNV,293,Naknek Native Village,12/11/2024
TR48,316,Nansemond Indian Nation,12/11/2024
TR48,323,Narragansett Indian Tribe,12/11/2024
AKNV,3,Native Village of Afognak,12/11/2024
AKNV,9,Native Village of Akhiok,12/11/2024
AKNV,11,Native Village of Akutan,12/11/2024
AKNV,17,Native Village of Aleknagik,12/11/2024
AKNV,21,Native Village of Ambler,12/11/2024
AKNV,29,Native Village of Atka,12/11/2024
AKNV,31,Native Village of Atqasuk,12/11/2024
AKNV,183,Native Village of Barrow Inupiat Traditional Government,12/11/2024
AKNV,45,Native Village of Belkofski,12/11/2024
AKNV,50,Native Village of Brevig Mission,12/11/2024
AKNV,33,Native Village of Buckland,12/11/2024
AKNV,101,Native Village of Cantwell,12/11/2024
AKNV,83,Native Village of Chenega (aka Chanega),12/11/2024
AKNV,76,Native Village of Chignik Lagoon,12/11/2024
AKNV,88,Native Village of Chitina,12/11/2024
AKNV,87,"Native Village of Chuathbaluk (Russian Mission, Kuskokwim)",12/11/2024
