id_AK,id_temp,FRN_NameAsPublished,FRN_Date
TR48,409,"Round Valley Indian Tribes, Round Valley Reservation, California",12/11/2024
TR48,421,Sac & Fox Nation of Missouri in Kansas and Nebraska,12/11/2024
TR48,423,"Sac & Fox Nation, Oklahoma",12/11/2024
TR48,422,Sac & Fox Tribe of the Mississippi in Iowa,12/11/2024
TR48,431,Saginaw Chippewa Indian Tribe of Michigan,12/11/2024
AKNV,484,Saint Paul Island (See Pribilof Islands Aleut Communities of St. Paul & St. George Islands),12/11/2024
TR48,470,Saint Regis Mohawk Tribe,12/11/2024
AKNV,453,Salamatof Tribe,12/11/2024
TR48,471,"Salt River Pima-Maricopa Indian Community of the Salt River Reservation, Arizona",12/11/2024
TR48,415,Samish Indian Nation,12/11/2024
TR48,420,"San Carlos Apache Tribe of the San Carlos Reservation, Arizona",12/11/2024
TR48,460,San Juan Southern Paiute Tribe of Arizona,12/11/2024
TR48,467,San Pasqual Band of Diegueno Mission Indians of California,12/11/2024
TR48,472,"Santa Rosa Band of Cahuilla Indians, California",12/11/2024
TR48,476,"Santa Rosa Indian Community of the Santa Rosa Rancheria, California",12/11/2024
TR48,492,"Santa Ynez Band of Chumash Mission Indians of the Santa Ynez Reservation, California",12/11/2024
TR48,463,"Santee Sioux Nation, Nebraska",12/11/2024
TR48,428,Santo Domingo Pueblo,12/11/2024
TR48,449,Sauk-Suiattle Indian Tribe,12/11/2024
TR48,474,"Sault Ste. Marie Tribe of Chippewa Indians, Michigan",12/11/2024
TR48,426,Scotts Valley Band of Pomo Indians of California,12/11/2024
AKNV,452,Seldovia Village Tribe,12/11/2024
TR48,455,Seminole Tribe of Florida,12/11/2024
TR48,458,Seneca Nation of Indians,12/11/2024
TR48,457,Seneca-Cayuga Nation,12/11/2024
AKNV,434,Shageluk Native Village,12/11/2024
TR48,437,Shakopee Mdewakanton Sioux Community of Minnesota,12/11/2024
TR48,432,Shawnee Tribe,12/11/2024
TR48,440,Sherwood Valley Rancheria of Pomo Indians of California,12/11/2024
TR48,442,"Shingle Springs Band of Miwok Indians, Shingle Springs Rancheria (Verona Tract), California",12/11/2024
TR48,439,Shinnecock Indian Nation,12/11/2024
TR48,436,Shoalwater Bay Indian Tribe of the Shoalwater Bay Indian Reservation,12/11/2024
TR48,433,Shoshone-Bannock Tribes of the Fort Hall Reservation,12/11/2024
TR48,441,"Shoshone-Paiute Tribes of the Duck Valley Reservation, Nevada",12/11/2024
TR48,490,"Sisseton-Wahpeton Oyate of the Lake Traverse Reservation, South Dakota",12/11/2024
AKNV,445,Sitka Tribe of Alaska,12/11/2024
AKNV,446,Skagway Village,12/11/2024
TR48,448,Skokomish Indian Tribe,12/11/2024
TR48,450,Skull Valley Band of Goshute Indians of Utah,12/11/2024
TR48,462,Snoqualmie Indian Tribe,12/11/2024
TR48,464,"Soboba Band of Luiseno Indians, California",12/11/2024
TR48,447,"Sokaogon Chippewa Community, Wisconsin",12/11/2024
AKNV,461,South Naknek Village,12/11/2024
TR48,480,"Southern Ute Indian Tribe of the Southern Ute Reservation, Colorado",12/11/2024
TR48,468,"Spirit Lake Tribe, North Dakota",12/11/2024
TR48,466,Spokane Tribe of the Spokane Reservation,12/11/2024
TR48,469,Squaxin Island Tribe of the Squaxin Island Reservation,12/11/2024
TR48,427,St. Croix Chippewa Indians of Wisconsin,12/11/2024
AKNV,479,St. George Island (See Pribilof Islands Aleut Communities of St. Paul & St. George Islands),12/11/2024
AKNV,479,Saint George Island (See Pribilof Islands Aleut Communities of St. Paul & St. George Islands),1/8/2024
TR48,459,Standing Rock Sioux Tribe of North & South Dakota,12/11/2024
AKNV,477,Stebbins Community Association,12/11/2024
TR48,481,Stillaguamish Tribe of Indians of Washington,12/11/2024
TR48,419,"Stockbridge Munsee Community, Wisconsin",12/11/2024
TR48,485,Summit Lake Paiute Tribe of Nevada,12/11/2024
AKNV,486,Sun'aq Tribe of Kodiak,12/11/2024
TR48,487,Suquamish Indian Tribe of the Port Madison Reservation,12/11/2024
TR48,488,"Susanville Indian Rancheria, California",12/11/2024
TR48,489,Swinomish Indian Tribal Community,12/11/2024
TR48,491,Sycuan Band of the Kumeyaay Nation,12/11/2024
TR48,493,Table Mountain Rancheria,12/11/2024
AKNV,504,Takotna Village,12/11/2024
AKNV,512,Tangirnaq Native Village,12/11/2024
TR48,497,Tejon Indian Tribe,12/11/2024
AKNV,498,Telida Village,12/11/2024
TR48,500,Te-Moak Tribe of Western Shoshone Indians of Nevada (Four constituent bands: Battle Mountain Band; Elko Band; South Fork Band; and Wells Band),12/11/2024
TR48,79,The Chickasaw Nation,12/11/2024
TR48,72,The Choctaw Nation of Oklahoma,12/11/2024
TR48,266,The Muscogee (Creek) Nation,12/11/2024
TR48,346,The Osage Nation,12/11/2024
TR48,456,The Seminole Nation of Oklahoma,12/11/2024
TR48,507,Thlopthlocco Tribal Town,12/11/2024
TR48,269,"Three Affiliated Tribes of the Fort Berthold Reservation, North Dakota",12/11/2024
TR48,503,Timbisha Shoshone Tribe,12/11/2024
TR48,502,Tohono O'odham Nation of Arizona,12/11/2024
TR48,509,Tolowa Dee-ni' Nation,12/11/2024
TR48,515,Tonawanda Band of Seneca,12/11/2024
TR48,513,Tonkawa Tribe of Indians of Oklahoma,12/11/2024
TR48,520,Tonto Apache Tribe of Arizona,12/11/2024
TR48,510,"Torres Martinez Desert Cahuilla Indians, California",12/11/2024
AKNV,516,Traditional Village of Togiak,12/11/2024
TR48,521,Tulalip Tribes of Washington,12/11/2024
TR48,522,"Tule River Indian Tribe of the Tule River Reservation, California",12/11/2024
AKNV,508,Tuluksak Native Community,12/11/2024
TR48,523,Tunica-Biloxi Indian Tribe,12/11/2024
TR48,505,Tuolumne Band of Me-Wuk Indians of the Tuolumne Rancheria of California,12/11/2024
TR48,517,Turtle Mountain Band of Chippewa Indians of North Dakota,12/11/2024
TR48,518,Tuscarora Nation,12/11/2024
TR48,526,Twenty-Nine Palms Band of Mission Indians of California,12/11/2024
AKNV,525,Twin Hills Village,12/11/2024
AKNV,528,Ugashik Village,12/11/2024
AKNV,530,Umkumiut Native Village,12/11/2024
TR48,32,United Auburn Indian Community of the Auburn Rancheria of California,12/11/2024
TR48,205,United Keetoowah Band of Cherokee Indians in Oklahoma,12/11/2024
TR48,531,Upper Mattaponi Tribe,12/11/2024
TR48,533,"Upper Sioux Community, Minnesota",12/11/2024
TR48,534,Upper Skagit Indian Tribe,12/11/2024
TR48,536,"Ute Indian Tribe of the Uintah & Ouray Reservation, Utah",12/11/2024
TR48,535,Ute Mountain Ute Tribe,12/11/2024
TR48,537,"Utu Utu Gwaitu Paiute Tribe of the Benton Paiute Reservation, California",12/11/2024
AKNV,13,Village of Alakanuk,12/11/2024
AKNV,23,Village of Anaktuvuk Pass,12/11/2024
AKNV,538,Village of Aniak,12/11/2024
AKNV,30,Village of Atmautluak,12/11/2024
AKNV,46,Village of Bill Moore's Slough,12/11/2024
AKNV,75,Village of Chefornak,12/11/2024
AKNV,97,Village of Clarks Point,12/11/2024
AKNV,115,Village of Crooked Creek,12/11/2024
AKNV,125,Village of Dot Lake,12/11/2024
AKNV,543,Village of Iliamna,12/11/2024
AKNV,217,Village of Kalskag,12/11/2024
AKNV,199,Village of Kaltag,12/11/2024
AKNV,226,Village of Kotlik,12/11/2024
AKNV,245,Village of Lower Kalskag,12/11/2024
AKNV,340,Village of Ohogamiut,12/11/2024
AKNV,406,Village of Red Devil,12/11/2024
AKNV,454,Village of Sleetmute,12/11/2024
AKNV,465,Village of Solomon,12/11/2024
AKNV,483,Village of Stony River,12/11/2024
AKNV,548,Village of Venetie (See Native Village of Venetie Tribal Government),12/11/2024
AKNV,550,Village of Wainwright,12/11/2024
TR48,555,"Walker River Paiute Tribe of the Walker River Reservation, Nevada",12/11/2024
TR48,557,Wampanoag Tribe of Gay Head (Aquinnah),12/11/2024
TR48,551,"Washoe Tribe of Nevada & California (Carson Colony, Dresslerville Colony, Woodfords Community, Stewart Community, & Washoe Ranches)",12/11/2024
TR48,556,"White Mountain Apache Tribe of the Fort Apache Reservation, Arizona",12/11/2024
TR48,554,"Wichita and Affiliated Tribes (Wichita, Keechi, Waco, & Tawakonie), Oklahoma",12/11/2024
TR48,552,"Wilton Rancheria, California",12/11/2024
TR48,558,Winnebago Tribe of Nebraska,12/11/2024
TR48,559,Winnemucca Indian Colony of Nevada,12/11/2024
TR48,553,"Wiyot Tribe, California",12/11/2024
AKNV,561,Wrangell Cooperative Association,12/11/2024
TR48,562,Wyandotte Nation,12/11/2024
AKNV,566,Yakutat Tlingit Tribe,12/11/2024
TR48,569,Yankton Sioux Tribe of South Dakota,12/11/2024
TR48,570,"Yavapai-Apache Nation of the Camp Verde Indian Reservation, Arizona",12/11/2024
TR48,571,Yavapai-Prescott Indian Tribe,12/11/2024
TR48,572,"Yerington Paiute Tribe of the Yerington Colony & Campbell Ranch, Nevada",12/11/2024
TR48,564,"Yocha Dehe Wintun Nation, California",12/11/2024
TR48,568,"Yomba Shoshone Tribe of the Yomba Reservation, Nevada",12/11/2024
TR48,567,Ysleta del Sur Pueblo,12/11/2024
TR48,565,"Yuhaaviatam of San Manuel Nation (previously listed as San Manuel Band of Mission Indians, California)",12/11/2024
AKNV,573,Yupiit of Andreafski,12/11/2024
TR48,574,"Yurok Tribe of the Yurok Reservation, California",12/11/2024
TR48,576,"Zuni Tribe of the Zuni Reservation, New Mexico",12/11/2024
