"neid_prefix","neid_mid","match","AIANNH_geoname_full","STATES","AIANNHCE","AIANNHNS"
TRBF,TEMOAK,n,"Wells Colony",NV,4580,00849846
TRBF,THNODM,nd,"Tohono O'odham Nation Reservation",AZ,4200,00023763
TRBF,TIMBSH,n,"Timbi-Sha Shoshone Reservation",CA~NV,4180,02419492
TRBF,TLPLCO,d,"Creek OTSA",OK,5620,01925077
TRBF,TLWDNI,d,"Smith River Rancheria",CA,3855,00274833
TRBF,TNKAWA,nd,"Tonkawa OTSA",OK,5860,01925069
TRBF,TNWNDA,nd,"Tonawanda Reservation",NY,4225,00979554
TRBF,TONTOA,nd,"Tonto Apache Reservation",AZ,4235,00032748
TRBF,TRSMTZ,nd,"Torres-Martinez Reservation",CA,4255,00255924
TRBF,TSCARA,nd,"Tuscarora Nation Reservation",NY,4360,00979564
TRBF,TSUQUE,nd,"Tesuque Pueblo",NM,4170,00937203
TRBF,TULALP,nd,"Tulalip Reservation",WA,4290,01511575
TRBF,TULERV,nd,"Tule River Reservation",CA,4300,00275158
TRBF,TUNBIL,nd,"Tunica-Biloxi Reservation",LA,4315,02419503
TRBF,TUOLMN,nd,"Tuolumne Rancheria",CA,4330,00236635
TRBF,TURTLM,nd,"Turtle Mountain Reservation",MT~ND~SD,4345,01934334
TRBF,TWNPLM,nd,"Twenty-Nine Palms Reservation",CA,4375,00250737
TRBF,UKEETW,nd,"Cherokee OTSA",OK,5550,02418810
TRBF,UMATLL,nd,"Umatilla Reservation",OR~WA,4405,01159100
TRBF,UMATLL,r,"Celilo Village",OR,0560,02419333
TRBF,UMTPNI,none,"",,NA,NA
TRBF,UNTHOR,nd,"Uintah and Ouray Reservation",UT,4390,01448012
TRBF,UPSXMN,nd,"Upper Sioux Community",MN,4445,00653567
TRBF,USKAGT,nd,"Upper Skagit Reservation",WA,4455,02419510
TRBF,UTEMTN,nd,"Ute Mountain Reservation",CO~NM~UT,4470,00169579
TRBF,UUGWTU,nd,"Benton Paiute Reservation",CA,0185,02419307
TRBF,WASHOE,n,"Carson Colony",NV,0510,00859157
TRBF,WASHOE,nd,"Dresslerville Colony",NV,0940,00862214
TRBF,WASHOE,n,"Woodfords Community",CA,4665,01985241
TRBF,WASHOE,n,"Stewart Community",NV,3980,02419480
TRBF,WASHOE,n,"Washoe Ranches Trust Land",CA~NV,4560,02419516
TRBF,WIAPYP,nd,"Ewiiaapaayp Reservation",CA,1065,00241187
TRBF,WILTON,none,"",,NA,NA
TRBF,WIYOTT,d,"Table Bluff Reservation",CA,4095,01665550
TRBF,WKWTOK,nd,"Caddo-Wichita-Delaware OTSA",OK,5540,01925075
TRBF,WKWTOK,n,"Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA",OK,5955,02418655
TRBF,WLKRRV,nd,"Walker River Reservation",NV,4515,00857504
TRBF,WMTNAZ,nd,"Fort Apache Reservation",AZ,1140,00004741
TRBF,WNNBGO,nd,"Winnebago Reservation",IA~NE,4625,00834982
TRBF,WNNMCA,n,"Winnemucca Indian Colony",NV,4635,00849652
TRBF,WRMSPR,nd,"Warm Springs Reservation",OR,4545,01133438
TRBF,WRMSPR,r,"Celilo Village",OR,0560,02419333
TRBF,WYNDTT,nd,"Wyandotte OTSA",OK,5890,02419290
TRBF,YAKAMA,nd,"Yakama Nation Reservation",WA,4690,01502906
TRBF,YAKAMA,r,"Celilo Village",OR,0560,02419333
TRBF,YANKTN,nd,"Yankton Reservation",SD,4700,01891160
TRBF,YHVTSM,nd,"San Manuel Reservation",CA,3445,00248904
TRBF,YLSTSR,nd,"Ysleta del Sur Pueblo",TX,4755,02419529
TRBF,YOCHAD,d,"Rumsey Indian Rancheria",CA,3265,00232012
TRBF,YOMBAT,nd,"Yomba Reservation",NV,4740,00862119
TRBF,YRNGTN,nd,"Campbell Ranch",NV,0440,00848690
TRBF,YRNGTN,nd,"Yerington Colony",NV,4725,00848133
TRBF,YUROKT,nd,"Yurok Reservation",CA,4760,02419530
TRBF,ZIAPBL,nd,"Zia Pueblo",NM,4770,01934347
TRBF,ZUNINM,nd,"Zuni Reservation",AZ~NM,4785,01934346
AKNF,ACSRMT,d,"Mountain Village ANVSA",AK,6975,02418719
AKNF,AFGNAK,none,"",,NA,NA
AKNF,AGDAGX,nd,"King Cove ANVSA",AK,6735,02418652
AKNF,AKACHK,nd,"Akiachak ANVSA",AK,6020,02418755
AKNF,AKHIOK,nd,"Akhiok ANVSA",AK,6015,02418754
AKNF,AKIAKC,nd,"Akiak ANVSA",AK,6025,02418757
AKNF,AKUTAN,nd,"Akutan ANVSA",AK,6030,02418758
AKNF,ALAKKT,nd,"Allakaket ANVSA",AK,6070,02418766
AKNF,ALAKNK,nd,"Alakanuk ANVSA",AK,6035,02418759
AKNF,ALATNA,nd,"Alatna ANVSA",AK,6040,02418760
AKNF,ALGACQ,nd,"Algaaciq ANVSA",AK,6065,02418765
AKNF,ALKNGK,nd,"Aleknagik ANVSA",AK,6045,02418763
AKNF,ALTIIQ,nd,"Old Harbor ANVSA",AK,7150,02419156
AKNF,AMBLER,nd,"Ambler ANVSA",AK,6075,02418768
AKNF,ANGOON,nd,"Angoon ANVSA",AK,6100,02418772
AKNF,ANKTVK,nd,"Anaktuvuk Pass ANVSA",AK,6080,02418769
AKNF,ANVIKV,nd,"Anvik ANVSA",AK,6125,02418774
AKNF,ARCTIC,nd,"Arctic Village ANVSA",AK,6140,02418776
AKNF,ATKANV,nd,"Atka ANVSA",AK,6150,02418779
AKNF,ATMTLK,nd,"Atmautluak ANVSA",AK,6160,02418780
AKNF,ATQSUK,nd,"Atqasuk ANVSA",AK,6165,02418782
AKNF,BCKLND,nd,"Buckland ANVSA",AK,6250,02418797
AKNF,BEAVRV,nd,"Beaver ANVSA",AK,6190,02418786
AKNF,BIRCHC,n,"Birch Creek ANVSA",AK,6235,02418794
AKNF,BLKFSK,n,"Belkofski ANVSA",AK,6195,02418788
AKNF,BLKFSK,d,"King Cove ANVSA",AK,6735,02418652
AKNF,BLLMSL,n,"Bill Moore's ANVSA",AK,6225,02418793
AKNF,BLLMSL,d,"Kotlik ANVSA",AK,6815,02418671
AKNF,BREVIG,nd,"Brevig Mission ANVSA",AK,6240,02418796
AKNF,CGNKBY,nd,"Chignik ANVSA",AK,6295,02418820
AKNF,CGNKLG,nd,"Chignik Lagoon ANVSA",AK,6300,02418821
AKNF,CGNKLK,nd,"Chignik Lake ANVSA",AK,6305,02418823
AKNF,CHCKLN,nd,"Chickaloon ANVSA",AK,6290,02418816
AKNF,CHEVAK,nd,"Chevak ANVSA",AK,6285,02418813
AKNF,CHFRNK,nd,"Chefornak ANVSA",AK,6275,02418807
AKNF,CHINIK,nd,"Golovin ANVSA",AK,6540,02418601
AKNF,CHLKAT,nd,"Chilkat ANVSA",AK,6310,02418825
AKNF,CHLKSK,nd,"Chalkyitsik ANVSA",AK,6265,02418804
AKNF,CHNEGA,n,"Chenega ANVSA",AK,6280,02418808
AKNF,CHSHNA,nd,"Gakona ANVSA",AK,6520,02418592
AKNF,CHSHNA,n,"Chistochina ANVSA",AK,6325,02418829
AKNF,CHTHBK,nod,"Chuathbaluk ANVSA",AK,6335,02418834
AKNF,CHTINA,nd,"Chitina ANVSA",AK,6330,02418831
AKNF,CIRCLE,nd,"Circle ANVSA",AK,6350,02418836
AKNF,CLKOOT,n,"Chilkoot ANVSA",AK,6315,02418826
AKNF,CLNWCK,d,"Emmonak ANVSA",AK,6480,02418573
AKNF,CLNWCK,n,"Chuloonawick ANVSA",AK,6340,02418835
AKNF,CLRKPT,nd,"Clarks Point ANVSA",AK,6360,02418839
AKNF,CNTWLL,nd,"Cantwell ANVSA",AK,6255,02418800
AKNF,COUNCL,n,"Council ANVSA",AK,6380,02418849
AKNF,COUNCL,d,"Nome ANVSA",AK,7095,02575187
AKNF,CRAIGT,nd,"Craig ANVSA",AK,6385,02418851
AKNF,CRKEDC,nd,"Crooked Creek ANVSA",AK,6390,02418852
AKNF,CRYUNG,d,"Dillingham ANVSA",AK,6405,02418554
AKNF,DEERNG,n,"Deering ANVSA",AK,6400,02418551
AKNF,DOTLAK,nd,"Dot Lake ANVSA",AK,6415,02418555
AKNF,DOUGLS,n,"Douglas ANVSA",AK,6420,02418558
AKNF,EGEGIK,nd,"Egegik ANVSA",AK,6445,02418567
AKNF,EKLTNA,nd,"Eklutna ANVSA",AK,6450,02418569
AKNF,EMMNAK,nd,"Emmonak ANVSA",AK,6480,02418573
AKNF,EVNSVL,nd,"Evansville ANVSA",AK,6490,02418575
AKNF,FSPASS,nd,"False Pass ANVSA",AK,6500,02418579
AKNF,GAKONA,nd,"Gakona ANVSA",AK,6520,02418592
AKNF,GAMBLL,nod,"Gambell ANVSA",AK,6530,02418595
AKNF,GEORGT,n,"Georgetown ANVSA",AK,6535,02418598
AKNF,GLKANA,nd,"Gulkana ANVSA",AK,6560,02418604
AKNF,GNWSBY,nd,"Goodnews Bay ANVSA",AK,6545,02418602
AKNF,GRYLNG,nd,"Grayling ANVSA",AK,6550,02418603
AKNF,GWCHZG,nd,"Fort Yukon ANVSA",AK,6515,02418585
AKNF,HAMLTN,n,"Hamilton ANVSA",AK,6570,02418609
AKNF,HAMLTN,d,"Kotlik ANVSA",AK,6815,02418671
AKNF,HCROSS,nd,"Holy Cross ANVSA",AK,6585,02418617
AKNF,HDABRG,nd,"Hydaburg ANVSA",AK,6615,02418623
AKNF,HEALYL,n,"Healy Lake ANVSA",AK,6575,02418613
AKNF,HOONAH,nd,"Hoonah ANVSA",AK,6590,02418618
AKNF,HOOPBY,nd,"Hooper Bay ANVSA",AK,6595,02418619
AKNF,HUGHES,nd,"Hughes ANVSA",AK,6605,02418621
AKNF,HUSLIA,n,"Huslia ANVSA",AK,6610,02418622
AKNF,IGIUGG,nd,"Igiugig ANVSA",AK,6620,02418625
AKNF,INALIK,nd,"Inalik ANVSA",AK,6630,02418629
AKNF,INPTAS,d,"Utqiagvik ANVSA",AK,6175,02418784
AKNF,INPTAS,r,"Anaktuvuk Pass ANVSA",AK,6080,02418769
AKNF,INPTAS,r,"Atqasuk ANVSA",AK,6165,02418782
AKNF,INPTAS,r,"Kaktovik ANVSA",AK,6680,02418636
AKNF,INPTAS,r,"Nuiqsut ANVSA",AK,7125,02419151
AKNF,INPTAS,r,"Point Hope ANVSA",AK,7250,02419176
AKNF,INPTAS,r,"Point Lay ANVSA",AK,7255,02419177
AKNF,INPTAS,r,"Wainwright ANVSA",AK,7735,02419281
AKNF,INPTBW,nd,"Utqiagvik ANVSA",AK,6175,02418784
AKNF,IQUGMT,d,"Russian Mission ANVSA",AK,7315,02419202
AKNF,IVNFBY,n,"Ivanof Bay ANVSA",AK,6650,02418632
AKNF,KAGUYK,d,"Akhiok ANVSA",AK,6015,02418754
AKNF,KALTAG,nd,"Kaltag ANVSA",AK,6690,02418639
AKNF,KANATK,none,"",,NA,NA
AKNF,KARLUK,n,"Karluk ANVSA",AK,6700,02418641
AKNF,KASAAN,nd,"Kasaan ANVSA",AK,6705,02418643
AKNF,KENTZE,nd,"Kenaitze ANVSA",AK,6720,02418648
AKNF,KIPNUK,nd,"Kipnuk ANVSA",AK,6750,02418656
AKNF,KKTOVK,nd,"Kaktovik ANVSA",AK,6680,02418636
AKNF,KLAWCK,nd,"Klawock ANVSA",AK,6765,02418659
AKNF,KLSKAG,nd,"Kalskag ANVSA",AK,6685,02418638
AKNF,KLTIKH,nd,"Copper Center ANVSA",AK,6365,02418846
AKNF,KNGGNK,nd,"Kongiganak ANVSA",AK,6810,02418669
AKNF,KNGISL,d,"Nome ANVSA",AK,7095,02575187
AKNF,KNGSAL,n,"King Salmon ANVSA",AK,6740,02575183
AKNF,KNIKTR,nod,"Knik ANVSA",AK,6785,02418661
AKNF,KOBUKV,nd,"Kobuk ANVSA",AK,6790,02418664
AKNF,KOKHNK,n,"Kokhanok ANVSA",AK,6800,02418666
AKNF,KOTLIK,nd,"Kotlik ANVSA",AK,6815,02418671
AKNF,KOYUKK,nd,"Koyukuk ANVSA",AK,6830,02418674
AKNF,KOYUKV,nd,"Koyuk ANVSA",AK,6825,02418673
AKNF,KSIGLK,nd,"Kasigluk ANVSA",AK,6710,02418644
AKNF,KTCHKN,nd,"Ketchikan ANVSA",AK,6725,02575182
AKNF,KTZBUE,nd,"Kotzebue ANVSA",AK,6820,02418672
AKNF,KVALNA,nd,"Kivalina ANVSA",AK,6755,02418658
AKNF,KWGLGK,nd,"Kwigillingok ANVSA",AK,6840,02418676
AKNF,KWTHLK,nd,"Kwethluk ANVSA",AK,6835,02418675
AKNF,LARSBY,nd,"Larsen Bay ANVSA",AK,6855,02418682
AKNF,LEVLCK,nd,"Levelock ANVSA",AK,6865,02418684
AKNF,LIMEVL,nod,"Lime Village ANVSA",AK,6875,02418686
AKNF,LKLSKG,nd,"Lower Kalskag ANVSA",AK,6890,02418690
AKNF,LOUDEN,nd,"Galena ANVSA",AK,6525,02418594
AKNF,MCGRTH,nd,"McGrath ANVSA",AK,6895,02418700
AKNF,MEKRYK,nd,"Mekoryuk ANVSA",AK,6935,02418705
AKNF,MIGLOO,n,"Mary's Igloo ANVSA",AK,6915,02418698
AKNF,MIGLOO,d,"Teller ANVSA",AK,7570,02419253
AKNF,MNLYHS,nd,"Manley Hot Springs ANVSA",AK,6900,02418694
AKNF,MNOKTK,nd,"Manokotak ANVSA",AK,6905,02418696
AKNF,MNTSTA,n,"Mentasta Lake ANVSA",AK,6945,02418707
AKNF,MRSHLL,nd,"Marshall ANVSA",AK,6910,02418697
AKNF,MTLKTL,nd,"Annette Island Reserve",AK,0110,01934114
AKNF,NAKNEK,nd,"Naknek ANVSA",AK,6990,02418721
AKNF,NANWLK,nd,"Nanwalek ANVSA",AK,6995,02418725
AKNF,NAPAKK,n,"Napakiak ANVSA",AK,7010,02418728
AKNF,NAPSKK,nd,"Napaskiak ANVSA",AK,7020,02418729
AKNF,NENANA,nd,"Nenana ANVSA",AK,7030,02418734
AKNF,NEWTOK,nd,"Newtok ANVSA",AK,7055,02418739
AKNF,NGHTMT,nd,"Nightmute ANVSA",AK,7065,02418741
AKNF,NHALEN,nd,"Newhalen ANVSA",AK,7035,02418738
AKNF,NKLGNK,nd,"New Koliganek ANVSA",AK,7040,02418736
AKNF,NKLSKI,nd,"Nikolski ANVSA",AK,7075,02418745
AKNF,NKOLAI,nd,"Nikolai ANVSA",AK,7070,02418744
AKNF,NKYRMT,d,"Toksook Bay ANVSA",AK,7625,02419259
AKNF,NLSONL,nd,"Nelson Lagoon ANVSA",AK,7025,02418732
AKNF,NNDLTN,nd,"Nondalton ANVSA",AK,7100,02419145
AKNF,NNLCHK,nd,"Ninilchik ANVSA",AK,7080,02418747
AKNF,NNMIQA,nd,"Nunam Iqua ANVSA",AK,7133,02419153
AKNF,NNPTCK,nd,"Nunapitchuk ANVSA",AK,7135,02419154
AKNF,NOATAK,nd,"Noatak ANVSA",AK,7085,02418749
AKNF,NOMECM,nd,"Nome ANVSA",AK,7095,02575187
AKNF,NOORVK,nd,"Noorvik ANVSA",AK,7110,02419146
AKNF,NPAIMT,n,"Napaimute ANVSA",AK,7005,02418727
AKNF,NPAIMT,d,"Bethel ANVSA",AK,6205,02418790
AKNF,NRTHWY,nd,"Northway ANVSA",AK,7115,02419147
AKNF,NSTYHK,nd,"New Stuyahok ANVSA",AK,7050,02418737
AKNF,NUIQST,nd,"Nuiqsut ANVSA",AK,7125,02419151
AKNF,NULATO,nd,"Nulato ANVSA",AK,7130,02419152
AKNF,NVEKUK,nd,"Ekuk ANVSA",AK,6455,02418570
AKNF,NVEKUK,nd,"Dillingham ANVSA",AK,6405,02418554
AKNF,NVELIM,nd,"Elim ANVSA",AK,6470,02575181
AKNF,NVEYAK,n,"Eyak ANVSA",AK,6495,02418578
AKNF,NVLEEK,nd,"Eek ANVSA",AK,6440,02418566
AKNF,NVRUBY,nd,"Ruby ANVSA",AK,7310,02419201
AKNF,NVTNNA,nd,"Tanana ANVSA",AK,7540,02419247
AKNF,NVUNGA,d,"Sand Point ANVSA",AK,7410,02419207
AKNF,NVWMTN,nd,"White Mountain ANVSA",AK,7745,02419284
AKNF,OGSNKL,n,"Portage Creek ANVSA",AK,7260,02419189
AKNF,OHOGMT,n,"Ohogamiut ANVSA",AK,7145,02419155
AKNF,OHOGMT,d,"Marshall ANVSA",AK,6910,02418697
AKNF,OSCARV,n,"Oscarville ANVSA",AK,7175,02419157
AKNF,OSCARV,d,"Napaskiak ANVSA",AK,7020,02418729
AKNF,OTSRMT,d,"Bethel ANVSA",AK,6205,02418790
AKNF,OZNKIE,nd,"Ouzinkie ANVSA",AK,7180,02419160
AKNF,PDROBY,nd,"Pedro Bay ANVSA",AK,7205,02419163
AKNF,PILOTP,nd,"Pilot Point ANVSA",AK,7225,02419169
AKNF,PILTST,nd,"Pilot Station ANVSA",AK,7230,02419170
AKNF,PLATNM,nd,"Platinum ANVSA",AK,7245,02419173
AKNF,PLFHBR,d,"Sand Point ANVSA",AK,7410,02419207
AKNF,PNTHPE,nd,"Point Hope ANVSA",AK,7250,02419176
AKNF,PNTLAY,nd,"Point Lay ANVSA",AK,7255,02419177
AKNF,PRBLFC,nd,"St. George ANVSA",AK,7340,02419228
AKNF,PRBLFC,nd,"St. Paul ANVSA",AK,7390,02419230
AKNF,PRRYVL,nd,"Perryville ANVSA",AK,7215,02419166
AKNF,PRTGRM,n,"Port Graham ANVSA",AK,7265,02419184
AKNF,PRTHDN,nd,"Port Heiden ANVSA",AK,7270,02419186
AKNF,PRTLNS,nd,"Port Lions ANVSA",AK,7275,02419187
AKNF,PTKAPT,nd,"Pitkas Point ANVSA",AK,7235,02419171
AKNF,PTRSBG,nd,"Petersburg ANVSA",AK,7220,02575188
AKNF,QGNTGN,nd,"Sand Point ANVSA",AK,7410,02419207
AKNF,QUNHGK,nd,"Kwinhagak ANVSA",AK,6845,02418678
AKNF,QWALGN,nd,"Unalaska ANVSA",AK,7695,02419277
AKNF,RAMPRT,nd,"Rampart ANVSA",AK,7300,02419195
AKNF,REDDVL,nd,"Red Devil ANVSA",AK,7305,02419197
AKNF,SAVNGA,nd,"Savoonga ANVSA",AK,7415,02419208
AKNF,SAXMAN,nd,"Saxman ANVSA",AK,7420,02419209
AKNF,SCMNBY,nd,"Scammon Bay ANVSA",AK,7425,02419210
AKNF,SELAWK,nd,"Selawik ANVSA",AK,7430,02419211
AKNF,SHGELK,nd,"Shageluk ANVSA",AK,7440,02419215
AKNF,SHKTLK,n,"Shaktoolik ANVSA",AK,7450,02419216
AKNF,SHNGNK,nd,"Shungnak ANVSA",AK,7470,02419218
AKNF,SITKAT,nd,"Sitka ANVSA",AK,7475,02575190
AKNF,SKAGWY,nd,"Skagway ANVSA",AK,7485,02575191
AKNF,SLDVIA,nd,"Seldovia ANVSA",AK,7435,02419212
AKNF,SLMATF,n,"Salamatof ANVSA",AK,7400,02419203
AKNF,SLMATF,d,"Kenaitze ANVSA",AK,6720,02418648
AKNF,SLTMUT,nd,"Sleetmute ANVSA",AK,7495,02419223
AKNF,SNKNEK,nd,"South Naknek ANVSA",AK,7505,02419226
AKNF,SOLOMN,n,"Solomon ANVSA",AK,7500,02419225
AKNF,SOLOMN,d,"Nome ANVSA",AK,7095,02575187
AKNF,SSHMRF,nd,"Shishmaref ANVSA",AK,7465,02419217
AKNF,STBBNS,nd,"Stebbins ANVSA",AK,7510,02419232
AKNF,STEVNS,nd,"Stevens Village ANVSA",AK,7520,02419234
AKNF,STGRGE,nd,"St. George ANVSA",AK,7340,02419228
AKNF,STMCHL,nd,"St. Michael ANVSA",AK,7375,02419229
AKNF,STNYRV,nd,"Stony River ANVSA",AK,7525,02419236
AKNF,STPAUL,nd,"St. Paul ANVSA",AK,7390,02419230
AKNF,SUNAQT,n,"Kodiak ANVSA",AK,6795,02575184
AKNF,TATTLK,nd,"Tatitlek ANVSA",AK,7555,02419248
AKNF,TAZLNA,nd,"Tazlina ANVSA",AK,7560,02419250
AKNF,TELIDA,n,"Telida ANVSA",AK,7565,02419252
AKNF,TELIDA,d,"Nikolai ANVSA",AK,7070,02418744
AKNF,TELLER,nd,"Teller ANVSA",AK,7570,02419253
AKNF,TETLIN,n,"Tetlin ANVSA",AK,7580,02419255
AKNF,TKOTNA,nd,"Takotna ANVSA",AK,7530,02419241
AKNF,TLNGHD,r,"Angoon ANVSA",AK,6100,02418772
AKNF,TLNGHD,r,"Chilkat ANVSA",AK,6310,02418825
AKNF,TLNGHD,r,"Chilkoot ANVSA",AK,6315,02418826
AKNF,TLNGHD,r,"Craig ANVSA",AK,6385,02418851
AKNF,TLNGHD,r,"Hydaburg ANVSA",AK,6615,02418623
AKNF,TLNGHD,r,"Hoonah ANVSA",AK,6590,02418618
AKNF,TLNGHD,r,"Kasaan ANVSA",AK,6705,02418643
AKNF,TLNGHD,r,"Klawock ANVSA",AK,6765,02418659
AKNF,TLNGHD,r,"Ketchikan ANVSA",AK,6725,02575182
AKNF,TLNGHD,r,"Annette Island Reserve",AK,0110,01934114
AKNF,TLNGHD,r,"Petersburg ANVSA",AK,7220,02575188
AKNF,TLNGHD,r,"Saxman ANVSA",AK,7420,02419209
AKNF,TLNGHD,r,"Sitka ANVSA",AK,7475,02575190
AKNF,TLNGHD,r,"Kake ANVSA",AK,6670,02418635
AKNF,TLNGHD,r,"Wrangell ANVSA",AK,7755,02575193
AKNF,TLNGHD,r,"Yakutat ANVSA",AK,7765,02419292
AKNF,TLUKSK,nd,"Tuluksak ANVSA",AK,7630,02419263
AKNF,TNCRSS,nd,"Tanacross ANVSA",AK,7535,02419244
AKNF,TNGRNQ,r,"Lesnoi ANVSA",AK,6860,02575186
AKNF,TNTTLK,nd,"Tuntutuliak ANVSA",AK,7640,02419265
AKNF,TOGIAK,nd,"Togiak ANVSA",AK,7605,02419257
AKNF,TUNNAK,nd,"Tununak ANVSA",AK,7645,02419267
AKNF,TWINHL,nd,"Twin Hills ANVSA",AK,7650,02419269
AKNF,TYONEK,nd,"Tyonek ANVSA",AK,7655,02419272
AKNF,UGASHK,n,"Ugashik ANVSA",AK,7665,02419274
AKNF,UMKUMT,d,"Nightmute ANVSA",AK,7065,02418741
AKNF,UNLKLT,nd,"Unalakleet ANVSA",AK,7690,02419276
AKNF,VANIAK,nd,"Aniak ANVSA",AK,6105,02418773
AKNF,VEAGLE,n,"Eagle ANVSA",AK,6430,02418560
AKNF,VEKWOK,nd,"Ekwok ANVSA",AK,6460,02418571
AKNF,VENTGV,nd,"Arctic Village ANVSA",AK,6140,02418776
AKNF,VENTGV,nd,"Venetie ANVSA",AK,7725,02575192
AKNF,VENTVL,nd,"Venetie ANVSA",AK,7725,02575192
AKNF,VILMNA,nd,"Iliamna ANVSA",AK,6625,02418627
AKNF,VKIANA,nd,"Kiana ANVSA",AK,6730,02418650
AKNF,VLKAKE,nd,"Kake ANVSA",AK,6670,02418635
AKNF,VMINTO,nd,"Minto ANVSA",AK,6965,02418713
AKNF,VPAIMT,n,"Paimiut ANVSA",AK,7185,02419161
AKNF,VPAIMT,d,"Hooper Bay ANVSA",AK,6595,02418619
AKNF,VWALES,n,"Wales ANVSA",AK,7740,02419282
AKNF,WAINWT,nd,"Wainwright ANVSA",AK,7735,02419281
AKNF,WRNGLL,nd,"Wrangell ANVSA",AK,7755,02575193
AKNF,YKTTLN,nd,"Yakutat ANVSA",AK,7765,02419292
AKNF,YUPIIT,nod,"Andreafsky ANVSA",AK,6095,02418771
