AIANNHCE,AIANNHNS,AIANNH_Geoname,AIANNH_Geoname_Full,ANRC_FIPS,ANRCNS,GEOIDFQ,ANCSA_Region,ANCSA_Region_Full
7665,02419274,"Ugashik","Ugashik ANVSA",09040,02419321,2300000US0209040,"Bristol Bay","Bristol Bay Alaska Native Regional Corporation"
6990,02418721,"Naknek","Naknek ANVSA",09040,02419321,2300000US0209040,"Bristol Bay","Bristol Bay Alaska Native Regional Corporation"
7505,02419226,"South Naknek","South Naknek ANVSA",09040,02419321,2300000US0209040,"Bristol Bay","Bristol Bay Alaska Native Regional Corporation"
6445,02418567,"Egegik","Egegik ANVSA",09040,02419321,2300000US0209040,"Bristol Bay","Bristol Bay Alaska Native Regional Corporation"
6620,02418625,"Igiugig","Igiugig ANVSA",09040,02419321,2300000US0209040,"Bristol Bay","Bristol Bay Alaska Native Regional Corporation"
6625,02418627,"Iliamna","Iliamna ANVSA",09040,02419321,2300000US0209040,"Bristol Bay","Bristol Bay Alaska Native Regional Corporation"
6650,02418632,"Ivanof Bay","Ivanof Bay ANVSA",09040,02419321,2300000US0209040,"Bristol Bay","Bristol Bay Alaska Native Regional Corporation"
6800,02418666,"Kokhanok","Kokhanok ANVSA",09040,02419321,2300000US0209040,"Bristol Bay","Bristol Bay Alaska Native Regional Corporation"
6865,02418684,"Levelock","Levelock ANVSA",09040,02419321,2300000US0209040,"Bristol Bay","Bristol Bay Alaska Native Regional Corporation"
7035,02418738,"Newhalen","Newhalen ANVSA",09040,02419321,2300000US0209040,"Bristol Bay","Bristol Bay Alaska Native Regional Corporation"
6295,02418820,"Chignik","Chignik ANVSA",09040,02419321,2300000US0209040,"Bristol Bay","Bristol Bay Alaska Native Regional Corporation"
6300,02418821,"Chignik Lagoon","Chignik Lagoon ANVSA",09040,02419321,2300000US0209040,"Bristol Bay","Bristol Bay Alaska Native Regional Corporation"
6305,02418823,"Chignik Lake","Chignik Lake ANVSA",09040,02419321,2300000US0209040,"Bristol Bay","Bristol Bay Alaska Native Regional Corporation"
6740,02575183,"King Salmon","King Salmon ANVSA",09040,02419321,2300000US0209040,"Bristol Bay","Bristol Bay Alaska Native Regional Corporation"
6455,02418570,"Ekuk","Ekuk ANVSA",09040,02419321,2300000US0209040,"Bristol Bay","Bristol Bay Alaska Native Regional Corporation"
6045,02418763,"Aleknagik","Aleknagik ANVSA",09040,02419321,2300000US0209040,"Bristol Bay","Bristol Bay Alaska Native Regional Corporation"
6360,02418839,"Clarks Point","Clarks Point ANVSA",09040,02419321,2300000US0209040,"Bristol Bay","Bristol Bay Alaska Native Regional Corporation"
6405,02418554,"Dillingham","Dillingham ANVSA",09040,02419321,2300000US0209040,"Bristol Bay","Bristol Bay Alaska Native Regional Corporation"
6460,02418571,"Ekwok","Ekwok ANVSA",09040,02419321,2300000US0209040,"Bristol Bay","Bristol Bay Alaska Native Regional Corporation"
6905,02418696,"Manokotak","Manokotak ANVSA",09040,02419321,2300000US0209040,"Bristol Bay","Bristol Bay Alaska Native Regional Corporation"
7040,02418736,"New Koliganek","New Koliganek ANVSA",09040,02419321,2300000US0209040,"Bristol Bay","Bristol Bay Alaska Native Regional Corporation"
7050,02418737,"New Stuyahok","New Stuyahok ANVSA",09040,02419321,2300000US0209040,"Bristol Bay","Bristol Bay Alaska Native Regional Corporation"
7260,02419189,"Portage Creek","Portage Creek ANVSA",09040,02419321,2300000US0209040,"Bristol Bay","Bristol Bay Alaska Native Regional Corporation"
7605,02419257,"Togiak","Togiak ANVSA",09040,02419321,2300000US0209040,"Bristol Bay","Bristol Bay Alaska Native Regional Corporation"
7650,02419269,"Twin Hills","Twin Hills ANVSA",09040,02419321,2300000US0209040,"Bristol Bay","Bristol Bay Alaska Native Regional Corporation"
