AIANNHCE,AIANNHNS,AIANNH_Geoname,AIANNH_Geoname_Full,ANRC_FIPS,ANRCNS,GEOIDFQ,ANCSA_Region,ANCSA_Region_Full
7250,02419176,"Point Hope","Point Hope ANVSA",03950,02419300,2300000US0203950,"Arctic Slope","Arctic Slope Alaska Native Regional Corporation"
7255,02419177,"Point Lay","Point Lay ANVSA",03950,02419300,2300000US0203950,"Arctic Slope","Arctic Slope Alaska Native Regional Corporation"
6165,02418782,"Atqasuk","Atqasuk ANVSA",03950,02419300,2300000US0203950,"Arctic Slope","Arctic Slope Alaska Native Regional Corporation"
7735,02419281,"Wainwright","Wainwright ANVSA",03950,02419300,2300000US0203950,"Arctic Slope","Arctic Slope Alaska Native Regional Corporation"
6830,02418674,"Koyukuk","Koyukuk ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
7130,02419152,"Nulato","Nulato ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
7300,02419195,"Rampart","Rampart ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
7310,02419201,"Ruby","Ruby ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
7440,02419215,"Shageluk","Shageluk ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
6895,02418700,"McGrath","McGrath ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
6900,02418694,"Manley Hot Springs","Manley Hot Springs ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
6550,02418603,"Grayling","Grayling ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
6585,02418617,"Holy Cross","Holy Cross ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
7580,02419255,"Tetlin","Tetlin ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
6690,02418639,"Kaltag","Kaltag ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
6850,02575185,"Lake Minchumina","Lake Minchumina ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
6610,02418622,"Huslia","Huslia ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
6040,02418760,"Alatna","Alatna ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
6965,02418713,"Minto","Minto ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
7030,02418734,"Nenana","Nenana ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
7070,02418744,"Nikolai","Nikolai ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
6605,02418621,"Hughes","Hughes ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
6070,02418766,"Allakaket","Allakaket ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
6265,02418804,"Chalkyitsik","Chalkyitsik ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
6350,02418836,"Circle","Circle ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
6490,02418575,"Evansville","Evansville ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
6515,02418585,"Fort Yukon","Fort Yukon ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
6525,02418594,"Galena","Galena ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
6125,02418774,"Anvik","Anvik ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
6140,02418776,"Arctic Village","Arctic Village ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
6190,02418786,"Beaver","Beaver ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
6235,02418794,"Birch Creek","Birch Creek ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
6257,02575178,"Canyon Village","Canyon Village ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
7725,02575192,"Venetie","Venetie ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
7520,02419234,"Stevens Village","Stevens Village ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
7530,02419241,"Takotna","Takotna ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
6415,02418555,"Dot Lake","Dot Lake ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
6430,02418560,"Eagle","Eagle ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
6575,02418613,"Healy Lake","Healy Lake ANVSA",20010,02418929,2300000US0220010,"Doyon","Doyon Alaska Native Regional Corporation"
