FRN_NameAsPublished,ANCSA_Region,ANRC_FIPS
"Village of Lower Kalskag","Calista",09800
"Village of Ohogamiut","Calista",09800
"Village of Red Devil","Calista",09800
"Village of Sleetmute","Calista",09800
"Village of Solomon","Bering Straits",06370
"Village of Stony River","Calista",09800
"Village of Venetie (See Native Village of Venetie Tribal Government)","Doyon",20010
"Village of Wainwright","Arctic Slope",03950
"Wrangell Cooperative Association","Sealaska",67940
"Yakutat Tlingit Tribe","Sealaska",67940
"Yupiit of Andreafski","Calista",09800
