"id_AK","id_temp","FRN_NameAsPublished","Census_RaceEthCode"
"TR48",129,"Eastern Band of Cherokee Indians",5606
"TR48",138,"Eastern Shawnee Tribe of Oklahoma",6272
"TR48",128,"Eastern Shoshone Tribe of the Wind River Reservation, Wyoming",6287
"AKNV",130,"Egegik Village",5129
"AKNV",131,"Eklutna Native Village",5037
"TR48",133,"Elem Indian Colony of Pomo Indians of the Sulphur Bank Rancheria, California",6124
"TR48",132,"Elk Valley Rancheria, California",6348
"TR48",134,"Ely Shoshone Tribe of Nevada",6288
"AKNV",135,"Emmonak Village",5420
"TR48",136,"Enterprise Rancheria of Maidu Indians of California",5928
"AKNV",139,"Evansville Village (aka Bettles Field)",5038
"TR48",137,"Ewiiaapaayp Band of Kumeyaay Indians, California",5775
"TR48",151,"Federated Indians of Graton Rancheria, California",6125
"TR48",143,"Flandreau Santee Sioux Tribe of South Dakota",6300
"TR48",142,"Forest County Potawatomi Community, Wisconsin",6154
"TR48",36,"Fort Belknap Indian Community of the Fort Belknap Reservation of Montana",5820
"TR48",41,"Fort Bidwell Indian Community of the Fort Bidwell Reservation of California",6048
"TR48",181,"Fort Independence Indian Community of Paiute Indians of the Fort Independence Reservation, California",6049
"TR48",141,"Fort McDermitt Paiute and Shoshone Tribes of the Fort McDermitt Indian Reservation, Nevada and Oregon",6069
"TR48",260,"Fort McDowell Yavapai Nation, Arizona",5827
"TR48",281,"Fort Mojave Indian Tribe of Arizona, California & Nevada",6446
"TR48",451,"Fort Sill Apache Tribe of Oklahoma",5516
"TR48",148,"Gila River Indian Community of the Gila River Indian Reservation, Arizona",6103
"TR48",155,"Grand Traverse Band of Ottawa and Chippewa Indians, Michigan",5655
"TR48",152,"Greenville Rancheria",5929
"TR48",158,"Grindstone Indian Rancheria of Wintun-Wailaki Indians of California",6412
"TR48",156,"Guidiville Rancheria of California",6126
"AKNV",149,"Gulkana Village Council",5040
"TR48",167,"Habematolel Pomo of Upper Lake, California",6127
"TR48",160,"Hannahville Indian Community, Michigan",6155
"TR48",161,"Havasupai Tribe of the Havasupai Reservation, Arizona",6447
"AKNV",164,"Healy Lake Village",5041
"TR48",168,"Ho-Chunk Nation of Wisconsin",5842
"TR48",169,"Hoh Indian Tribe",5593
"AKNV",162,"Holy Cross Tribe",5042
"AKNV",170,"Hoonah Indian Association",5327
"TR48",171,"Hoopa Valley Tribe, California",5844
"TR48",173,"Hopi Tribe of Arizona",5851
"TR48",165,"Hopland Band of Pomo Indians, California",6128
"TR48",166,"Houlton Band of Maliseet Indians",5939
"TR48",174,"Hualapai Indian Tribe of the Hualapai Indian Reservation, Arizona",6448
"AKNV",175,"Hughes Village",5043
"AKNV",176,"Huslia Village",5044
"AKNV",163,"Hydaburg Cooperative Association",5328
"AKNV",177,"Igiugig Village",5130
"TR48",178,"Iipay Nation of Santa Ysabel, California",5776
"TR48",179,"Inaja Band of Diegueno Mission Indians of the Inaja and Cosmit Reservation, California",5777
"AKNV",182,"Inupiat Community of the Arctic Slope",5230
"TR48",184,"Ione Band of Miwok Indians of California",5972
"TR48",185,"Iowa Tribe of Kansas and Nebraska",5859
"TR48",186,"Iowa Tribe of Oklahoma",5860
"AKNV",187,"Iqugmiut Traditional Council",5421
"AKNV",189,"Ivanof Bay Tribe",5131
"TR48",192,"Jackson Band of Miwuk Indians",5973
"TR48",195,"Jamestown S'Klallam Tribe",6225
"TR48",190,"Jamul Indian Village of California",5778
"TR48",191,"Jena Band of Choctaw Indians",5692
"TR48",194,"Jicarilla Apache Nation, New Mexico",5517
"AKNV",196,"Kaguyak Village",5132
"TR48",197,"Kaibab Band of Paiute Indians of the Kaibab Indian Reservation, Arizona",6050
"AKNV",214,"Kaktovik Village (aka Barter Island)",5231
"TR48",198,"Kalispel Indian Community of the Kalispel Reservation",5880
"TR48",202,"Karuk Tribe",5882
"TR48",230,"Kashia Band of Pomo Indians of the Stewarts Point Rancheria, California",6129
"AKNV",229,"Kasigluk Traditional Elders Council",5434
"TR48",204,"Kaw Nation, Oklahoma",5884
