"id_AK","id_temp","FRN_NameAsPublished","Census_RaceEthCode"
"TR48",439,"Shinnecock Indian Nation",6279
"TR48",436,"Shoalwater Bay Indian Tribe of the Shoalwater Bay Indian Reservation",6281
"TR48",433,"Shoshone-Bannock Tribes of the Fort Hall Reservation",5824
"TR48",441,"Shoshone-Paiute Tribes of the Duck Valley Reservation, Nevada",6073
"TR48",490,"Sisseton-Wahpeton Oyate of the Lake Traverse Reservation, South Dakota",6310
"AKNV",445,"Sitka Tribe of Alaska",5337
"AKNV",446,"Skagway Village",5338
"TR48",448,"Skokomish Indian Tribe",6200
"TR48",450,"Skull Valley Band of Goshute Indians of Utah",6290
"TR48",462,"Snoqualmie Indian Tribe",6203
"TR48",464,"Soboba Band of Luiseno Indians, California",5918
"TR48",447,"Sokaogon Chippewa Community, Wisconsin",5669
"AKNV",461,"South Naknek Village",5168
"TR48",480,"Southern Ute Indian Tribe of the Southern Ute Reservation, Colorado",6363
"TR48",468,"Spirit Lake Tribe, North Dakota",6311
"TR48",466,"Spokane Tribe of the Spokane Reservation",6322
"TR48",469,"Squaxin Island Tribe of the Squaxin Island Reservation",6204
"TR48",427,"St. Croix Chippewa Indians of Wisconsin",5670
"AKNV",479,"St. George Island (See Pribilof Islands Aleut Communities of St. Paul & St. George Islands)",5175
"TR48",459,"Standing Rock Sioux Tribe of North & South Dakota",6312
"AKNV",477,"Stebbins Community Association",5464
"TR48",481,"Stillaguamish Tribe of Indians of Washington",6206
"TR48",419,"Stockbridge Munsee Community, Wisconsin",6324
"TR48",485,"Summit Lake Paiute Tribe of Nevada",6059
"AKNV",486,"Sun'aq Tribe of Kodiak",5170
"TR48",487,"Suquamish Indian Tribe of the Port Madison Reservation",6208
"TR48",488,"Susanville Indian Rancheria, California",6060
"TR48",489,"Swinomish Indian Tribal Community",6207
"TR48",491,"Sycuan Band of the Kumeyaay Nation",5783
"TR48",493,"Table Mountain Rancheria",6432
"AKNV",504,"Takotna Village",5078
"AKNV",512,"Tangirnaq Native Village",5139
"TR48",500,"Te-Moak Tribe of Western Shoshone Indians of Nevada (Four constituent bands: Battle Mountain Band; Elko Band; South Fork Band; and Wells Band)",6326
"TR48",497,"Tejon Indian Tribe",6434
"AKNV",498,"Telida Village",5080
"TR48",79,"The Chickasaw Nation",5635
"TR48",72,"The Choctaw Nation of Oklahoma",5690
"TR48",266,"The Muscogee (Creek) Nation",5735
"TR48",346,"The Osage Nation",6029
"TR48",456,"The Seminole Nation of Oklahoma",6251
"TR48",507,"Thlopthlocco Tribal Town",5746
"TR48",269,"Three Affiliated Tribes of the Fort Berthold Reservation, North Dakota",6339
"TR48",503,"Timbisha Shoshone Tribe",6285
"TR48",502,"Tohono O'odham Nation of Arizona",6341
"TR48",509,"Tolowa Dee-ni' Nation",6346
"TR48",515,"Tonawanda Band of Seneca",5873
"TR48",513,"Tonkawa Tribe of Indians of Oklahoma",6351
"TR48",520,"Tonto Apache Tribe of Arizona",5521
"TR48",510,"Torres Martinez Desert Cahuilla Indians, California",5564
"AKNV",516,"Traditional Village of Togiak",5465
"TR48",521,"Tulalip Tribes of Washington",6209
"TR48",522,"Tule River Indian Tribe of the Tule River Reservation, California",6435
"AKNV",508,"Tuluksak Native Community",5466
"TR48",523,"Tunica-Biloxi Indian Tribe",5808
"TR48",505,"Tuolumne Band of Me-Wuk Indians of the Tuolumne Rancheria of California",5975
"TR48",517,"Turtle Mountain Band of Chippewa Indians of North Dakota",5672
"TR48",518,"Tuscarora Nation",5874
"TR48",526,"Twenty-Nine Palms Band of Mission Indians of California",5920
"AKNV",525,"Twin Hills Village",5467
"AKNV",528,"Ugashik Village",5171
"AKNV",530,"Umkumiut Native Village",5468
"TR48",32,"United Auburn Indian Community of the Auburn Rancheria of California",5934
"TR48",205,"United Keetoowah Band of Cherokee Indians in Oklahoma",5616
"TR48",531,"Upper Mattaponi Tribe",5944
"TR48",533,"Upper Sioux Community, Minnesota",6314
"TR48",534,"Upper Skagit Indian Tribe",6210
"TR48",536,"Ute Indian Tribe of the Uintah & Ouray Reservation, Utah",6364
"TR48",535,"Ute Mountain Ute Tribe",6365
"TR48",537,"Utu Utu Gwaitu Paiute Tribe of the Benton Paiute Reservation, California",6061
"AKNV",13,"Village of Alakanuk",5469
"AKNV",23,"Village of Anaktuvuk Pass",5264
"AKNV",538,"Village of Aniak",5470
"AKNV",30,"Village of Atmautluak",5471
"AKNV",46,"Village of Bill Moore's Slough",5472
"AKNV",75,"Village of Chefornak",5473
"AKNV",97,"Village of Clarks Point",5474
"AKNV",115,"Village of Crooked Creek",5475
"AKNV",125,"Village of Dot Lake",5082
"AKNV",543,"Village of Iliamna",5083
"AKNV",217,"Village of Kalskag",5476
"AKNV",199,"Village of Kaltag",5084
"AKNV",226,"Village of Kotlik",5477
"AKNV",245,"Village of Lower Kalskag",5478
"AKNV",340,"Village of Ohogamiut",5479
"AKNV",406,"Village of Red Devil",5480
"AKNV",454,"Village of Sleetmute",5481
"AKNV",465,"Village of Solomon",5265
"AKNV",483,"Village of Stony River",5086
"AKNV",548,"Village of Venetie (See Native Village of Venetie Tribal Government)",5092
"AKNV",550,"Village of Wainwright",5266
"TR48",555,"Walker River Paiute Tribe of the Walker River Reservation, Nevada",6062
"TR48",557,"Wampanoag Tribe of Gay Head (Aquinnah)",6380
"TR48",551,"Washoe Tribe of Nevada & California (Carson Colony, Dresslerville Colony, Woodfords Community, Stewart Community, & Washoe Ranches)",6391
"TR48",556,"White Mountain Apache Tribe of the Fort Apache Reservation, Arizona",5522
"TR48",554,"Wichita and Affiliated Tribes (Wichita, Keechi, Waco, & Tawakonie), Oklahoma",6395
"TR48",552,"Wilton Rancheria, California",5976
"TR48",558,"Winnebago Tribe of Nebraska",6403
"TR48",559,"Winnemucca Indian Colony of Nevada",6063
"TR48",553,"Wiyot Tribe, California",6415
"AKNV",561,"Wrangell Cooperative Association",5341
"TR48",562,"Wyandotte Nation",5875
"AKNV",566,"Yakutat Tlingit Tribe",5342
"TR48",569,"Yankton Sioux Tribe of South Dakota",6317
"TR48",570,"Yavapai-Apache Nation of the Camp Verde Indian Reservation, Arizona",6428
"TR48",571,"Yavapai-Prescott Indian Tribe",6451
"TR48",572,"Yerington Paiute Tribe of the Yerington Colony & Campbell Ranch, Nevada",6065
"TR48",564,"Yocha Dehe Wintun Nation, California",6410
"TR48",568,"Yomba Shoshone Tribe of the Yomba Reservation, Nevada",6291
"TR48",567,"Ysleta del Sur Pueblo",6185
"TR48",565,"Yuhaaviatam of San Manuel Nation (previously listed as San Manuel Band of Mission Indians, California)",6260
"AKNV",573,"Yupiit of Andreafski",5482
"TR48",574,"Yurok Tribe of the Yurok Reservation, California",6455
"TR48",576,"Zuni Tribe of the Zuni Reservation, New Mexico",6186
