"Census_RaceEthCode","Census_Description"
5074,"RAMPART VILLAGE"
5074,"BAAN O YEEL KON CORP."
5074,"RAMPART"
5075,"SELDOVIA VILLAGE TRIBE"
5075,"SELDOVIA"
5075,"SELDOVIA NATIVE ASSN., INC."
5076,"SHAGELUK NATIVE VILLAGE"
5076,"SHAGELUK"
5076,"ZHO-TSE, INC."
5078,"TAKOTNA VILLAGE"
5078,"TAKOTNA"
5080,"TELIDA VILLAGE"
5080,"TELIDA"
5082,"VILLAGE OF DOT LAKE"
5082,"DOT LAKE"
5082,"DOT LAKE NATIVE CORP."
5083,"VILLAGE OF ILIAMNA"
5083,"ILIAMNA"
5083,"ILIAMNA NATIVES, LTD."
5084,"VILLAGE OF KALTAG"
5084,"KALTAG"
5085,"SALAMATOF TRIBE"
5085,"SALAMATOF"
5085,"SALAMATOF NATIVE ASSN., INC."
5085,"VILLAGE OF SALAMATOF"
5086,"VILLAGE OF STONY RIVER"
5086,"STONY RIVER"
5089,"KENAITZE INDIAN TRIBE"
5089,"KENAI NATIVE ASSN., INC"
5089,"KENAITZE"
5090,"NATIVE VILLAGE OF VENETIE TRIBAL GOVERNMENT"
5090,"VENETIE IRA"
5090,"VENETIE TRIBAL GOVERNMENT"
5091,"ARCTIC VILLAGE"
5091,"NEETS'AI CORP."
5092,"VILLAGE OF VENETIE"
5092,"VENETIE"
5121,"AGDAAGUX TRIBE OF KING COVE"
5121,"AGDAAGUX"
5121,"KING COVE CORP."
5121,"KING COVE TRIBE"
5125,"CHIGNIK BAY TRIBAL COUNCIL"
5125,"CHIGNIK"
5125,"CHIGNIK BAY"
5125,"CHIGNIK BAY TRIBAL COUNCIL (NATIVE VILLAGE OF CHIGNIK)"
5125,"FAR WEST, INC."
5125,"NATIVE VILLAGE OF CHIGNIK"
5126,"CHIGNIK LAKE VILLAGE"
5126,"CHIGNIK LAKE"
5126,"CHIGNIK RIVER LTD."
5129,"EGEGIK VILLAGE"
5129,"BECHAROF CORP."
5129,"EGEGIK"
5130,"IGIUGIG VILLAGE"
5130,"IGIUGIG"
5130,"IGIUGIG NATIVE CORP."
5131,"IVANOF BAY TRIBE"
5131,"BAY VIEW INC."
5131,"IVANOF BAY"
5131,"IVANOF BAY VILLAGE"
5132,"KAGUYAK VILLAGE"
5132,"KAGUYUK"
5135,"KING SALMON TRIBE"
5135,"KING SALMON"
5137,"KOKHANOK VILLAGE"
5137,"KOKHANOK"
5139,"TANGIRNAQ NATIVE VILLAGE"
5139,"LEISNOI, INC."
5139,"LESNOI"
5139,"LESNOI VILLAGE"
5139,"LESNOI VILLAGE (WOODY ISLAND)"
5139,"TANGIRNAQ"
5139,"WOODY ISLAND"
5140,"NATIVE VILLAGE OF AFOGNAK"
5140,"AFOGNAK"
5140,"ALUTIIQ LLC"
5141,"NATIVE VILLAGE OF AKHIOK"
5141,"AKHIOK"
5142,"NATIVE VILLAGE OF AKUTAN"
5142,"AKUTAN"
5142,"AKUTAN CORP."
5143,"NATIVE VILLAGE OF ATKA"
5143,"ATKA"
5143,"ATXAM CORP."
5144,"NATIVE VILLAGE OF BELKOFSKI"
5144,"BELKOFSKI"
5144,"BELKOFSKI CORP."
5145,"NATIVE VILLAGE OF CHENEGA (CHANEGA)"
5145,"CHANEGA"
5145,"CHENEGA"
5145,"CHENEGA BAY"
5145,"CHENEGA CORP."
5145,"NATIVE VILLAGE OF CHANEGA"
5145,"NATIVE VILLAGE OF CHANEGA (CHENEGA)"
5146,"NATIVE VILLAGE OF CHIGNIK LAGOON"
5146,"CHIGNIK LAGOON"
5146,"CHIGNIK LAGOON NATIVE CORP."
5147,"NATIVE VILLAGE OF EYAK (CORDOVA)"
5147,"CORDOVA"
5147,"EYAK"
5147,"NATIVE VILLAGE OF EYAK"
5147,"THE EYAK CORP."
5148,"NATIVE VILLAGE OF FALSE PASS"
5148,"FALSE PASS"
5148,"ISANOTSKI CORP."
5149,"NATIVE VILLAGE OF KANATAK"
5149,"KANATAK"
5150,"NATIVE VILLAGE OF KARLUK"
5150,"KARLUK"
5151,"NATIVE VILLAGE OF LARSEN BAY"
5151,"LARSEN BAY"
5152,"NATIVE VILLAGE OF NANWALEK (ENGLISH BAY)"
5152,"ENGLISH BAY"
5152,"NANWALEK"
5152,"NATIVE VILLAGE OF NANWALEK"
5152,"THE ENGLISH BAY CORP."
5153,"NATIVE VILLAGE OF NELSON LAGOON"
5153,"NELSON LAGOON"
5153,"NELSON LAGOON CORP."
5154,"NATIVE VILLAGE OF NIKOLSKI"
5154,"CHALUKA CORP."
5154,"NIKOLSKI"
5155,"NATIVE VILLAGE OF OUZINKIE"
5155,"OUZINKIE"
5155,"OUZINKIE NATIVE CORP."
5156,"NATIVE VILLAGE OF PERRYVILLE"
5156,"OCEANSIDE CORP."
5156,"PERRYVILLE"
5157,"NATIVE VILLAGE OF PILOT POINT"
5157,"PILOT POINT"
5157,"PILOT POINT NATIVE CORP."
5158,"NATIVE VILLAGE OF PORT GRAHAM"
5158,"PORT GRAHAM"
5158,"PORT GRAHAM CORP."
5159,"NATIVE VILLAGE OF PORT HEIDEN"
5159,"PORT HEIDEN"
5160,"NATIVE VILLAGE OF PORT LIONS"
5160,"PORT LIONS"
5161,"NATIVE VILLAGE OF TATITLEK"
5161,"TATITLEK"
5161,"THE TATITLEK CORP."
5162,"NATIVE VILLAGE OF UNGA"
5162,"UNGA"
5162,"UNGA CORP."
5163,"PAULOFF HARBOR VILLAGE"
5163,"PAULOFF"
5163,"SANAK CORP."
5164,"QAGAN TAYAGUNGIN TRIBE OF SAND POINT"
5164,"QAGAN TAYAGUNGIN"
5164,"QAGAN TAYAGUNGIN TRIBE"
5164,"QAGAN TAYAGUNGIN TRIBE OF SAND POINT VILLAGE"
5164,"QTT"
5164,"SHUMAGIN CORP."
5165,"QAWALANGIN TRIBE OF UNALASKA"
5165,"OUNALASHKA CORP."
5165,"QAWALANGIN"
5168,"SOUTH NAKNEK VILLAGE"
5168,"QINUYANG"
5168,"SOUTH NAKNEK"
5170,"SUN’AQ TRIBE OF KODIAK"
5170,"NATIVES OF KODIAK INC."
5170,"SHOONAQ"
5170,"SHOONAQ TRIBE OF KODIAK"
5170,"SUN’AQ"
5171,"UGASHIK VILLAGE"
5171,"UGASHIK"
5171,"UGASHIK TRADITIONAL VILLAGE"
5173,"ALUTIIQ TRIBE OF OLD HARBOR"
5173,"NATIVE VILLAGE OF OLD HARBOR"
5173,"OLD HARBOR NATIVE CORP."
5173,"OLD HARBOR TRIBAL COUNCIL"
5173,"VILLAGE OF OLD HARBOR"
5174,"PRIBILOF ISLANDS ALEUT COMMUNITIES"
5174,"PRIBILOF ISLANDS"
5175,"SAINT GEORGE ISLAND"
5175,"ALEUT COMMUNITY OF ST GEORGE ISLAND"
5175,"ST GEORGE"
5175,"ST GEORGE TANAQ CORP."
5175,"ST GEORGE TC"
5176,"SAINT PAUL ISLAND"
5176,"ALEUT COMMUNITY OF ST PAUL ISLAND"
5176,"SAINT PAUL"
5176,"TANADGUSIX CORP."
5224,"NATIVE VILLAGE OF ATQASUK"
5224,"ATKASOOK"
5224,"ATQASUK"
5224,"ATQASUK CORP."
5224,"ATQASUK VILLAGE"
5224,"ATQASUK VILLAGE (ATKASOOK)"
5226,"CHEVAK NATIVE VILLAGE"
5226,"CHEVAK"
5226,"CHEVAK COMPANY"
5227,"CHINIK ESKIMO COMMUNITY (GOLOVIN)"
5227,"CHINIK"
5227,"CHINIK ESKIMO COMMUNITY"
5227,"GOLOVIN"
5227,"GOLOVIN NATIVE CORP."
5230,"INUPIAT COMMUNITY OF THE ARCTIC SLOPE"
5230,"ICAS"
5231,"KAKTOVIK VILLAGE (BARTER ISLAND)"
5231,"BARTER ISLAND"
5231,"KAKTOVIK"
5231,"KAKTOVIK INUPIAT CORP."
5231,"KAKTOVIK VILLAGE"
5233,"KING ISLAND NATIVE COMMUNITY"
5233,"KING ISLAND"
5233,"KING ISLAND NATIVE CORP."
5235,"NATIVE VILLAGE OF AMBLER"
5236,"NATIVE VILLAGE OF BARROW INUPIAT TRADITIONAL GOVERNMENT"
5236,"BARROW"
5236,"NATIVE VILLAGE OF BARROW"
5236,"UIC"
5236,"UKPEAGVIK INUPIAT CORP."
5237,"NATIVE VILLAGE OF BREVIG MISSION"
5237,"BREVIG MISSION"
5237,"BREVIG MISSION NATIVE CORP."
5238,"NATIVE VILLAGE OF BUCKLAND"
5238,"BUCKLAND"
5239,"NATIVE VILLAGE OF COUNCIL"
5239,"COUNCIL NATIVE CORP."
5240,"NATIVE VILLAGE OF DEERING"
5240,"DEERING"
5241,"NATIVE VILLAGE OF DIOMEDE (INALIK)"
5241,"DIOMEDE"
5241,"INALIK"
5241,"INALIK NATIVE CORP."
5241,"NATIVE VILLAGE OF DIOMEDE"
