"Census_RaceEthCode","Census_Description"
5473,"CHEFORNAK"
5473,"CHEFORNAK TRADITIONAL COUNCIL"
5474,"VILLAGE OF CLARKS POINT"
5474,"CLARK’S POINT"
5474,"SAGUYAK INC."
5474,"VILLAGE OF CLARK’S POINT"
5475,"VILLAGE OF CROOKED CREEK"
5475,"CROOKED CREEK"
5475,"CROOKED CREEK TRADITIONAL COUNCIL"
5476,"VILLAGE OF KALSKAG"
5476,"KALSKAG"
5476,"NATIVE VILLAGE OF KALSKAG"
5476,"UPPER KALSKAG"
5477,"VILLAGE OF KOTLIK"
5477,"KOTLIK"
5477,"KOTLIK YUPIK CORP."
5478,"VILLAGE OF LOWER KALSKAG"
5478,"LOWER KALSKAG"
5479,"VILLAGE OF OHOGAMIUT"
5479,"OHOG, INC."
5479,"OHOGAMIUT"
5480,"VILLAGE OF RED DEVIL"
5480,"RED DEVIL"
5481,"VILLAGE OF SLEETMUTE"
5481,"SLEETMUTE"
5481,"SLEETMUTE TRADITIONAL COUNCIL"
5482,"YUPIIT OF ANDREAFSKI"
5482,"ANDREAFSKI"
5482,"NERKLIKMUTE NATIVE CORP."
5483,"NATIVE VILLAGE OF PAIMIUT"
5483,"PAIMIUT"
5483,"PAIMIUT CORP."
5510,"AK-CHIN INDIAN COMMUNITY"
5510,"AK CHIN"
5510,"AK CHIN OODHAM"
5510,"AK CHIN PAPAGO"
5510,"AKCHIN (AK-CHIN)"
5510,"AK-CHIN MARICOPA"
5510,"AK-CHIN VILLAGE"
5515,"APACHE TRIBE OF OKLAHOMA"
5515,"APACHE KIOWA"
5515,"APACHE OKLAHOMA"
5515,"APACHE PLAINS"
5515,"KA TA KAS APACHE"
5515,"KIOWA APACHE"
5515,"OKLAHOMA APACHE"
5515,"PLAINS APACHE"
5516,"FORT SILL APACHE TRIBE OF OKLAHOMA"
5516,"APACHE BEDONKOHE"
5516,"APACHE CHIRICAHUA"
5516,"APACHE FORT SILL"
5516,"APACHE NDE"
5516,"APACHE NEDNAI"
5516,"APACHE WARM SPRINGS"
5516,"BEDONKOHE"
5516,"BEDONKOHE APACHE"
5516,"CHIHENNE"
5516,"CHIHENNE APACHE"
5516,"CHIRICAHUA"
5516,"CHIRICAHUA APACHE"
5516,"FORT SILL"
5516,"FORT SILL APACHE"
5516,"WARM SPRINGS APACHE"
5517,"JICARILLA APACHE NATION, NEW MEXICO"
5517,"APACHE JICARILLA"
5517,"JICARILLA"
5517,"JICARILLA APACHE"
5517,"JICARILLA APACHE NATION"
5517,"JICARILLA APACHE TRIBE"
5519,"MESCALERO APACHE TRIBE OF THE MESCALERO RESERVATION, NEW MEXICO"
5519,"APACHE MESCALERO"
5519,"MESCALERO"
5519,"MESCALERO APACHE"
5519,"MESCALERO APACHE TRIBE MESCALERO RESERVATION"
5519,"MESCALERO RESERVATION"
5519,"MIMBRENO"
5520,"SAN CARLOS APACHE TRIBE OF THE SAN CARLOS RESERVATION, ARIZONA"
5520,"APACHE SAN CARLOS"
5520,"BYLAS"
5520,"PERIDOT (SAN CARLOS APACHE)"
5520,"SAN CARLOS"
5520,"SAN CARLOS APACHE TRIBE"
5520,"SAN CARLOS APACHE TRIBE OF THE SAN CARLOS RESERVATION"
5520,"SEVEN MILE WASH"
5521,"TONTO APACHE TRIBE OF ARIZONA"
5521,"APACHE PAYSON"
5521,"APACHE PAYSON TONTO"
5521,"APACHE TONTO"
5521,"APACHE YAVAPAI TONTO"
5521,"PAYSON"
5521,"PAYSON APACHE"
5521,"PAYSON TONTO APACHE"
5521,"TONTO APACHE"
5521,"YAVAPAI TONTO APACHE"
5522,"WHITE MOUNTAIN APACHE TRIBE OF THE FORT APACHE RESERVATION, ARIZONA"
5522,"APACHE CIBECUE"
5522,"APACHE FORT"
5522,"APACHE GILA"
5522,"APACHE NORTH FORK"
5522,"APACHE WHITE MOUNTAIN"
5522,"APACHE WHITE RIVER"
5522,"CANYON DAY"
5522,"CEDAR CREEK"
5522,"CIBECUE"
5522,"CIBECUE APACHE"
5522,"CREEK CEDAR"
5522,"CREEK TURKEY"
5522,"EAST FORK"
5522,"FORT APACHE"
5522,"GILA APACHE"
5522,"MOUNTAIN APACHE"
5522,"NORTH FORK APACHE"
5522,"SEVEN MILE"
5522,"TURKEY CREEK"
5522,"WHITE MOUNTAIN APACHE TRIBE"
5522,"WHITE MTN APACHE"
5522,"WMAT"
5525,"NORTHERN ARAPAHO TRIBE OF THE WIND RIVER RESERVATION, WYOMING"
5525,"ARAPAHO NORTHERN"
5525,"ARAPAHO NORTHERN WIND RIVER"
5525,"ARAPAHO TRIBE OF THE WIND RIVER RESERVATION, WYOMING"
5525,"ARAPAHO WIND RIVER"
5525,"ARAPAHO WIND RIVER NORTHERN"
5525,"NORTHERN ARAPAHO"
5525,"NORTHERN ARAPAHO OF WIND RIVER"
5525,"NORTHERN ARAPAHO TRIBE"
5525,"NORTHERN ARAPAHOE"
5525,"WIND RIVER ARAPAHO"
5531,"ASSINIBOINE AND SIOUX TRIBES OF THE FORT PECK INDIAN RESERVATION, MONTANA"
5531,"ASSINIBOINE AND SIOUX"
5531,"ASSINIBOINE AND SIOUX TRIBES OF THE FORT PECK INDIAN RESERVATION"
5531,"ASSINIBOINE FORT PECK"
5531,"ASSINIBOINE NAKOTA"
5531,"ASSINIBOINE SIOUX"
5531,"FORT PECK"
5531,"FORT PECK ASSINIBOINE AND SIOUX TRIBES"
5531,"FORT PECK RESERVATION"
5531,"FT PECK ASSINIBOINE"
5531,"FT PECK ASSINIBOINE SIOUX"
5531,"FT PECK SIOUX"
5531,"NAKOTA ASSINIBOINE"
5531,"SIOUX ASSINIBOINE"
5536,"BLACKFEET TRIBE OF THE BLACKFEET INDIAN RESERVATION OF MONTANA"
5536,"AMSKAPI PIKUNI"
5536,"BLACKFEET NATION"
5536,"BLACKFEET TRIBE"
5536,"BLACKFEET TRIBE OF BLACKFEET INDIAN RESERVATION"
5536,"BLACKFEET TRIBE OF BLACKFEET INDIAN RESERVATION MONTANA"
5536,"BLACKFOOT TRIBE"
5536,"PIEGAN"
5536,"PIEGAN BLACKFEET"
5553,"CADDO NATION OF OKLAHOMA"
5553,"ANADACA"
5553,"ANADARKO"
5553,"ASINAI"
5553,"CADDO INDIAN TRIBE OF OKLAHOMA"
5553,"CADDO OKLAHOMA"
5553,"HASINAI"
5553,"NECHES"
5553,"OKLAHOMA CADDO"
5557,"AGUA CALIENTE BAND OF CAHUILLA INDIANS OF THE AGUA CALIENTE INDIAN RESERVATION, CALIFORNIA"
5557,"ACBCI (AGUA CALENTE BAND OF CAHUILLA INDIANS)"
5557,"AGUA CALIENTE BAND OF CAHUILLA INDIANS"
5557,"AGUA CALIENTE CAHUILLA"
5557,"AGUA CALIENTE INDIAN RESERVATION"
5557,"CAHUILLA AGUA CALIENTE"
5558,"AUGUSTINE BAND OF CAHUILLA INDIANS, CALIFORNIA"
5558,"AUGUSTINE"
5558,"AUGUSTINE RESERVATION"
5559,"CABAZON BAND OF CAHUILLA INDIANS"
5559,"CABAZON"
5559,"CABAZON BAND OF CAHUILLA INDIANS, CALIFORNIA"
5559,"CABAZON BAND OF MISSION INDIANS"
5559,"CABAZON MISSION"
5559,"CABAZON RESERVATION"
5559,"CAHUILLA CABAZON"
5559,"MISSION CABAZON"
5560,"LOS COYOTES BAND OF CAHUILLA AND CUPENO INDIANS, CALIFORNIA"
5560,"LOS COYOTES"
5560,"LOS COYOTES BAND OF CAHUILLA AND CUPENO INDIANS"
5560,"LOS COYOTES CAHUILLA"
5560,"LOS COYOTES CUPENO"
5560,"LOS COYOTES RESERVATION"
5560,"MISSION LOS COYOTES"
5561,"MORONGO BAND OF MISSION INDIANS, CALIFORNIA"
5561,"CAHUILLA MORONGO"
5561,"MISSION MORONGO"
5561,"MORONGO"
5561,"MORONGO BAND OF CAHUILLA MISSION INDIANS"
5561,"MORONGO RESERVATION"
5562,"RAMONA BAND OF CAHUILLA, CALIFORNIA"
5562,"RAMONA BAND OR VILLAGE OF CAHUILLA"
5562,"RAMONA BAND OR VILLAGE OF CAHUILLA MISSION INDIANS"
5562,"RAMONA RESERVATION"
5563,"SANTA ROSA BAND OF CAHUILLA INDIANS, CALIFORNIA"
5563,"CAHUILLA SANTA ROSA"
5563,"MISSION SANTA ROSA"
5563,"SANTA ROSA BAND OF CAHUILLA INDIANS"
5563,"SANTA ROSA BAND OF CAHUILLA INDIANS OF THE SANTA ROSA RESERVATION"
5563,"SANTA ROSA CAHUILLA"
5563,"SANTA ROSA MISSION"
5563,"SANTA ROSA OF CAHUILLA"
5564,"TORRES MARTINEZ DESERT CAHUILLA INDIANS, CALIFORNIA"
5564,"CAHUILLA TORRES MARTINEZ"
5564,"DESERT CAHUILLA"
5564,"DESERT TORRES MARTINEZ"
5564,"MISSION TORRES-MARTINEZ"
5564,"TM DESERT CAHUILLA"
5564,"TORRES MARTINEZ"
5564,"TORRES MARTINEZ BAND OF CAHUILLA MISSION INDIANS"
5564,"TORRES MARTINEZ DESERT CAHUILLA"
5564,"TORRES MARTINEZ DESERT CAHUILLA INDIANS"
5564,"TORRES MARTINEZ MISSION"
5564,"TORRES MARTINEZ RESERVATION"
5566,"BEAR RIVER BAND OF THE ROHNERVILLE RANCHERIA, CALIFORNIA"
5566,"BEAR RIVER"
5566,"BEAR RIVER BAND OF ROHNERVILLE RANCHERIA"
5566,"BEAR RIVER WIYOT"
5566,"MATTOLE"
5566,"MATTOLE RIVER"
5566,"ROHNERVILLE"
5566,"ROHNERVILLE RANCHERIA"
5567,"CAHTO TRIBE OF THE LAYTONVILLE RANCHERIA"
5567,"CAHTO"
5567,"CAHTO INDIAN TRIBE OF THE LAYTONVILLE RANCHERIA"
5567,"KAI POMO"
5567,"KATO"
5567,"LAYTONVILLE"
5567,"LAYTONVILLE RANCHERIA"
5568,"CALIFORNIA VALLEY MIWOK TRIBE, CALIFORNIA"
5568,"CALIFORNIA MIWOK"
5568,"CALIFORNIA VALLEY"
5568,"CALIFORNIA VALLEY MIWOK TRIBE"
5568,"SHEEP RANCH"
5568,"SHEEP RANCH OF MIWOK INDIANS"
5569,"CHER-AE HEIGHTS INDIAN COMMUNITY OF THE TRINIDAD RANCHERIA, CALIFORNIA"
5569,"CHER AE HEIGHTS"
5569,"CHER AE HEIGHTS INDIAN COMMUNITY"
5569,"CHER-AE"
5569,"CHER-AE HEIGHTS INDIAN COMMUNITY OF THE TRINIDAD RANCHERIA"
5569,"TRINIDAD RANCHERIA"
5575,"REDDING RANCHERIA, CALIFORNIA"
5575,"REDDING"
5575,"REDDING RANCHERIA"
5576,"SANTA ROSA INDIAN COMMUNITY OF THE SANTA ROSA RANCHERIA, CALIFORNIA"
5576,"SANTA ROSA INDIAN COMMUNITY"
5576,"SANTA ROSA INDIAN COMMUNITY OF THE SANTA ROSA RANCHERIA"
5576,"SANTA ROSA RANCHERIA"
5576,"SANTA ROSA TACHI"
5576,"TACHI YOKUT"
5586,"CATAWBA INDIAN NATION"
5586,"CATAWBA"
5586,"CATAWBA (OF SOUTH CAROLINA)"
5586,"CATAWBA INDIAN"
5586,"SANFORD CATAWBA"
5590,"CONFEDERATED TRIBES OF THE CHEHALIS RESERVATION"
5590,"CHEHALIS"
5590,"CONFED. TRIBES OF THE CHEHALIS RESERVATION, WASHINGTON"
5590,"HUMPTULIP"
5590,"SATSOP"
5593,"HOH INDIAN TRIBE"
5593,"HOH"
5594,"QUILEUTE TRIBE OF THE QUILEUTE RESERVATION"
5594,"LA PUSH INDIAN"
5594,"QUILEUTE"
5594,"QUILEUTE TRIBE OF THE QUILEUTE RESERVATION, WASHINGTON"
5597,"CHEMEHUEVI INDIAN TRIBE OF THE CHEMEHUEVI RESERVATION, CALIFORNIA"
5597,"CHEMEHUEVI"
5597,"CHEMEHUEVI INDIAN TRIBE"
5603,"CHEROKEE NATION"
5603,"CHEROKEE NATION OF OKLAHOMA"
5603,"CHEROKEE OF ARKANSAS"
5603,"CHEROKEE OKLAHOMA"
5603,"CHEROKEE TAHLEQUAH"
5603,"CHEROKEE WESTERN"
5603,"OKLAHOMA CHEROKEE"
5603,"OKLAHOMA TALQUE"
5603,"TAHLEQUAH"
5603,"WESTERN CHEROKEE"
5606,"EASTERN BAND OF CHEROKEE INDIANS"
5606,"CHEROKEE EASTERN"
5606,"CHEROKEE NC/NORTH CAROLINA"
5606,"CHEROKEE QUALLA"
5606,"E CHEROKEE"
5606,"EASTERN BAND CHEROKEE"
5606,"EASTERN BAND OF CHEROKEE, NC"
5606,"EASTERN CHEROKEE"
5606,"EBCI"
5606,"EBCI (EASTERN BAND OF CHEROKEE INDIANS)"
5606,"QUALLA"
5606,"QUALLA CHEROKEE"
5616,"UNITED KEETOOWAH BAND OF CHEROKEE INDIANS IN OKLAHOMA"
5616,"CHEROKEE KEETOOWAH"
5616,"CHEROKEE UNITED KEETOWAH BAND"
5616,"KEETOOWAH"
5616,"KEETOOWAH BAND CHEROKEES"
5616,"KEETOOWAH CHEROKEE"
5616,"KITUHWA (KITUWA)"
5616,"UKB"
5616,"UKB (UNITED KEETOWAH BAND)"
5616,"UNITED KEETOOWAH"
5616,"UNITED KEETOWAH BAND (UKB)"
5616,"UNITED KEETOWAH BAND OF CHEROKEE"
5620,"NORTHERN CHEYENNE TRIBE OF THE NORTHERN CHEYENNE INDIAN RESERVATION, MONTANA"
5620,"CHEYENNE NORTHERN"
5620,"NORTHERN CHEYENNE"
5620,"NORTHERN CHEYENNE TRIBE"
5620,"NORTHERN CHEYENNE TRIBE OF THE NORTHERN CHEYENNE RESERVATION, MONTANA"
5620,"SO'TAA'EO'O"
5620,"TSISTISTAS"
5624,"CHEYENNE AND ARAPAHO TRIBES, OKLAHOMA"
5624,"ARAPAHO CHEYENNE"
5624,"C AND A TRIBES"
5624,"CHEYENNE AND ARAPAHO TRIBE OF OKLAHOMA"
5624,"CHEYENNE AND ARAPAHO TRIBES"
5624,"CHEYENNE ARAPAHO"
5624,"CHEYENNE ARAPAHOE"
5624,"CONCHO AGENCY"
5624,"CONCHO OKLA"
5624,"SOUTHERN CHEYENNE AND ARAPAHO"
5629,"CHICKAHOMINY INDIAN TRIBE—EASTERN DIVISION"
5629,"CHICKAHOMINY INDIANS—EASTERN DIVISION"
5630,"CHICKAHOMINY INDIAN TRIBE"
5630,"CHICKAHOMINY"
5630,"CHICKAHOMINY TRIBE"
5630,"CHICKAHOMINY TRIBE, INC."
5630,"CHICKAHOMINY WESTERN"
5630,"WESTERN CHICKAHOMINY"
5635,"THE CHICKASAW NATION"
5635,"CHICASAW"
5635,"CHICKASAW"
5635,"CHICKASAW OKLAHOMA"
5635,"CHICKSAW"
5635,"OKLAHOMA CHICKASAW"
5650,"BAD RIVER BAND OF THE LAKE SUPERIOR TRIBE OF CHIPPEWA INDIANS OF THE BAD RIVER RESERVATION, WISCONSIN"
5650,"BAD RIVER"
5650,"BAD RIVER BAND"
5650,"BAD RIVER BAND OF THE LAKE SUPERIOR TRIBE"
5650,"BAD RIVER OF LAKE SUPERIOR"
5650,"CHIPPEWA BAD RIVER"
5651,"BAY MILLS INDIAN COMMUNITY, MICHIGAN"
5651,"BAY MILLS"
5651,"BAY MILLS CHIPPEWA"
5651,"BAY MILLS INDIAN COMMUNITY"
5651,"BAY MILLS INDIAN COMMUNITY OF THE SAULT STE MARIE BAND"
5651,"BMIC"
5651,"BMIC (BAY MILLS INDIAN COMMUNITY)"
5651,"BRIMLEY TRIBE"
5651,"CHIPPEWA BAY MILLS"
5651,"MICHIGAN BAY MILLS"
5651,"OJIBWA BAY MILLS"
5655,"GRAND TRAVERSE BAND OF OTTAWA AND CHIPPEWA INDIANS, MICHIGAN"
5655,"GRAND TRAVERSE"
5655,"GRAND TRAVERSE BAND"
5655,"GRAND TRAVERSE BAND OF OTTAWA AND CHIPPEWA INDIANS"
5655,"GRAND TRAVERSE CHIPPEWA"
5655,"GRAND TRAVERSE OTTAWA"
5655,"GTB"
5655,"LEELANAU"
5655,"OTTAWA BAND TRAVERSE"
5655,"OTTAWA GRAND TRAVERSE"
5655,"TRAVERSE BAND OTTAWA"
5655,"TURTLE CREEK CASINO"
5656,"KEWEENAW BAY INDIAN COMMUNITY, MICHIGAN"
5656,"BARAGA BAND"
5656,"BARAGA BAND CHIPPEWA"
5656,"CHIPPEWA BARAGA"
5656,"CHIPPEWA KEWEENAW"
5656,"CHIPPEWA KEWEENAW BAY"
5656,"CHIPPEWA L'ANSE"
5656,"KB CHIPPEWA"
5656,"KBIC"
5656,"KEWEENAW"
5656,"KEWEENAW BAY BARAGA"
5656,"KEWEENAW BAY CHIPPEWA"
5656,"KEWEENAW BAY INDIAN COMMUNITY"
5656,"KEWEENAW BAY INDIAN COMMUNITY OF THE L'ANSE"
5656,"KEWEENAW BAY OJIBWA"
5656,"L'ANSE"
5656,"OJIBWA KEWEENAW BAY"
5656,"ONTONAGON"
5657,"LAC COURTE OREILLES BAND OF LAKE SUPERIOR CHIPPEWA INDIANS OF WISCONSIN"
5657,"CHIPPEWA LAC COURTE OREILLES"
5657,"CHIPPEWA LCO"
5657,"LA COURTE CHIPPEWA"
5657,"LAC COURT OREILLES"
5657,"LAC COURTE OREILLES"
5657,"LAC COURTE OREILLES BAND OF LAKE SUPERIOR CHIPPEWA"
5657,"LAC COURTE OREILLES CHIPPEWA"
5657,"LCO"
5657,"OGIBWA LAC COURTE OREILLES"
5657,"OJIBWA LAC COURTE OREILLES"
5657,"WISC LAC COURTE OREILLE"
5657,"WISC LAC COURTE OREILLE CHIPPEWA"
5657,"WISCONSIN LCO CHIPPEWA"
5658,"LAC DU FLAMBEAU BAND OF LAKE SUPERIOR CHIPPEWA INDIANS OF THE LAC DU FLAMBEAU RESERVATION OF WISCONSIN"
5658,"CHIPPEWA LAC DU FLAMBEAU"
5658,"LAC DU FLAMBEAU"
5658,"LAC DU FLAMBEAU BAND OF LAKE SUPERIOR CHIPPEWA INDIANS"
5658,"LAC DU FLAMBEAU CHIPPEWA"
5658,"LDF"
5658,"LDF CHIPPEWA"
5658,"WISC LAC DU FLAMBEAU"
5658,"WISC LAC DU FLAMBEAU CHIPPEWA"
5658,"WISCONSIN LAC DU FLAMBEAU"
5658,"WISCONSIN LAC DU FLAMBEAU CHIPPEWA"
5659,"LAC VIEUX DESERT BAND OF LAKE SUPERIOR CHIPPEWA INDIANS OF MICHIGAN"
5659,"CHIPPEWA LAC VIEUX DESERT"
5659,"DESERT CHIPPEWA LAC VIEUX"
5659,"KATIKITEGON"
5659,"LAC VIEUX"
5659,"LAC VIEUX DESERT"
5659,"LAC VIEUX DESERT BAND"
5659,"LAC VIEUX DESERT BAND OF LAKE SUPERIOR CHIPPEWA"
5659,"LAC VIEUX DESERT BAND OF LAKE SUPERIOR CHIPPEWA INDIANS"
5659,"LAC VIEUX DESERT CHIPPEWA"
5659,"LVD"
5659,"MICHIGAN LAC VIEUX DESERT"
5659,"VIEUX DESERT"
5659,"WATERSMEET"
5662,"LITTLE SHELL TRIBE OF CHIPPEWA INDIANS OF MONTANA"
5662,"CHIPPEWA LITTLE SHELL"
5662,"LITTLE SHELL"
5662,"LITTLE SHELL CHIPPEWA INDIANS OF MONTANA"
5662,"LITTLE SHELL TRIBE"
5664,"MINNESOTA CHIPPEWA TRIBE, MINNESOTA"
5664,"CHIPPEWA MINNESOTA"
5664,"CHIPPEWA MISSISSIPI"
5664,"CHIPPEWA PILLAGER"
5664,"MCT"
5664,"MCT (MINN CHIPPEWA TRIBE)"
5664,"MINNESOTA CHIPPEWA"
5664,"MISSISSIPI CHIPPEWA"
5664,"PILLAGER"
5664,"WHITE OAK POINT"
5665,"RED CLIFF BAND OF LAKE SUPERIOR CHIPPEWA INDIANS OF WISCONSIN"
5665,"CHIPPEWA RED CLIFF"
5665,"CHIPPEWA RED CLIFF BAND OF LAKE SUPERIOR"
5665,"RED CLIFF"
5665,"RED CLIFF BAND"
5665,"RED CLIFF BAND OF LAKE SUPERIOR CHIPPEWA"
5665,"RED CLIFF CHIPPEWA"
5665,"RED CLIFF OJIBWA"
5665,"RED CLIFF OJIBWAY"
5665,"RED CLIFF OJIBWE"
5665,"RED CLIFF RESERVATION"
5665,"WISC RED CLIFF"
5665,"WISC RED CLIFF CHIPPEWA"
5665,"WISCONSIN RED CLIFF"
5665,"WISCONSIN RED CLIFF CHIPPEWA"
5666,"RED LAKE BAND OF CHIPPEWA INDIANS, MINNESOTA"
5666,"CHIPPEWA RED LAKE"
5666,"MINN RED LAKE"
5666,"MINN RED LAKE CHIPPEWA"
5666,"MINNESOTA RED LAKE"
5666,"MINNESOTA RED LAKE CHIPPEWA"
5666,"MN RED LAKE"
5666,"MN RED LAKE CHIPPEWA"
5666,"RED LAKE"
5666,"RED LAKE BAND OF CHIPPEWA INDIANS"
5666,"RED LAKE CHIPPEWA"
5666,"RL CHIPPEWA"
5667,"SAGINAW CHIPPEWA INDIAN TRIBE OF MICHIGAN"
5667,"CHIPPEWA ISABELLA"
5667,"CHIPPEWA MT PLEASANT"
5667,"CHIPPEWA SAGINAW"
5667,"ISABELLA CHIPPEWA"
5667,"ISABELLA OJIBWA"
5667,"MICHIGAN ISABELLA"
5667,"MICHIGAN SAGINAW"
5667,"MT PLEASANT CHIPPEWA"
5667,"OJIBWA ISABELLA"
5667,"SAGINAW CHIPPEWA"
5667,"SAGINAW CHIPPEWA INDIAN TRIBE"
5667,"SAGINAW OJIBWA"
5667,"SHIAWASSEE "
5668,"SAULT STE. MARIE TRIBE OF CHIPPEWA INDIANS, MICHIGAN"
5668,"CHIPPEWA SAULT"
5668,"CHIPPEWA SAULT STE MARIE"
5668,"MICHIGAN SAULT STE MARIE"
5668,"ORIGINAL BANDS OF SAULT STE MARIE CHIPPEWA"
5668,"SAULT BAND"
5668,"SAULT CHIPPEWA"
5668,"SAULT STE MARIE"
5668,"SAULT STE MARIE CHIPPEWA"
5668,"SAULT STE MARIE TRIBE OF CHIPPEWA"
5668,"SAULT STE. MARIE TRIBE OF CHIPPEWA INDIANS"
5668,"SAULT TRIBE"
5668,"SIOUX STE MARIE CHIPPEWA"
5668,"SOO STE MARIE CHIPPEWA"
5668,"SSM"
5668,"SSMTC"
5669,"SOKAOGON CHIPPEWA COMMUNITY, WISCONSIN"
5669,"CHIPPEWA SOKAOGON"
5669,"CRANDON"
5669,"CRANDON CHIPPEWA"
5669,"CRANDON RESERVATION"
5669,"MOLE LAKE"
5669,"MOLE LAKE BAND"
5669,"MOLE LAKE CHIPPEWA"
5669,"MOLE LAKE RESERVATION"
5669,"SOKAOGON"
5669,"SOKAOGON CHIPPEWA"
5669,"SOKAOGON CHIPPEWA COMMUNITY"
5670,"ST. CROIX CHIPPEWA INDIANS OF WISCONSIN"
5670,"CHIPPEWA ST CROIX"
5670,"ST CROIX INDIAN"
5670,"ST CROIX RIVER"
5670,"ST CROIX VALLEY"
5670,"ST CROIX VALLEY CHIP"
5670,"ST. CROIX CHIPPEWA"
5670,"WISC ST CROIX"
5670,"WISC ST CROIX CHIPPEWA"
5670,"WISCONSIN ST CROIX"
5670,"WISCONSIN ST CROIX CHIPPEWA"
5672,"TURTLE MOUNTAIN BAND OF CHIPPEWA INDIANS OF NORTH DAKOTA"
5672,"BELCOURT CHIPPEWA"
5672,"BELCOURT N DAKOTA"
5672,"CHIPPEWA BELCOURT"
5672,"CHIPPEWA NORTH DAKOTA"
5672,"CHIPPEWA TURTLE MOUNTAIN"
5672,"LITTLE TURTLES CHIPPEWA"
5672,"MITCHIF"
5672,"TM BAND OF CHIPPEWA"
5672,"TM CHIPPEWA"
5672,"TMBC"
5672,"TURTLE MNT LANDLESS"
5672,"TURTLE MOUNTAIN"
5672,"TURTLE MOUNTAIN BAND"
5672,"TURTLE MOUNTAIN BAND OF CHIPPEWA INDIANS"
5672,"TURTLE MOUNTAIN CHIPPEWA"
5672,"TURTLE MOUNTAIN OJIBWAY"
5672,"TURTLE MT BELCOURT"
5672,"TURTLE MTN CHIPPEWA"
5679,"CHIPPEWA CREE INDIANS OF THE ROCKY BOY’S RESERVATION, MONTANA"
5679,"CHIPPEWA CREE"
5679,"CHIPPEWA CREE LANDLESS"
5679,"CHIPPEWA CREE TRIBE OF ROCKY BOY MONTANA"
5679,"CREE OJIBWAY"
5679,"ROCKY BOY"
5679,"ROCKY BOY CHIPPEWA"
5679,"ROCKY BOY CREE"
5679,"ROCKY BOY'S CHIPPEWA CREE"
5679,"WOLF POINT"
5684,"CHITIMACHA TRIBE OF LOUISIANA"
5684,"BUTTE TRIBE OF BAYOU BOURBEAUX"
5684,"CHITEMACHA"
5684,"CHITIMACHA"
5690,"THE CHOCTAW NATION OF OKLAHOMA"
5690,"CHOCTAW NATION"
5690,"CHOCTAW NATION OF OK"
5690,"CHOCTAW OF OK"
5690,"CHOCTAW OF OKLAHOMA"
5690,"CHOCTAW OKLAHOMA"
5690,"CHOCTAW TRIBE OF OKLAHOMA"
5690,"OK CHOCTAW"
5690,"OKLAHOMA CHOCTAW"
5690,"OUACHITA CHOCTAW"
5692,"JENA BAND OF CHOCTAW INDIANS"
5692,"CHOCTAW JENA"
5692,"JENA CHOCTAW"
5694,"MISSISSIPPI BAND OF CHOCTAW INDIANS"
5694,"CHOCTAW MISSISSIPPI"
5694,"CHOCTAW MISSISSIPPI BAND"
5694,"CHOCTAW PEARL RIVER"
5694,"CHOCTAW WEST TENNESSEE"
5694,"MBCI"
5694,"MBCI (MISSISSIPPI BAND OF CHOCTAW INDIANS)"
5694,"MISSISSIPPI BAND OF CHOCTAW INDIAN"
5694,"MISSISSIPPI CHOCTAW"
5694,"MS BAND OF CHOCTAW"
5694,"PEARL RIVER TRIBE"
5694,"WEST TENNESSEE CHOCTAW"
5703,"SANTA YNEZ BAND OF CHUMASH MISSION INDIANS OF THE SANTA YNEZ RESERVATION, CALIFORNIA"
5703,"SANTA YNEZ"
5703,"SANTA YNEZ BAND OF CHUMASH MISSION INDIANS"
5703,"SANTA YNEZ RESERVATION"
5708,"COEUR D’ALENE TRIBE"
5708,"CDA"
5708,"COEUR D ALENE"
5708,"COEUR D'ALENE TRIBE"
5708,"COEUR D'ALENE TRIBE OF INDIANS"
5708,"SCHITSU'UMSH"
5708,"SKITSWISH"
5712,"COLORADO RIVER INDIAN TRIBES OF THE COLORADO RIVER INDIAN RESERVATION, ARIZONA AND CALIFORNIA"
5712,"COLORADO RIVER"
5712,"COLORADO RIVER INDIAN TRIBES"
5712,"CRIT"
5712,"CRIT (COLORADO RIVER INDIAN TRIBE)"
5712,"CRIT CHEM MOHAVE"
5712,"CRIT CHEMEHUEVI"
5712,"CRIT HOPI"
5712,"CRIT HOPI MOHAVE"
5712,"CRIT MOHAVE"
5712,"CRIT NAVAJO"
5714,"CONFEDERATED TRIBES OF THE COLVILLE RESERVATION"
5714,"CHIEF JOSEPH"
5714,"CHIEF JOSEPH NEZ PERCE"
5714,"COLVILLE"
5714,"COLVILLE CONFEDERATED"
5714,"COLVILLE CONFEDERATED TRIBES"
5714,"CONFEDERATED COLVILLE"
5714,"LAKE METHOW"
5714,"METHOW"
5714,"NESPELEM"
5714,"NORTHERN OKANAGAN"
5714,"OKANAGAN"
5714,"SAN POIL"
5714,"SANPOIL"
5714,"SOUTHERN OKANAGAN"
5716,"COMANCHE NATION, OKLAHOMA"
5716,"COMANCHE"
5716,"COMANCHE NATION"
5716,"COMANCHE OF OKLAHOMA"
5716,"COMANCHE TRIBE OF OKLAHOMA"
5716,"OKLAHOMA COMANCHE"
5720,"CONFEDERATED TRIBES OF THE COOS, LOWER UMPQUA AND SIUSLAW INDIANS"
5720,"CONFEDERATED COOS"
5720,"COOS CONFEDERATED"
5720,"COOS LOWER UMPQUA AND SIUSLAW INDIANS"
