"id_AK","id_temp","match","FRN_NameAsPublished","AIANNH_Geoname_Full","STATES","AIANNHCE","AIANNHNS"
"TR48",274,"nd","Minnesota Chippewa Tribe, Minnesota (Six component reservations: Bois Forte Band (Nett Lake); Fond du Lac Band; Grand Portage Band; Leech Lake Band; Mille Lacs Band; White Earth Band)","Mille Lacs Reservation","MN",2270,2419017
"TR48",274,"nd","Minnesota Chippewa Tribe, Minnesota (Six component reservations: Bois Forte Band (Nett Lake); Fond du Lac Band; Grand Portage Band; Leech Lake Band; Mille Lacs Band; White Earth Band)","White Earth Reservation","MN",4595,1934333
"TR48",274,"nd","Minnesota Chippewa Tribe, Minnesota (Six component reservations: Bois Forte Band (Nett Lake); Fond du Lac Band; Grand Portage Band; Leech Lake Band; Mille Lacs Band; White Earth Band)","Minnesota Chippewa Trust Land","MN",2285,2419018
"TR48",262,"nd","Mississippi Band of Choctaw Indians","Mississippi Choctaw Reservation","MS~TN",2300,685014
"TR48",282,"nd","Moapa Band of Paiute Indians of the Moapa River Indian Reservation, Nevada","Moapa River Indian Reservation","NV",2315,845336
"TR48",280,"n","Modoc Nation","Modoc OTSA","OK",5740,2418715
"TR48",280,"d","Modoc Nation","Ottawa OTSA","OK",5770,2419159
"TR48",270,"nd","Mohegan Tribe of Indians of Connecticut","Mohegan Reservation","CT",2320,2419022
"TR48",275,"none","Monacan Indian Nation","","",NA,NA
"TR48",286,"nd","Mooretown Rancheria of Maidu Indians of California","Mooretown Rancheria","CA",2340,2419023
"TR48",283,"nd","Morongo Band of Mission Indians, California","Morongo Reservation","CA",2360,255940
"TR48",264,"nd","Muckleshoot Indian Tribe","Muckleshoot Reservation","WA",2375,1533394
"AKNV",293,"nd","Naknek Native Village","Naknek ANVSA","AK",6990,2418721
"TR48",316,"none","Nansemond Indian Nation","","",NA,NA
"TR48",323,"nd","Narragansett Indian Tribe","Narragansett Reservation","RI",2415,2030138
"AKNV",3,"none","Native Village of Afognak","","",NA,NA
"AKNV",9,"nd","Native Village of Akhiok","Akhiok ANVSA","AK",6015,2418754
"AKNV",11,"nd","Native Village of Akutan","Akutan ANVSA","AK",6030,2418758
"AKNV",17,"nd","Native Village of Aleknagik","Aleknagik ANVSA","AK",6045,2418763
"AKNV",21,"nd","Native Village of Ambler","Ambler ANVSA","AK",6075,2418768
"AKNV",29,"nd","Native Village of Atka","Atka ANVSA","AK",6150,2418779
"AKNV",31,"nd","Native Village of Atqasuk","Atqasuk ANVSA","AK",6165,2418782
"AKNV",183,"nd","Native Village of Barrow Inupiat Traditional Government","Utqiagvik ANVSA","AK",6175,2418784
"AKNV",45,"n","Native Village of Belkofski","Belkofski ANVSA","AK",6195,2418788
"AKNV",45,"d","Native Village of Belkofski","King Cove ANVSA","AK",6735,2418652
"AKNV",50,"nd","Native Village of Brevig Mission","Brevig Mission ANVSA","AK",6240,2418796
"AKNV",33,"nd","Native Village of Buckland","Buckland ANVSA","AK",6250,2418797
"AKNV",101,"nd","Native Village of Cantwell","Cantwell ANVSA","AK",6255,2418800
"AKNV",83,"n","Native Village of Chenega (aka Chanega)","Chenega ANVSA","AK",6280,2418808
"AKNV",76,"nd","Native Village of Chignik Lagoon","Chignik Lagoon ANVSA","AK",6300,2418821
"AKNV",88,"nd","Native Village of Chitina","Chitina ANVSA","AK",6330,2418831
"AKNV",87,"nod","Native Village of Chuathbaluk (Russian Mission, Kuskokwim)","Chuathbaluk ANVSA","AK",6335,2418834
"AKNV",108,"n","Native Village of Council","Council ANVSA","AK",6380,2418849
"AKNV",108,"d","Native Village of Council","Nome ANVSA","AK",7095,2575187
"AKNV",122,"n","Native Village of Deering","Deering ANVSA","AK",6400,2418551
"AKNV",180,"nd","Native Village of Diomede (aka Inalik)","Inalik ANVSA","AK",6630,2418629
"AKNV",540,"n","Native Village of Eagle","Eagle ANVSA","AK",6430,2418560
"AKNV",332,"nd","Native Village of Eek","Eek ANVSA","AK",6440,2418566
"AKNV",329,"nd","Native Village of Ekuk","Ekuk ANVSA","AK",6455,2418570
"AKNV",329,"nd","Native Village of Ekuk","Dillingham ANVSA","AK",6405,2418554
"AKNV",541,"nd","Native Village of Ekwok","Ekwok ANVSA","AK",6460,2418571
"AKNV",330,"nd","Native Village of Elim","Elim ANVSA","AK",6470,2575181
"AKNV",331,"n","Native Village of Eyak (Cordova)","Eyak ANVSA","AK",6495,2418578
"AKNV",144,"nd","Native Village of False Pass","False Pass ANVSA","AK",6500,2418579
"AKNV",157,"nd","Native Village of Fort Yukon","Fort Yukon ANVSA","AK",6515,2418585
"AKNV",145,"nd","Native Village of Gakona","Gakona ANVSA","AK",6520,2418592
"AKNV",146,"nod","Native Village of Gambell","Gambell ANVSA","AK",6530,2418595
"AKNV",147,"n","Native Village of Georgetown","Georgetown ANVSA","AK",6535,2418598
"AKNV",150,"nd","Native Village of Goodnews Bay","Goodnews Bay ANVSA","AK",6545,2418602
"AKNV",159,"n","Native Village of Hamilton","Hamilton ANVSA","AK",6570,2418609
"AKNV",159,"d","Native Village of Hamilton","Kotlik ANVSA","AK",6815,2418671
"AKNV",172,"nd","Native Village of Hooper Bay","Hooper Bay ANVSA","AK",6595,2418619
"AKNV",200,"d","Native Village of Kanatak","Knik ANVSA","AK",6785,2418661
"AKNV",201,"n","Native Village of Karluk","Karluk ANVSA","AK",6700,2418641
"AKNV",544,"nd","Native Village of Kiana","Kiana ANVSA","AK",6730,2418650
"AKNV",213,"nd","Native Village of Kipnuk","Kipnuk ANVSA","AK",6750,2418656
"AKNV",234,"nd","Native Village of Kivalina","Kivalina ANVSA","AK",6755,2418658
"AKNV",218,"nd","Native Village of Kluti Kaah (aka Copper Center)","Copper Center ANVSA","AK",6365,2418846
"AKNV",223,"nd","Native Village of Kobuk","Kobuk ANVSA","AK",6790,2418664
"AKNV",219,"nd","Native Village of Kongiganak","Kongiganak ANVSA","AK",6810,2418669
"AKNV",233,"nd","Native Village of Kotzebue","Kotzebue ANVSA","AK",6820,2418672
"AKNV",228,"nd","Native Village of Koyuk","Koyuk ANVSA","AK",6825,2418673
"AKNV",235,"nd","Native Village of Kwigillingok","Kwigillingok ANVSA","AK",6840,2418676
"AKNV",400,"nd","Native Village of Kwinhagak (aka Quinhagak)","Kwinhagak ANVSA","AK",6845,2418678
"AKNV",239,"nd","Native Village of Larsen Bay","Larsen Bay ANVSA","AK",6855,2418682
"AKNV",285,"nd","Native Village of Marshall (aka Fortuna Ledge)","Marshall ANVSA","AK",6910,2418697
"AKNV",272,"n","Native Village of Mary's Igloo","Mary's Igloo ANVSA","AK",6915,2418698
"AKNV",272,"d","Native Village of Mary's Igloo","Teller ANVSA","AK",7570,2419253
"AKNV",268,"nd","Native Village of Mekoryuk","Mekoryuk ANVSA","AK",6935,2418705
"AKNV",546,"nd","Native Village of Minto","Minto ANVSA","AK",6965,2418713
"AKNV",295,"nd","Native Village of Nanwalek (aka English Bay)","Nanwalek ANVSA","AK",6995,2418725
"AKNV",322,"n","Native Village of Napaimute","Napaimute ANVSA","AK",7005,2418727
"AKNV",322,"d","Native Village of Napaimute","Bethel ANVSA","AK",6205,2418790
"AKNV",296,"n","Native Village of Napakiak","Napakiak ANVSA","AK",7010,2418728
"AKNV",297,"nd","Native Village of Napaskiak","Napaskiak ANVSA","AK",7020,2418729
"AKNV",311,"nd","Native Village of Nelson Lagoon","Nelson Lagoon ANVSA","AK",7025,2418732
"AKNV",304,"nd","Native Village of Nightmute","Nightmute ANVSA","AK",7065,2418741
"AKNV",308,"nd","Native Village of Nikolski","Nikolski ANVSA","AK",7075,2418745
"AKNV",317,"nd","Native Village of Noatak","Noatak ANVSA","AK",7085,2418749
"AKNV",327,"nd","Native Village of Nuiqsut (aka Nooiksut)","Nuiqsut ANVSA","AK",7125,2419151
"AKNV",314,"nd","Native Village of Nunam Iqua","Nunam Iqua ANVSA","AK",7133,2419153
"AKNV",315,"nd","Native Village of Nunapitchuk","Nunapitchuk ANVSA","AK",7135,2419154
"AKNV",351,"nd","Native Village of Ouzinkie","Ouzinkie ANVSA","AK",7180,2419160
"AKNV",547,"n","Native Village of Paimiut","Paimiut ANVSA","AK",7185,2419161
"AKNV",547,"d","Native Village of Paimiut","Hooper Bay ANVSA","AK",6595,2418619
"AKNV",378,"nd","Native Village of Perryville","Perryville ANVSA","AK",7215,2419166
"AKNV",362,"nd","Native Village of Pilot Point","Pilot Point ANVSA","AK",7225,2419169
"AKNV",371,"nd","Native Village of Point Hope","Point Hope ANVSA","AK",7250,2419176
"AKNV",372,"nd","Native Village of Point Lay","Point Lay ANVSA","AK",7255,2419177
"AKNV",379,"n","Native Village of Port Graham","Port Graham ANVSA","AK",7265,2419184
"AKNV",380,"nd","Native Village of Port Heiden","Port Heiden ANVSA","AK",7270,2419186
"AKNV",381,"nd","Native Village of Port Lions","Port Lions ANVSA","AK",7275,2419187
"AKNV",333,"nd","Native Village of Ruby","Ruby ANVSA","AK",7310,2419201
"AKNV",482,"nd","Native Village of Saint Michael","St. Michael ANVSA","AK",7375,2419229
"AKNV",417,"nd","Native Village of Savoonga","Savoonga ANVSA","AK",7415,2419208
"AKNV",425,"nd","Native Village of Scammon Bay","Scammon Bay ANVSA","AK",7425,2419210
"AKNV",429,"nd","Native Village of Selawik","Selawik ANVSA","AK",7430,2419211
"AKNV",435,"n","Native Village of Shaktoolik","Shaktoolik ANVSA","AK",7450,2419216
"AKNV",473,"nd","Native Village of Shishmaref","Shishmaref ANVSA","AK",7465,2419217
"AKNV",438,"nd","Native Village of Shungnak","Shungnak ANVSA","AK",7470,2419218
"AKNV",478,"nd","Native Village of Stevens","Stevens Village ANVSA","AK",7520,2419234
"AKNV",511,"nd","Native Village of Tanacross","Tanacross ANVSA","AK",7535,2419244
"AKNV",334,"nd","Native Village of Tanana","Tanana ANVSA","AK",7540,2419247
"AKNV",495,"nd","Native Village of Tatitlek","Tatitlek ANVSA","AK",7555,2419248
"AKNV",496,"nd","Native Village of Tazlina","Tazlina ANVSA","AK",7560,2419250
"AKNV",499,"nd","Native Village of Teller","Teller ANVSA","AK",7570,2419253
"AKNV",501,"n","Native Village of Tetlin","Tetlin ANVSA","AK",7580,2419255
"AKNV",514,"nd","Native Village of Tuntutuliak","Tuntutuliak ANVSA","AK",7640,2419265
"AKNV",524,"nd","Native Village of Tununak","Tununak ANVSA","AK",7645,2419267
"AKNV",527,"nd","Native Village of Tyonek","Tyonek ANVSA","AK",7655,2419272
"AKNV",532,"nd","Native Village of Unalakleet","Unalakleet ANVSA","AK",7690,2419276
"AKNV",335,"d","Native Village of Unga","Sand Point ANVSA","AK",7410,2419207
"AKNV",542,"nd","Native Village of Venetie Tribal Government (Arctic Village and Village of Venetie)","Arctic Village ANVSA","AK",6140,2418776
"AKNV",542,"nd","Native Village of Venetie Tribal Government (Arctic Village and Village of Venetie)","Venetie ANVSA","AK",7725,2575192
"AKNV",549,"n","Native Village of Wales","Wales ANVSA","AK",7740,2419282
"AKNV",336,"nd","Native Village of White Mountain","White Mountain ANVSA","AK",7745,2419284
"TR48",299,"nd","Navajo Nation, Arizona, New Mexico, & Utah","Navajo Nation Reservation","AZ~NM~UT",2430,41148
"AKNV",300,"nd","Nenana Native Association","Nenana ANVSA","AK",7030,2418734
"AKNV",307,"nd","New Koliganek Village Council","New Koliganek ANVSA","AK",7040,2418736
"AKNV",326,"nd","New Stuyahok Village","New Stuyahok ANVSA","AK",7050,2418737
"AKNV",305,"nd","Newhalen Village","Newhalen ANVSA","AK",7035,2418738
"AKNV",301,"nd","Newtok Village","Newtok ANVSA","AK",7055,2418739
"TR48",302,"nd","Nez Perce Tribe","Nez Perce Reservation","ID",2445,399588
"TR48",302,"r","Nez Perce Tribe","Celilo Village","OR",560,2419333
"AKNV",309,"nd","Nikolai Village","Nikolai ANVSA","AK",7070,2418744
"AKNV",313,"nd","Ninilchik Village","Ninilchik ANVSA","AK",7080,2418747
"TR48",306,"nd","Nisqually Indian Tribe","Nisqually Reservation","WA",2460,1528422
"AKNV",318,"nd","Nome Eskimo Community","Nome ANVSA","AK",7095,2575187
"AKNV",312,"nd","Nondalton Village","Nondalton ANVSA","AK",7100,2419145
"TR48",319,"n","Nooksack Indian Tribe","Nooksack Reservation","WA",2475,2419035
"AKNV",320,"nd","Noorvik Native Community","Noorvik ANVSA","AK",7110,2419146
"TR48",298,"nd","Northern Arapaho Tribe of the Wind River Reservation, Wyoming","Wind River Reservation","WY",4610,1597068
"TR48",321,"nd","Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana","Northern Cheyenne Indian Reservation","MT~SD",2490,1637567
"TR48",303,"n","Northfork Rancheria of Mono Indians of California","North Fork Rancheria","CA",2495,2419036
"AKNV",324,"nd","Northway Village","Northway ANVSA","AK",7115,2419147
"TR48",337,"n","Northwestern Band of the Shoshone Nation","Northwestern Shoshone Reservation","UT",2505,1455571
"TR48",325,"nd","Nottawaseppi Huron Band of the Potawatomi, Michigan","Huron Potawatomi Reservation","MI",1550,2109298
"AKNV",328,"nd","Nulato Village","Nulato ANVSA","AK",7130,2419152
"AKNV",310,"d","Nunakauyarmiut Tribe","Toksook Bay ANVSA","AK",7625,2419259
"TR48",338,"d","Oglala Sioux Tribe","Pine Ridge Reservation","NE~SD",2810,1263144
"TR48",341,"nd","Ohkay Owingeh, New Mexico","Ohkay Owingeh","NM",2510,1934344
"TR48",342,"nd","Omaha Tribe of Nebraska","Omaha Reservation","IA~NE",2550,834985
"TR48",343,"nd","Oneida Indian Nation","Oneida Nation Reservation","NY",2555,2419043
"TR48",344,"nd","Oneida Nation","Oneida (WI) Reservation","WI",2560,1577191
"TR48",345,"nd","Onondaga Nation","Onondaga Nation Reservation","NY",2570,979312
"AKNV",154,"nd","Organized Village of Grayling (aka Holikachuk)","Grayling ANVSA","AK",6550,2418603
"AKNV",545,"nd","Organized Village of Kake","Kake ANVSA","AK",6670,2418635
"AKNV",203,"nd","Organized Village of Kasaan","Kasaan ANVSA","AK",6705,2418643
"AKNV",237,"nd","Organized Village of Kwethluk","Kwethluk ANVSA","AK",6835,2418675
"AKNV",418,"nd","Organized Village of Saxman","Saxman ANVSA","AK",7420,2419209
"AKNV",349,"d","Orutsararmiut Traditional Native Council","Bethel ANVSA","AK",6205,2418790
"AKNV",347,"n","Oscarville Traditional Village","Oscarville ANVSA","AK",7175,2419157
"AKNV",347,"d","Oscarville Traditional Village","Napaskiak ANVSA","AK",7020,2418729
"TR48",348,"nd","Otoe-Missouria Tribe of Indians, Oklahoma","Otoe-Missouria OTSA","OK",5760,1925068
"TR48",350,"nd","Ottawa Tribe of Oklahoma","Ottawa OTSA","OK",5770,2419159
"TR48",389,"nd","Paiute Indian Tribe of Utah (Cedar Band of Paiutes, Kanosh Band of Paiutes, Koosharem Band of Paiutes, Indian Peaks Band of Paiutes, and Shivwits Band of Paiutes)","Paiute (UT) Reservation","UT",2625,1436088
"TR48",387,"nd","Paiute-Shoshone Tribe of the Fallon Reservation and Colony, Nevada","Fallon Paiute-Shoshone Colony","NV",1070,850495
"TR48",387,"n","Paiute-Shoshone Tribe of the Fallon Reservation and Colony, Nevada","Fallon Paiute-Shoshone Reservation","NV",1075,840414
"TR48",352,"nd","Pala Band of Mission Indians","Pala Reservation","CA",2635,272502
"TR48",354,"nd","Pamunkey Indian Tribe","Pamunkey (State) Reservation","VA",9260,1472036
"TR48",384,"nd","Pascua Yaqui Tribe of Arizona","Pascua Pueblo Yaqui Reservation","AZ",2680,2419049
"TR48",382,"n","Paskenta Band of Nomlaki Indians of California","Paskenta Rancheria","CA",2685,2419050
"TR48",383,"nd","Passamaquoddy Tribe","Indian Township Reservation","ME",1575,2418973
"TR48",383,"nd","Passamaquoddy Tribe","Passamaquoddy Trust Land","ME",2695,2419052
"TR48",383,"nd","Passamaquoddy Tribe","Pleasant Point Reservation","ME",2850,573503
"AKNV",366,"d","Pauloff Harbor Village","Sand Point ANVSA","AK",7410,2419207
"TR48",353,"nd","Pauma Band of Luiseno Mission Indians of the Pauma & Yuima Reservation, California","Pauma and Yuima Reservation","CA",2715,272896
"TR48",355,"nd","Pawnee Nation of Oklahoma","Pawnee OTSA","OK",5780,1925076
"TR48",356,"nd","Pechanga Band of Indians (previously listed as Pechanga Band of Luiseno Mission Indians of the Pechanga Reservation, California)","Pechanga Reservation","CA",2745,272911
"AKNV",359,"nd","Pedro Bay Village","Pedro Bay ANVSA","AK",7205,2419163
"TR48",368,"nd","Penobscot Nation","Penobscot Reservation","ME",2760,582669
"TR48",360,"n","Peoria Tribe of Indians of Oklahoma","Peoria OTSA","OK",5795,2419165
"TR48",360,"d","Peoria Tribe of Indians of Oklahoma","Ottawa OTSA","OK",5770,2419159
"TR48",360,"n","Peoria Tribe of Indians of Oklahoma","Miami/Peoria joint-use OTSA","OK",5970,2418712
"AKNV",386,"nd","Petersburg Indian Association","Petersburg ANVSA","AK",7220,2575188
"TR48",392,"n","Picayune Rancheria of Chukchansi Indians of California","Picayune Rancheria","CA",2775,1670201
"AKNV",363,"nd","Pilot Station Traditional Village","Pilot Station ANVSA","AK",7230,2419170
"TR48",391,"nd","Pinoleville Pomo Nation, California","Pinoleville Rancheria","CA",2820,230747
"TR48",364,"n","Pit River Tribe, California (includes XL Ranch, Big Bend, Likely, Lookout, Montgomery Creek, and Roaring Creek Rancherias)","Big Bend Rancheria","CA",215,256889
"TR48",364,"n","Pit River Tribe, California (includes XL Ranch, Big Bend, Likely, Lookout, Montgomery Creek, and Roaring Creek Rancherias)","Likely Rancheria","CA",1955,276402
"TR48",364,"n","Pit River Tribe, California (includes XL Ranch, Big Bend, Likely, Lookout, Montgomery Creek, and Roaring Creek Rancherias)","Lookout Rancheria","CA",1980,227643
"TR48",364,"n","Pit River Tribe, California (includes XL Ranch, Big Bend, Likely, Lookout, Montgomery Creek, and Roaring Creek Rancherias)","Montgomery Creek Rancheria","CA",2330,263771
"TR48",364,"n","Pit River Tribe, California (includes XL Ranch, Big Bend, Likely, Lookout, Montgomery Creek, and Roaring Creek Rancherias)","Roaring Creek Rancheria","CA",3185,265444
"TR48",364,"n","Pit River Tribe, California (includes XL Ranch, Big Bend, Likely, Lookout, Montgomery Creek, and Roaring Creek Rancherias)","Pit River Trust Land","CA",2835,2419056
"TR48",364,"n","Pit River Tribe, California (includes XL Ranch, Big Bend, Likely, Lookout, Montgomery Creek, and Roaring Creek Rancherias)","XL Ranch Rancheria","CA",4680,252581
"AKNV",385,"nd","Pitka's Point Traditional Council","Pitkas Point ANVSA","AK",7235,2419171
"AKNV",365,"nd","Platinum Traditional Village","Platinum ANVSA","AK",7245,2419173
"TR48",357,"nd","Poarch Band of Creek Indians","Poarch Creek Reservation","AL~FL",2865,2419057
"TR48",374,"nd","Pokagon Band of Potawatomi Indians, Michigan and Indiana","Pokagon Reservation","IN~MI",2890,2419058
"TR48",370,"nd","Ponca Tribe of Indians of Oklahoma","Ponca OTSA","OK",5800,2419180
"TR48",370,"n","Ponca Tribe of Indians of Oklahoma","Kaw/Ponca joint-use OTSA","OK",5950,2418647
"TR48",369,"n","Ponca Tribe of Nebraska","Ponca (NE) Trust Land","IA~NE",2900,2419061
"TR48",361,"nd","Port Gamble S'Klallam Tribe","Port Gamble Reservation","WA",2910,1507567
"AKNV",339,"n","Portage Creek Village (aka Ohgsenakale)","Portage Creek ANVSA","AK",7260,2419189
"TR48",388,"none","Potter Valley Tribe, California","","",NA,NA
"TR48",376,"nd","Prairie Band Potawatomi Nation","Prairie Band of Potawatomi Nation Reservation","KS",2980,1934332
"TR48",375,"nd","Prairie Island Indian Community in the State of Minnesota","Prairie Island Indian Community","MN",2985,654519
"AKNV",377,"nd","Pribilof Islands Aleut Communities of St. Paul & St. George Islands (Saint George Island and Saint Paul Island)","St. George ANVSA","AK",7340,2419228
"AKNV",377,"nd","Pribilof Islands Aleut Communities of St. Paul & St. George Islands (Saint George Island and Saint Paul Island)","St. Paul ANVSA","AK",7390,2419230
"TR48",1,"nd","Pueblo of Acoma, New Mexico","Acoma Pueblo","NM",10,1934337
"TR48",102,"nd","Pueblo of Cochiti, New Mexico","Pueblo de Cochiti","NM",680,937176
"TR48",188,"nd","Pueblo of Isleta, New Mexico","Isleta Pueblo","NM",1625,1934338
"TR48",193,"nd","Pueblo of Jemez, New Mexico","Jemez Pueblo","NM",1685,916031
"TR48",238,"nd","Pueblo of Laguna, New Mexico","Laguna Pueblo","NM",1840,1934340
"TR48",294,"nd","Pueblo of Nambe, New Mexico","Nambe Pueblo","NM",2400,918263
"TR48",358,"nd","Pueblo of Picuris, New Mexico","Picuris Pueblo","NM",2785,1934341
"TR48",373,"nd","Pueblo of Pojoaque, New Mexico","Pueblo of Pojoaque","NM",2990,937193
"TR48",430,"nd","Pueblo of San Felipe, New Mexico","San Felipe Pueblo","NM",3400,910614
"TR48",430,"n","Pueblo of San Felipe, New Mexico","San Felipe Pueblo/Santa Ana Pueblo joint-use area","NM",4930,2419124
"TR48",430,"n","Pueblo of San Felipe, New Mexico","San Felipe Pueblo/Santo Domingo Pueblo joint-use area","NM",4940,2419125
"TR48",443,"nd","Pueblo of San Ildefonso, New Mexico","San Ildefonso Pueblo","NM",3415,918342
"TR48",416,"nd","Pueblo of Sandia, New Mexico","Sandia Pueblo","NM",3370,1934343
"TR48",475,"nd","Pueblo of Santa Ana, New Mexico","Santa Ana Pueblo","NM",3480,1934345
"TR48",475,"n","Pueblo of Santa Ana, New Mexico","San Felipe Pueblo/Santa Ana Pueblo joint-use area","NM",4930,2419124
"TR48",424,"nd","Pueblo of Santa Clara, New Mexico","Santa Clara Pueblo","NM",3495,937196
"TR48",494,"nd","Pueblo of Taos, New Mexico","Taos Pueblo","NM",4140,1934342
"TR48",519,"nd","Pueblo of Tesuque, New Mexico","Tesuque Pueblo","NM",4170,937203
"TR48",575,"nd","Pueblo of Zia, New Mexico","Zia Pueblo","NM",4770,1934347
"TR48",390,"nd","Puyallup Tribe of the Puyallup Reservation","Puyallup Reservation","WA",3000,1514929
"TR48",393,"nd","Pyramid Lake Paiute Tribe of the Pyramid Lake Reservation, Nevada","Pyramid Lake Paiute Reservation","NV",3010,857503
"AKNV",394,"nd","Qagan Tayagungin Tribe of Sand Point","Sand Point ANVSA","AK",7410,2419207
"AKNV",401,"nd","Qawalangin Tribe of Unalaska","Unalaska ANVSA","AK",7695,2419277
"TR48",395,"nd","Quapaw Nation","Quapaw OTSA","OK",5810,2419193
"TR48",396,"nd","Quartz Valley Indian Community of the Quartz Valley Reservation of California","Quartz Valley Reservation","CA",3020,265103
"TR48",397,"nd","Quechan Tribe of the Fort Yuma Indian Reservation, California & Arizona","Fort Yuma Indian Reservation","AZ~CA",1280,242378
"TR48",398,"nd","Quileute Tribe of the Quileute Reservation","Quileute Reservation","WA",3030,1511646
"TR48",399,"nd","Quinault Indian Nation","Quinault Reservation","WA",3040,1531838
"TR48",407,"n","Ramona Band of Cahuilla, California","Ramona Village","CA",3070,273181
"AKNV",402,"nd","Rampart Village","Rampart ANVSA","AK",7300,2419195
"TR48",412,"nd","Rappahannock Tribe, Inc.","Rappahannock TDSA","VA",8700,2813263
"TR48",403,"nd","Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin","Red Cliff Reservation","WI",3085,1577204
"TR48",405,"nd","Red Lake Band of Chippewa Indians, Minnesota","Red Lake Reservation","MN",3100,1934331
"TR48",404,"nd","Redding Rancheria, California","Redding Rancheria","CA",3095,1682404
"TR48",414,"nd","Redwood Valley or Little River Band of Pomo Indians of the Redwood Valley Rancheria California","Redwood Valley Rancheria","CA",3115,231455
"TR48",410,"nd","Reno-Sparks Indian Colony, Nevada","Reno-Sparks Indian Colony","NV",3130,853944
"TR48",367,"nd","Pulikla Tribe of Yurok People (previously listed as Resighini Rancheria, California)","Resighini Rancheria","CA",3145,1657342
"TR48",408,"nd","Rincon Band of Luiseno Mission Indians of Rincon Reservation, California","Rincon Reservation","CA",3165,273286
"TR48",411,"nd","Robinson Rancheria","Robinson Rancheria","CA",3195,234577
"TR48",413,"nd","Rosebud Sioux Tribe of the Rosebud Indian Reservation, South Dakota","Rosebud Indian Reservation","SD",3235,1266248
"TR48",409,"nd","Round Valley Indian Tribes, Round Valley Reservation, California","Round Valley Reservation","CA",3250,267196
"TR48",421,"nd","Sac & Fox Nation of Missouri in Kansas and Nebraska","Sac and Fox Nation Reservation","KS~NE",3285,479832
"TR48",421,"n","Sac & Fox Nation of Missouri in Kansas and Nebraska","Kickapoo (KS) Reservation/Sac and Fox Nation Trust Land joint-use area","KS",4910,2418987
"TR48",423,"nd","Sac & Fox Nation, Oklahoma","Sac and Fox OTSA","OK",5820,1925067
"TR48",422,"nd","Sac & Fox Tribe of the Mississippi in Iowa","Sac and Fox/Meskwaki Settlement","IA",3280,463420
"TR48",431,"d","Saginaw Chippewa Indian Tribe of Michigan","Isabella Reservation","MI",1610,1616981
"AKNV",479,"nd","St. George Island (See Pribilof Islands Aleut Communities of St. Paul & St. George Islands)","St. George ANVSA","AK",7340,2419228
"AKNV",484,"nd","Saint Paul Island (See Pribilof Islands Aleut Communities of St. Paul & St. George Islands)","St. Paul ANVSA","AK",7390,2419230
"TR48",470,"nd","Saint Regis Mohawk Tribe","St. Regis Mohawk Reservation","NY",3320,979449
"AKNV",453,"n","Salamatof Tribe","Salamatof ANVSA","AK",7400,2419203
"AKNV",453,"d","Salamatof Tribe","Kenaitze ANVSA","AK",6720,2418648
"TR48",471,"nd","Salt River Pima-Maricopa Indian Community of the Salt River Reservation, Arizona","Salt River Reservation","AZ",3340,37072
"TR48",415,"nd","Samish Indian Nation","Samish TDSA","WA",8750,2419206
"TR48",420,"nd","San Carlos Apache Tribe of the San Carlos Reservation, Arizona","San Carlos Reservation","AZ",3355,24000
"TR48",460,"d","San Juan Southern Paiute Tribe of Arizona","Navajo Nation Reservation","AZ~NM~UT",2430,41148
"TR48",467,"nd","San Pasqual Band of Diegueno Mission Indians of California","San Pasqual Reservation","CA",3460,255933
"TR48",472,"nd","Santa Rosa Band of Cahuilla Indians, California","Santa Rosa Reservation","CA",3525,1934330
"TR48",476,"nd","Santa Rosa Indian Community of the Santa Rosa Rancheria, California","Santa Rosa Rancheria","CA",3520,247949
"TR48",492,"nd","Santa Ynez Band of Chumash Mission Indians of the Santa Ynez Reservation, California","Santa Ynez Reservation","CA",3540,249132
"TR48",463,"nd","Santee Sioux Nation, Nebraska","Santee Reservation","NE",3565,1884912
"TR48",428,"nd","Santo Domingo Pueblo","Santo Domingo Pueblo","NM",3585,937201
"TR48",428,"n","Santo Domingo Pueblo","San Felipe Pueblo/Santo Domingo Pueblo joint-use area","NM",4940,2419125
"TR48",449,"nd","Sauk-Suiattle Indian Tribe","Sauk-Suiattle Reservation","WA",3625,2419131
"TR48",474,"n","Sault Ste. Marie Tribe of Chippewa Indians, Michigan","Sault Ste. Marie Reservation","MI",3635,2419132
"TR48",426,"none","Scotts Valley Band of Pomo Indians of California","","",NA,NA
"AKNV",452,"nd","Seldovia Village Tribe","Seldovia ANVSA","AK",7435,2419212
"TR48",455,"r","Seminole Tribe of Florida","Big Cypress Reservation","FL",225,1934321
"TR48",455,"r","Seminole Tribe of Florida","Brighton Reservation","FL",360,300151
"TR48",455,"r","Seminole Tribe of Florida","Fort Pierce Reservation","FL",1260,2418940
"TR48",455,"d","Seminole Tribe of Florida","Hollywood Reservation","FL",1475,284183
"TR48",455,"r","Seminole Tribe of Florida","Immokalee Reservation","FL",1555,2418972
"TR48",455,"r","Seminole Tribe of Florida","Tampa Reservation","FL",4130,2419488
"TR48",455,"r","Seminole Tribe of Florida","Seminole (FL) Trust Land","FL",3665,2419138
"TR48",455,"r","Seminole Tribe of Florida","Coconut Creek Trust Land","FL",690,2418876
