"id_AK","id_temp","match","FRN_NameAsPublished","AIANNH_Geoname_Full","STATES","AIANNHCE","AIANNHNS"
"TR48",82,"nd","Chemehuevi Indian Tribe of the Chemehuevi Reservation, California","Chemehuevi Reservation","CA",585,255956
"TR48",84,"nd","Cher-Ae Heights Indian Community of the Trinidad Rancheria, California","Trinidad Rancheria","CA",4275,268407
"TR48",78,"nd","Cherokee Nation","Cherokee OTSA","OK",5550,2418810
"AKNV",74,"nd","Chevak Native Village","Chevak ANVSA","AK",6285,2418813
"TR48",90,"nd","Cheyenne and Arapaho Tribes, Oklahoma","Cheyenne and Arapaho OTSA","OK",5560,2418814
"TR48",91,"nd","Cheyenne River Sioux Tribe of the Cheyenne River Reservation, South Dakota","Cheyenne River Reservation","SD",605,1267254
"TR48",69,"nd","Chickahominy Indian Tribe","Chickahominy TDSA","VA",8150,2418815
"TR48",68,"nd","Chickahominy Indian Tribe—Eastern Division","Eastern Chickahominy TDSA","VA",8160,2418562
"AKNV",70,"nd","Chickaloon Native Village","Chickaloon ANVSA","AK",6290,2418816
"TR48",85,"nd","Chicken Ranch Rancheria of Me-Wuk Indians of California","Chicken Ranch Rancheria","CA",620,2419337
"AKNV",66,"nd","Chignik Bay Tribal Council","Chignik ANVSA","AK",6295,2418820
"AKNV",67,"nd","Chignik Lake Village","Chignik Lake ANVSA","AK",6305,2418823
"AKNV",80,"nd","Chilkat Indian Village (Klukwan)","Chilkat ANVSA","AK",6310,2418825
"AKNV",95,"n","Chilkoot Indian Association (Haines)","Chilkoot ANVSA","AK",6315,2418826
"AKNV",77,"nd","Chinik Eskimo Community (Golovin)","Golovin ANVSA","AK",6540,2418601
"TR48",71,"nd","Chippewa Cree Indians of the Rocky Boy's Reservation, Montana","Rocky Boy's Reservation","MT",3205,767936
"TR48",89,"nd","Chitimacha Tribe of Louisiana","Chitimacha Reservation","LA",635,2419340
"AKNV",96,"d","Chuloonawick Native Village","Emmonak ANVSA","AK",6480,2418573
"AKNV",96,"n","Chuloonawick Native Village","Chuloonawick ANVSA","AK",6340,2418835
"AKNV",92,"nd","Circle Native Community","Circle ANVSA","AK",6350,2418836
"TR48",93,"nd","Citizen Potawatomi Nation, Oklahoma","Citizen Potawatomi Nation-Absentee Shawnee OTSA","OK",5600,1925074
"TR48",62,"none","Cloverdale Rancheria of Pomo Indians of California","","",NA,NA
"TR48",103,"nd","Cocopah Tribe of Arizona","Cocopah Reservation","AZ",695,3089
"TR48",114,"nd","Coeur D'Alene Tribe","Coeur d'Alene Reservation","ID",705,395231
"TR48",119,"nd","Cold Springs Rancheria of Mono Indians of California","Cold Springs Rancheria","CA",720,276284
"TR48",107,"nd","Colorado River Indian Tribes of the Colorado River Indian Reservation, Arizona and California","Colorado River Indian Reservation","AZ~CA",735,22753
"TR48",99,"nd","Comanche Nation, Oklahoma","Kiowa-Comanche-Apache-Fort Sill Apache OTSA","OK",5720,2418654
"TR48",99,"n","Comanche Nation, Oklahoma","Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA","OK",5955,2418655
"TR48",118,"nd","Confederated Salish and Kootenai Tribes of the Flathead Reservation","Flathead Reservation","MT",1110,806894
"TR48",563,"nd","Confederated Tribes and Bands of the Yakama Nation","Yakama Nation Reservation","WA",4690,1502906
"TR48",563,"r","Confederated Tribes and Bands of the Yakama Nation","Celilo Village","OR",560,2419333
"TR48",444,"nd","Confederated Tribes of Siletz Indians of Oregon","Siletz Reservation","OR",3795,1155124
"TR48",73,"nd","Confederated Tribes of the Chehalis Reservation","Chehalis Reservation","WA",575,1503930
"TR48",105,"nd","Confederated Tribes of the Colville Reservation","Colville Reservation","WA",760,1529464
"TR48",98,"nd","Confederated Tribes of the Coos, Lower Umpqua and Siuslaw Indians","Coos, Lower Umpqua, and Siuslaw Reservation","OR",770,2418879
"TR48",65,"n","Confederated Tribes of the Goshute Reservation, Nevada and Utah","Goshute Reservation","NV~UT",1340,1455300
"TR48",153,"nd","Confederated Tribes of the Grand Ronde Community of Oregon","Grand Ronde Community","OR",1365,2418950
"TR48",529,"nd","Confederated Tribes of the Umatilla Indian Reservation","Umatilla Reservation","OR~WA",4405,1159100
"TR48",529,"r","Confederated Tribes of the Umatilla Indian Reservation","Celilo Village","OR",560,2419333
"TR48",560,"nd","Confederated Tribes of the Warm Springs Reservation of Oregon","Warm Springs Reservation","OR",4545,1133438
"TR48",560,"r","Confederated Tribes of the Warm Springs Reservation of Oregon","Celilo Village","OR",560,2419333
"TR48",106,"nd","Coquille Indian Tribe","Coquille Reservation","OR",775,2418881
"TR48",109,"nd","Coushatta Tribe of Louisiana","Coushatta Reservation","LA",795,545438
"TR48",110,"nd","Cow Creek Band of Umpqua Tribe of Indians","Cow Creek Reservation","OR",815,2418898
"TR48",111,"n","Cowlitz Indian Tribe","Cowlitz Reservation","WA",820,2772245
"TR48",120,"nd","Coyote Valley Band of Pomo Indians of California","Coyote Valley Reservation","CA",825,1985199
"AKNV",112,"nd","Craig Tribal Association","Craig ANVSA","AK",6385,2418851
"TR48",113,"nd","Crow Creek Sioux Tribe of the Crow Creek Reservation, South Dakota","Crow Creek Reservation","SD",855,1267067
"TR48",116,"nd","Crow Tribe of Montana","Crow Reservation","MT",845,806896
"AKNV",117,"d","Curyung Tribal Council","Dillingham ANVSA","AK",6405,2418554
"TR48",123,"nd","Delaware Nation, Oklahoma","Caddo-Wichita-Delaware OTSA","OK",5540,1925075
"TR48",123,"n","Delaware Nation, Oklahoma","Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA","OK",5955,2418655
"TR48",124,"d","Delaware Tribe of Indians","Cherokee OTSA","OK",5550,2418810
"AKNV",126,"n","Douglas Indian Association","Douglas ANVSA","AK",6420,2418558
"TR48",121,"n","Dry Creek Rancheria Band of Pomo Indians, California","Dry Creek Rancheria","CA",955,222639
"TR48",127,"nd","Duckwater Shoshone Tribe (previously listed as Duckwater Shoshone Tribe of the Duckwater Reservation, Nevada)","Duckwater Reservation","NV",975,845441
"TR48",129,"nd","Eastern Band of Cherokee Indians","Eastern Cherokee Reservation","NC",990,1018039
"TR48",138,"nd","Eastern Shawnee Tribe of Oklahoma","Eastern Shawnee OTSA","OK",5640,2418563
"TR48",128,"nd","Eastern Shoshone Tribe of the Wind River Reservation, Wyoming","Wind River Reservation","WY",4610,1597068
"AKNV",130,"nd","Egegik Village","Egegik ANVSA","AK",6445,2418567
"AKNV",131,"nd","Eklutna Native Village","Eklutna ANVSA","AK",6450,2418569
"TR48",133,"n","Elem Indian Colony of Pomo Indians of the Sulphur Bank Rancheria, California","Sulphur Bank Rancheria","CA",4030,267889
"TR48",132,"nd","Elk Valley Rancheria, California","Elk Valley Rancheria","CA",1010,1657318
"TR48",134,"nd","Ely Shoshone Tribe of Nevada","Ely Reservation","NV",1040,859672
"AKNV",135,"nd","Emmonak Village","Emmonak ANVSA","AK",6480,2418573
"TR48",136,"n","Enterprise Rancheria of Maidu Indians of California","Enterprise Rancheria","CA",1055,259950
"AKNV",139,"nd","Evansville Village (aka Bettles Field)","Evansville ANVSA","AK",6490,2418575
