"","GEOID","dec.NAME","dec.total","dec.A","dec.AoIC","dec.pct_AIAN","dec.A_AoIC","acs.NAME","acs.total","acs.A","acs.AoIC","acs.pct_AIAN","acs.A_AoIC"
"332","5590","Choctaw OTSA, OK",226984,36487,57942,0.255269093856836,0.629715922819371,"Choctaw OTSA, OK",229120,29185,51858,0.226335544692737,0.562786840988854
"333","5600","Citizen Potawatomi Nation-Absentee Shawnee OTSA, OK",126987,9125,19099,0.150401222172348,0.477773705429604,"Citizen Potawatomi Nation-Absentee Shawnee OTSA, OK",128061,8289,16648,0.130000546614504,0.497897645362806
"334","5620","Creek OTSA, OK",813184,67171,136762,0.16818087911223,0.491152513124991,"Creek OTSA, OK",831269,59983,119084,0.143255672953039,0.503703268281213
"335","5640","Eastern Shawnee OTSA, OK",743,172,242,0.325706594885599,0.710743801652893,"Eastern Shawnee OTSA, OK",789,177,247,0.313054499366286,0.716599190283401
"336","5670","Iowa OTSA, OK",6602,357,803,0.121629809148743,0.444582814445828,"Iowa OTSA, OK",7010,337,639,0.0911554921540656,0.527386541471048
"337","5690","Kaw OTSA, OK",5692,564,1021,0.17937456078707,0.552399608227228,"Kaw OTSA, OK",5708,477,901,0.157848633496847,0.529411764705882
"338","5700","Kickapoo OTSA, OK",26259,2520,4605,0.175368445104536,0.547231270358306,"Kickapoo OTSA, OK",27757,2174,3771,0.135857621500883,0.576504905860515
"339","5720","Kiowa-Comanche-Apache-Fort Sill Apache OTSA, OK",187646,10697,19904,0.106072071880029,0.537429662379421,"Kiowa-Comanche-Apache-Fort Sill Apache OTSA, OK",187709,8304,19490,0.10383092979026,0.426064648537712
"340","5730","Miami OTSA, OK",257,76,104,0.404669260700389,0.730769230769231,"Miami OTSA, OK",232,81,98,0.422413793103448,0.826530612244898
"341","5740","Modoc OTSA, OK",233,93,109,0.467811158798283,0.853211009174312,"Modoc OTSA, OK",300,46,105,0.35,0.438095238095238
"342","5760","Otoe-Missouria OTSA, OK",810,417,488,0.602469135802469,0.854508196721312,"Otoe-Missouria OTSA, OK",1042,361,497,0.476967370441459,0.72635814889336
"343","5770","Ottawa OTSA, OK",5388,940,1462,0.271343726800297,0.642954856361149,"Ottawa OTSA, OK",5545,1007,1440,0.259693417493237,0.699305555555556
"344","5780","Pawnee OTSA, OK",15412,1943,3229,0.209512068518038,0.601734283059771,"Pawnee OTSA, OK",15579,1431,2848,0.182810193208807,0.502457865168539
"345","5795","Peoria OTSA, OK",5112,959,1478,0.289123630672926,0.648849797023004,"Peoria OTSA, OK",4990,972,1399,0.280360721442886,0.694781987133667
"346","5800","Ponca OTSA, OK",1916,660,789,0.411795407098121,0.836501901140684,"Ponca OTSA, OK",1950,471,686,0.351794871794872,0.686588921282799
"347","5810","Quapaw OTSA, OK",4810,955,1320,0.274428274428274,0.723484848484849,"Quapaw OTSA, OK",4571,980,1341,0.293371253555021,0.730797912005966
"348","5820","Sac and Fox OTSA, OK",58358,5919,10619,0.181963055622194,0.557397118372728,"Sac and Fox OTSA, OK",59096,5077,8900,0.150602409638554,0.570449438202247
"349","5830","Seminole OTSA, OK",21656,4263,6414,0.29617657923901,0.664639850327409,"Seminole OTSA, OK",21209,3950,5518,0.260172568249328,0.715839072127582
"350","5835","Seneca-Cayuga OTSA, OK",4241,594,944,0.222589012025466,0.629237288135593,"Seneca-Cayuga OTSA, OK",4537,562,888,0.195724046726912,0.632882882882883
"351","5860","Tonkawa OTSA, OK",3841,465,703,0.183025253840146,0.661450924608819,"Tonkawa OTSA, OK",3836,402,722,0.188216892596455,0.556786703601108
"352","5890","Wyandotte OTSA, OK",1869,433,613,0.327982878544676,0.706362153344209,"Wyandotte OTSA, OK",1866,333,509,0.272775991425509,0.654223968565815
"353","5915","Creek/Seminole joint-use OTSA, OK",1900,375,559,0.294210526315789,0.670840787119857,"Creek/Seminole joint-use OTSA, OK",2285,495,614,0.268708971553611,0.806188925081433
