"","GEOID","dec.NAME","dec.total","dec.A","dec.AoIC","dec.pct_AIAN","dec.A_AoIC","acs.NAME","acs.total","acs.A","acs.AoIC","acs.pct_AIAN","acs.A_AoIC"
"435","6605","Hughes ANVSA, AK",86,77,80,0.930232558139535,0.9625,"Hughes ANVSA, AK",40,40,40,1,1
"436","6610","Huslia ANVSA, AK",304,279,290,0.953947368421053,0.962068965517241,"Huslia ANVSA, AK",51,32,51,1,0.627450980392157
"437","6615","Hydaburg ANVSA, AK",380,318,335,0.881578947368421,0.949253731343284,"Hydaburg ANVSA, AK",375,283,312,0.832,0.907051282051282
"438","6620","Igiugig ANVSA, AK",68,48,54,0.794117647058823,0.888888888888889,"Igiugig ANVSA, AK",53,32,43,0.811320754716981,0.744186046511628
"439","6625","Iliamna ANVSA, AK",108,64,80,0.740740740740741,0.8,"Iliamna ANVSA, AK",70,38,49,0.7,0.775510204081633
"440","6630","Inalik ANVSA, AK",83,72,79,0.951807228915663,0.911392405063291,"Inalik ANVSA, AK",27,27,27,1,1
"441","6650","Ivanof Bay ANVSA, AK",1,0,0,0,NA,"Ivanof Bay ANVSA, AK",0,0,0,NA,NA
"442","6670","Kake ANVSA, AK",543,416,469,0.863720073664825,0.886993603411514,"Kake ANVSA, AK",624,347,498,0.798076923076923,0.696787148594378
"443","6680","Kaktovik ANVSA, AK",283,269,271,0.957597173144876,0.992619926199262,"Kaktovik ANVSA, AK",124,114,120,0.967741935483871,0.95
"444","6685","Kalskag ANVSA, AK",212,182,195,0.919811320754717,0.933333333333333,"Kalskag ANVSA, AK",239,209,229,0.9581589958159,0.912663755458515
"445","6690","Kaltag ANVSA, AK",158,132,147,0.930379746835443,0.897959183673469,"Kaltag ANVSA, AK",68,64,64,0.941176470588235,1
"446","6700","Karluk ANVSA, AK",27,24,26,0.962962962962963,0.923076923076923,"Karluk ANVSA, AK",33,32,33,1,0.96969696969697
"447","6705","Kasaan ANVSA, AK",30,8,9,0.3,0.888888888888889,"Kasaan ANVSA, AK",51,28,32,0.627450980392157,0.875
"448","6710","Kasigluk ANVSA, AK",623,597,600,0.963081861958267,0.995,"Kasigluk ANVSA, AK",698,695,695,0.995702005730659,1
"449","6720","Kenaitze ANVSA, AK",34637,2324,4675,0.134971273493663,0.497112299465241,"Kenaitze ANVSA, AK",35530,2022,4649,0.130847171404447,0.434932243493224
"450","6725","Ketchikan ANVSA, AK",13225,2067,3101,0.234480151228733,0.666559174459852,"Ketchikan ANVSA, AK",13122,1525,2710,0.206523395823807,0.562730627306273
"451","6730","Kiana ANVSA, AK",449,401,424,0.944320712694877,0.945754716981132,"Kiana ANVSA, AK",440,414,414,0.940909090909091,1
"452","6735","King Cove ANVSA, AK",757,327,383,0.505944517833554,0.85378590078329,"King Cove ANVSA, AK",1352,643,775,0.573224852071006,0.829677419354839
"453","6740","King Salmon ANVSA, AK",125,34,56,0.448,0.607142857142857,"King Salmon ANVSA, AK",81,32,46,0.567901234567901,0.695652173913043
"454","6750","Kipnuk ANVSA, AK",704,682,685,0.973011363636364,0.995620437956204,"Kipnuk ANVSA, AK",706,636,696,0.985835694050991,0.913793103448276
"455","6755","Kivalina ANVSA, AK",444,434,436,0.981981981981982,0.995412844036697,"Kivalina ANVSA, AK",809,784,802,0.991347342398022,0.977556109725686
"456","6765","Klawock ANVSA, AK",528,285,386,0.731060606060606,0.738341968911917,"Klawock ANVSA, AK",561,266,377,0.672014260249554,0.705570291777188
"457","6785","Knik ANVSA, AK",81495,5334,10959,0.134474507638505,0.48672324117164,"Knik ANVSA, AK",85258,4731,10623,0.124598278167445,0.445354419655465
"458","6790","Kobuk ANVSA, AK",191,160,166,0.869109947643979,0.963855421686747,"Kobuk ANVSA, AK",101,86,96,0.95049504950495,0.895833333333333
"459","6795","Kodiak ANVSA, AK",2,0,0,0,NA,"Kodiak ANVSA, AK",0,0,0,NA,NA
"460","6800","Kokhanok ANVSA, AK",152,124,139,0.914473684210526,0.892086330935252,"Kokhanok ANVSA, AK",39,13,35,0.897435897435897,0.371428571428571
"461","6810","Kongiganak ANVSA, AK",486,466,478,0.983539094650206,0.97489539748954,"Kongiganak ANVSA, AK",316,316,316,1,1
"462","6815","Kotlik ANVSA, AK",655,653,654,0.998473282442748,0.998470948012232,"Kotlik ANVSA, AK",976,944,962,0.985655737704918,0.981288981288981
"463","6820","Kotzebue ANVSA, AK",3102,2117,2411,0.777240490006447,0.878058896723351,"Kotzebue ANVSA, AK",2984,1871,2192,0.734584450402145,0.853558394160584
"464","6825","Koyuk ANVSA, AK",312,280,296,0.948717948717949,0.945945945945946,"Koyuk ANVSA, AK",348,335,340,0.977011494252874,0.985294117647059
"465","6830","Koyukuk ANVSA, AK",98,98,98,1,1,"Koyukuk ANVSA, AK",29,29,29,1,1
"466","6835","Kwethluk ANVSA, AK",812,773,792,0.975369458128079,0.976010101010101,"Kwethluk ANVSA, AK",975,937,962,0.986666666666667,0.974012474012474
"467","6840","Kwigillingok ANVSA, AK",380,369,375,0.986842105263158,0.984,"Kwigillingok ANVSA, AK",545,540,541,0.992660550458716,0.99815157116451
"468","6845","Kwinhagak ANVSA, AK",776,731,761,0.980670103092783,0.960578186596583,"Kwinhagak ANVSA, AK",1311,1206,1264,0.964149504195271,0.954113924050633
"469","6850","Lake Minchumina ANVSA, AK",16,3,6,0.375,0.5,"Lake Minchumina ANVSA, AK",7,0,0,0,NA
"470","6855","Larsen Bay ANVSA, AK",34,27,28,0.823529411764706,0.964285714285714,"Larsen Bay ANVSA, AK",145,14,19,0.131034482758621,0.736842105263158
"471","6860","Lesnoi ANVSA, AK",0,0,0,NA,NA,"Lesnoi ANVSA, AK",0,0,0,NA,NA
"472","6865","Levelock ANVSA, AK",69,65,67,0.971014492753623,0.970149253731343,"Levelock ANVSA, AK",8,4,6,0.75,0.666666666666667
"473","6875","Lime Village ANVSA, AK",13,12,12,0.923076923076923,1,"Lime Village ANVSA, AK",0,0,0,NA,NA
"474","6890","Lower Kalskag ANVSA, AK",278,262,272,0.97841726618705,0.963235294117647,"Lower Kalskag ANVSA, AK",239,233,239,1,0.97489539748954
"475","6895","McGrath ANVSA, AK",301,170,186,0.617940199335548,0.913978494623656,"McGrath ANVSA, AK",255,100,171,0.670588235294118,0.584795321637427
"476","6900","Manley Hot Springs ANVSA, AK",169,107,114,0.674556213017751,0.93859649122807,"Manley Hot Springs ANVSA, AK",32,0,4,0.125,0
"477","6905","Manokotak ANVSA, AK",487,445,467,0.958932238193018,0.952890792291221,"Manokotak ANVSA, AK",679,584,602,0.88659793814433,0.970099667774086
"478","6910","Marshall ANVSA, AK",492,464,480,0.975609756097561,0.966666666666667,"Marshall ANVSA, AK",386,384,386,1,0.994818652849741
"479","6915","Mary's Igloo ANVSA, AK",1,0,0,0,NA,"Mary's Igloo ANVSA, AK",0,0,0,NA,NA
"480","6935","Mekoryuk ANVSA, AK",206,193,196,0.951456310679612,0.98469387755102,"Mekoryuk ANVSA, AK",287,272,278,0.968641114982578,0.97841726618705
"481","6945","Mentasta Lake ANVSA, AK",108,89,96,0.888888888888889,0.927083333333333,"Mentasta Lake ANVSA, AK",48,48,48,1,1
"482","6965","Minto ANVSA, AK",150,138,141,0.94,0.978723404255319,"Minto ANVSA, AK",214,159,202,0.94392523364486,0.787128712871287
"483","6975","Mountain Village ANVSA, AK",621,585,591,0.951690821256039,0.989847715736041,"Mountain Village ANVSA, AK",949,923,930,0.979978925184405,0.99247311827957
"484","6990","Naknek ANVSA, AK",470,218,269,0.572340425531915,0.810408921933085,"Naknek ANVSA, AK",522,102,151,0.289272030651341,0.675496688741722
"485","6995","Nanwalek ANVSA, AK",247,177,230,0.931174089068826,0.769565217391304,"Nanwalek ANVSA, AK",199,139,198,0.994974874371859,0.702020202020202
"486","7005","Napaimute ANVSA, AK",0,0,0,NA,NA,"Napaimute ANVSA, AK",0,0,0,NA,NA
"487","7010","Napakiak ANVSA, AK",358,325,341,0.952513966480447,0.953079178885631,"Napakiak ANVSA, AK",556,551,554,0.996402877697842,0.994584837545126
"488","7020","Napaskiak ANVSA, AK",509,488,494,0.970530451866405,0.987854251012146,"Napaskiak ANVSA, AK",447,435,445,0.995525727069351,0.97752808988764
"489","7025","Nelson Lagoon ANVSA, AK",41,38,38,0.926829268292683,1,"Nelson Lagoon ANVSA, AK",78,70,70,0.897435897435897,1
"490","7030","Nenana ANVSA, AK",358,147,150,0.418994413407821,0.98,"Nenana ANVSA, AK",479,222,248,0.517745302713987,0.895161290322581
"491","7035","Newhalen ANVSA, AK",168,128,151,0.898809523809524,0.847682119205298,"Newhalen ANVSA, AK",122,86,106,0.868852459016393,0.811320754716981
"492","7040","New Koliganek ANVSA, AK",183,167,177,0.967213114754098,0.943502824858757,"New Koliganek ANVSA, AK",193,192,192,0.994818652849741,1
"493","7050","New Stuyahok ANVSA, AK",512,460,484,0.9453125,0.950413223140496,"New Stuyahok ANVSA, AK",474,394,461,0.972573839662447,0.854663774403471
"494","7055","Newtok ANVSA, AK",308,293,302,0.980519480519481,0.970198675496689,"Newtok ANVSA, AK",48,42,48,1,0.875
"495","7065","Nightmute ANVSA, AK",306,294,297,0.970588235294118,0.98989898989899,"Nightmute ANVSA, AK",93,93,93,1,1
"496","7070","Nikolai ANVSA, AK",89,72,76,0.853932584269663,0.947368421052632,"Nikolai ANVSA, AK",44,26,41,0.931818181818182,0.634146341463415
"497","7075","Nikolski ANVSA, AK",39,27,28,0.717948717948718,0.964285714285714,"Nikolski ANVSA, AK",1,1,1,1,1
"498","7080","Ninilchik ANVSA, AK",16004,644,1395,0.0871657085728568,0.461648745519713,"Ninilchik ANVSA, AK",17199,784,1690,0.0982615268329554,0.463905325443787
"499","7085","Noatak ANVSA, AK",570,531,542,0.950877192982456,0.979704797047971,"Noatak ANVSA, AK",786,771,774,0.984732824427481,0.996124031007752
"500","7095","Nome ANVSA, AK",3794,1951,2541,0.669741697416974,0.767807949626131,"Nome ANVSA, AK",3801,1937,2553,0.671665351223362,0.758715236976107
"501","7100","Nondalton ANVSA, AK",133,109,119,0.894736842105263,0.915966386554622,"Nondalton ANVSA, AK",103,49,97,0.941747572815534,0.505154639175258
"502","7110","Noorvik ANVSA, AK",694,672,679,0.978386167146974,0.989690721649485,"Noorvik ANVSA, AK",748,620,627,0.838235294117647,0.988835725677831
"503","7115","Northway ANVSA, AK",227,207,207,0.911894273127753,1,"Northway ANVSA, AK",192,158,182,0.947916666666667,0.868131868131868
"504","7125","Nuiqsut ANVSA, AK",512,474,476,0.9296875,0.995798319327731,"Nuiqsut ANVSA, AK",616,516,526,0.853896103896104,0.980988593155893
"505","7130","Nulato ANVSA, AK",239,169,215,0.899581589958159,0.786046511627907,"Nulato ANVSA, AK",255,187,187,0.733333333333333,1
"506","7133","Nunam Iqua ANVSA, AK",217,203,212,0.976958525345622,0.957547169811321,"Nunam Iqua ANVSA, AK",0,0,0,NA,NA
"507","7135","Nunapitchuk ANVSA, AK",594,581,581,0.978114478114478,1,"Nunapitchuk ANVSA, AK",618,598,606,0.980582524271845,0.986798679867987
"508","7145","Ohogamiut ANVSA, AK",1,0,0,0,NA,"Ohogamiut ANVSA, AK",0,0,0,NA,NA
"509","7150","Old Harbor ANVSA, AK",216,178,185,0.856481481481482,0.962162162162162,"Old Harbor ANVSA, AK",162,118,147,0.907407407407407,0.802721088435374
"510","7175","Oscarville ANVSA, AK",70,67,67,0.957142857142857,1,"Oscarville ANVSA, AK",42,42,42,1,1
"511","7180","Ouzinkie ANVSA, AK",118,80,89,0.754237288135593,0.898876404494382,"Ouzinkie ANVSA, AK",87,50,78,0.896551724137931,0.641025641025641
"512","7185","Paimiut ANVSA, AK",2,0,0,0,NA,"Paimiut ANVSA, AK",0,0,0,NA,NA
"513","7205","Pedro Bay ANVSA, AK",43,21,23,0.534883720930233,0.91304347826087,"Pedro Bay ANVSA, AK",14,7,11,0.785714285714286,0.636363636363636
"514","7215","Perryville ANVSA, AK",88,77,81,0.920454545454545,0.950617283950617,"Perryville ANVSA, AK",82,68,78,0.951219512195122,0.871794871794872
"515","7220","Petersburg ANVSA, AK",2360,178,361,0.152966101694915,0.493074792243767,"Petersburg ANVSA, AK",2805,224,395,0.140819964349376,0.567088607594937
"516","7225","Pilot Point ANVSA, AK",70,50,59,0.842857142857143,0.847457627118644,"Pilot Point ANVSA, AK",48,30,45,0.9375,0.666666666666667
"517","7230","Pilot Station ANVSA, AK",615,590,601,0.977235772357724,0.981697171381032,"Pilot Station ANVSA, AK",713,687,704,0.987377279102384,0.975852272727273
"518","7235","Pitkas Point ANVSA, AK",120,118,120,1,0.983333333333333,"Pitkas Point ANVSA, AK",169,169,169,1,1
"519","7245","Platinum ANVSA, AK",55,47,53,0.963636363636364,0.886792452830189,"Platinum ANVSA, AK",43,41,41,0.953488372093023,1
"520","7250","Point Hope ANVSA, AK",830,732,765,0.921686746987952,0.956862745098039,"Point Hope ANVSA, AK",832,778,801,0.962740384615385,0.971285892634207
"521","7255","Point Lay ANVSA, AK",330,304,310,0.939393939393939,0.980645161290323,"Point Lay ANVSA, AK",390,284,285,0.730769230769231,0.996491228070175
"522","7260","Portage Creek ANVSA, AK",4,1,2,0.5,0.5,"Portage Creek ANVSA, AK",1,0,0,0,NA
"523","7263","Port Alsworth ANVSA, AK",186,41,51,0.274193548387097,0.803921568627451,"Port Alsworth ANVSA, AK",199,9,145,0.728643216080402,0.0620689655172414
"524","7265","Port Graham ANVSA, AK",162,134,151,0.932098765432099,0.887417218543046,"Port Graham ANVSA, AK",83,65,69,0.831325301204819,0.942028985507246
"525","7270","Port Heiden ANVSA, AK",100,79,86,0.86,0.918604651162791,"Port Heiden ANVSA, AK",73,59,69,0.945205479452055,0.855072463768116
"526","7275","Port Lions ANVSA, AK",170,105,111,0.652941176470588,0.945945945945946,"Port Lions ANVSA, AK",150,78,101,0.673333333333333,0.772277227722772
"527","7300","Rampart ANVSA, AK",57,44,51,0.894736842105263,0.862745098039216,"Rampart ANVSA, AK",0,0,0,NA,NA
"528","7305","Red Devil ANVSA, AK",22,16,20,0.909090909090909,0.8,"Red Devil ANVSA, AK",3,3,3,1,1
"529","7310","Ruby ANVSA, AK",139,125,129,0.928057553956835,0.968992248062015,"Ruby ANVSA, AK",237,231,232,0.978902953586498,0.995689655172414
"530","7315","Russian Mission ANVSA, AK",421,398,413,0.980997624703088,0.963680387409201,"Russian Mission ANVSA, AK",314,57,314,1,0.181528662420382
"531","7340","St. George ANVSA, AK",67,60,63,0.940298507462687,0.952380952380952,"St. George ANVSA, AK",70,64,70,1,0.914285714285714
"532","7375","St. Michael ANVSA, AK",456,413,426,0.934210526315789,0.969483568075117,"St. Michael ANVSA, AK",177,167,177,1,0.943502824858757
"533","7390","St. Paul ANVSA, AK",413,358,374,0.905569007263923,0.957219251336898,"St. Paul ANVSA, AK",378,244,269,0.711640211640212,0.907063197026022
"534","7400","Salamatof ANVSA, AK",1078,189,248,0.230055658627087,0.762096774193548,"Salamatof ANVSA, AK",1149,127,166,0.144473455178416,0.765060240963855
"535","7410","Sand Point ANVSA, AK",536,342,376,0.701492537313433,0.909574468085106,"Sand Point ANVSA, AK",1046,450,570,0.544933078393881,0.789473684210526
"536","7415","Savoonga ANVSA, AK",835,807,813,0.973652694610778,0.992619926199262,"Savoonga ANVSA, AK",868,663,683,0.786866359447005,0.970717423133236
"537","7420","Saxman ANVSA, AK",384,262,316,0.822916666666667,0.829113924050633,"Saxman ANVSA, AK",324,209,269,0.830246913580247,0.776951672862453
"538","7425","Scammon Bay ANVSA, AK",600,593,596,0.993333333333333,0.99496644295302,"Scammon Bay ANVSA, AK",440,408,435,0.988636363636364,0.937931034482759
"539","7430","Selawik ANVSA, AK",809,786,793,0.980222496909765,0.991172761664565,"Selawik ANVSA, AK",412,388,401,0.973300970873786,0.967581047381546
"540","7435","Seldovia ANVSA, AK",448,60,112,0.25,0.535714285714286,"Seldovia ANVSA, AK",417,51,78,0.18705035971223,0.653846153846154
"541","7440","Shageluk ANVSA, AK",100,91,94,0.94,0.968085106382979,"Shageluk ANVSA, AK",34,26,26,0.764705882352941,1
"542","7450","Shaktoolik ANVSA, AK",212,185,187,0.882075471698113,0.989304812834225,"Shaktoolik ANVSA, AK",283,277,277,0.978798586572438,1
"543","7465","Shishmaref ANVSA, AK",576,555,557,0.967013888888889,0.99640933572711,"Shishmaref ANVSA, AK",466,454,454,0.974248927038627,1
"544","7470","Shungnak ANVSA, AK",272,259,263,0.966911764705882,0.984790874524715,"Shungnak ANVSA, AK",147,147,147,1,1
"545","7475","Sitka ANVSA, AK",4459,803,1262,0.28302309934963,0.636291600633914,"Sitka ANVSA, AK",4313,448,926,0.214699744957106,0.483801295896328
"546","7485","Skagway ANVSA, AK",1240,32,72,0.0580645161290323,0.444444444444444,"Skagway ANVSA, AK",1244,69,87,0.069935691318328,0.793103448275862
"547","7495","Sleetmute ANVSA, AK",95,63,80,0.842105263157895,0.7875,"Sleetmute ANVSA, AK",48,42,42,0.875,1
"548","7500","Solomon ANVSA, AK",1,0,0,0,NA,"Solomon ANVSA, AK",0,0,0,NA,NA
"549","7505","South Naknek ANVSA, AK",67,34,45,0.671641791044776,0.755555555555556,"South Naknek ANVSA, AK",73,27,34,0.465753424657534,0.794117647058823
"550","7510","Stebbins ANVSA, AK",634,577,597,0.941640378548896,0.966499162479062,"Stebbins ANVSA, AK",596,499,576,0.966442953020134,0.866319444444444
"551","7520","Stevens Village ANVSA, AK",37,37,37,1,1,"Stevens Village ANVSA, AK",0,0,0,NA,NA
"552","7525","Stony River ANVSA, AK",57,50,50,0.87719298245614,1,"Stony River ANVSA, AK",29,20,20,0.689655172413793,1
"553","7530","Takotna ANVSA, AK",56,15,22,0.392857142857143,0.681818181818182,"Takotna ANVSA, AK",15,6,9,0.6,0.666666666666667
"554","7535","Tanacross ANVSA, AK",144,119,125,0.868055555555556,0.952,"Tanacross ANVSA, AK",155,150,150,0.967741935483871,1
"555","7540","Tanana ANVSA, AK",246,194,202,0.821138211382114,0.96039603960396,"Tanana ANVSA, AK",334,275,307,0.919161676646707,0.895765472312704
"556","7555","Tatitlek ANVSA, AK",90,74,77,0.855555555555556,0.961038961038961,"Tatitlek ANVSA, AK",20,20,20,1,1
"557","7560","Tazlina ANVSA, AK",263,84,108,0.4106463878327,0.777777777777778,"Tazlina ANVSA, AK",382,143,215,0.56282722513089,0.665116279069767
"558","7565","Telida ANVSA, AK",2,1,1,0.5,1,"Telida ANVSA, AK",0,0,0,NA,NA
"559","7570","Teller ANVSA, AK",249,224,234,0.939759036144578,0.957264957264957,"Teller ANVSA, AK",255,247,249,0.976470588235294,0.991967871485944
"560","7580","Tetlin ANVSA, AK",135,117,120,0.888888888888889,0.975,"Tetlin ANVSA, AK",123,109,123,1,0.886178861788618
"561","7605","Togiak ANVSA, AK",817,738,772,0.944920440636475,0.955958549222798,"Togiak ANVSA, AK",963,844,877,0.910695742471443,0.962371721778791
"562","7625","Toksook Bay ANVSA, AK",658,635,638,0.969604863221885,0.995297805642633,"Toksook Bay ANVSA, AK",833,816,819,0.983193277310924,0.996336996336996
"563","7630","Tuluksak ANVSA, AK",444,416,430,0.968468468468468,0.967441860465116,"Tuluksak ANVSA, AK",118,100,100,0.847457627118644,1
"564","7640","Tuntutuliak ANVSA, AK",469,457,459,0.978678038379531,0.995642701525055,"Tuntutuliak ANVSA, AK",514,510,514,1,0.992217898832685
"565","7645","Tununak ANVSA, AK",411,390,400,0.97323600973236,0.975,"Tununak ANVSA, AK",384,372,378,0.984375,0.984126984126984
"566","7650","Twin Hills ANVSA, AK",103,81,98,0.951456310679612,0.826530612244898,"Twin Hills ANVSA, AK",87,85,87,1,0.977011494252874
"567","7655","Tyonek ANVSA, AK",161,121,141,0.875776397515528,0.858156028368794,"Tyonek ANVSA, AK",295,203,239,0.810169491525424,0.849372384937239
"568","7665","Ugashik ANVSA, AK",4,3,3,0.75,1,"Ugashik ANVSA, AK",4,0,2,0.5,0
"569","7690","Unalakleet ANVSA, AK",806,672,678,0.841191066997519,0.991150442477876,"Unalakleet ANVSA, AK",565,423,459,0.812389380530973,0.92156862745098
"570","7695","Unalaska ANVSA, AK",4254,195,326,0.076633756464504,0.598159509202454,"Unalaska ANVSA, AK",4556,103,182,0.0399473222124671,0.565934065934066
"571","7705","Uyak ANVSA, AK",1,0,0,0,NA,"Uyak ANVSA, AK",0,0,0,NA,NA
"572","7725","Venetie ANVSA, AK",205,191,191,0.931707317073171,1,"Venetie ANVSA, AK",76,76,76,1,1
"573","7735","Wainwright ANVSA, AK",628,600,602,0.95859872611465,0.996677740863787,"Wainwright ANVSA, AK",718,658,699,0.973537604456824,0.941344778254649
"574","7740","Wales ANVSA, AK",168,146,151,0.898809523809524,0.966887417218543,"Wales ANVSA, AK",238,214,214,0.899159663865546,1
"575","7745","White Mountain ANVSA, AK",185,171,173,0.935135135135135,0.988439306358382,"White Mountain ANVSA, AK",222,211,219,0.986486486486487,0.963470319634703
"576","7755","Wrangell ANVSA, AK",1173,263,403,0.343563512361466,0.652605459057072,"Wrangell ANVSA, AK",1439,286,468,0.325225851285615,0.611111111111111
"577","7765","Yakutat ANVSA, AK",657,255,347,0.528158295281583,0.734870317002882,"Yakutat ANVSA, AK",527,111,209,0.396584440227704,0.5311004784689
"578","8100","Cayuga Nation TDSA, NY",2572,6,65,0.0252721617418351,0.0923076923076923,"Cayuga Nation TDSA, NY",2999,13,54,0.0180060020006669,0.240740740740741
"579","8150","Chickahominy TDSA, VA",3239,402,492,0.151898734177215,0.817073170731707,"Chickahominy TDSA, VA",3800,349,482,0.126842105263158,0.724066390041494
"580","8160","Eastern Chickahominy TDSA, VA",193,22,23,0.119170984455959,0.956521739130435,"Eastern Chickahominy TDSA, VA",368,119,131,0.355978260869565,0.908396946564885
"581","8300","Ione Band of Miwok TDSA, CA",27,0,0,0,NA,"Ione Band of Miwok TDSA, CA",89,0,4,0.0449438202247191,0
"582","8450","Mechoopda TDSA, CA",3227,168,302,0.0935853734118376,0.556291390728477,"Mechoopda TDSA, CA",3885,64,159,0.0409266409266409,0.40251572327044
"583","8700","Rappahannock TDSA, VA",1638,32,57,0.0347985347985348,0.56140350877193,"Rappahannock TDSA, VA",2101,58,100,0.0475963826749167,0.58
"584","8750","Samish TDSA, WA",41102,317,1330,0.0323585226996253,0.238345864661654,"Samish TDSA, WA",42442,267,1053,0.0248103293906979,0.253561253561254
"585","9260","Pamunkey (state) Reservation, VA",114,56,69,0.605263157894737,0.811594202898551,"Pamunkey (state) Reservation, VA",118,55,66,0.559322033898305,0.833333333333333
"586","9370","Shinnecock (state) Reservation, NY",819,713,742,0.905982905982906,0.960916442048518,"Shinnecock (state) Reservation, NY",450,338,383,0.851111111111111,0.882506527415144
"587","9815","Lumbee SDTSA, NC",510711,57978,73098,0.14312987188449,0.793154395469096,"Lumbee SDTSA, NC",514268,57030,70959,0.137980585997962,0.803703547118759
"588","3695",NA,NA,NA,NA,NA,NA,"Shawnee Trust Land, OK",0,0,0,NA,NA
